"UnitID","GenerationUnitEIC","PowerSystemResourceName","InstalledGenCapacity","ProductionType_FK","BiddingZone","HRMinPer","Efficiency","HRMaxPer","MinActive","FuelCoefA","FuelCoefB","FuelCoefC","StartUpTime","ShutDownTime","MinDownTime","RampUp","RampDown","FuelType","StartUpConsumptionCold","StartUpConsumptionWarm","StartUpConsumptionHot","ShutDownConsumptionCold","ShutDownConsumptionWarm","ShutDownConsumptionHot","Long","Lat"
1,"11W0-0000-0004-B","11W0-0000-0004-B",254.0,8,75,75.0,50.0,100.0,47.0,0.0,0.0,0.0,,,6.0,254.0,254.0,,,,,,,,,
2,"11W0-0000-0005-8","11W0-0000-0005-8",1037.3,8,75,75.0,50.0,100.0,182.0,0.0,0.0,0.0,,,6.0,1037.3,1037.3,,,,,,,,,
3,"11W0-0000-0006-5","11W0-0000-0006-5",691.7,8,66,75.0,50.0,100.0,112.0,0.0,0.0,0.0,,,7.0,691.7,691.7,,,,,,,,,
4,"11W0-0000-0044-W","11W0-0000-0044-W",1052.0,8,66,75.0,50.0,100.0,286.0,0.0,0.0,0.0,,,336.0,1052.0,1052.0,,,,,,,,,
5,"11W0-0000-0103-9","11W0-0000-0103-9",300.0,5,65,75.0,55.0,100.0,200.0,0.0,0.0,0.0,,,4.0,300.0,300.0,,,,,,,,,
6,"11W0-0000-0104-6","11W0-0000-0104-6",264.0,5,65,75.0,55.0,100.0,45.0,0.0,0.0,0.0,,,7.0,264.0,264.0,,,,,,,,,
7,"11W0-0000-0109-S","11W0-0000-0109-S",180.0,16,75,75.0,50.0,100.0,44.0,0.0,0.0,0.0,,,3.0,180.0,180.0,,,,,,,,,
8,"11W0-0000-0110-E","11W0-0000-0110-E",180.0,16,75,75.0,50.0,100.0,45.0,0.0,0.0,0.0,,,3.0,180.0,180.0,,,,,,,,,
9,"11W0-0000-0163-M","11W0-0000-0163-M",190.4,5,74,75.0,55.0,100.0,12.0,0.0,0.0,0.0,,,3.0,190.4,190.4,,,,,,,,,
10,"11WD2BR14000113U","11WD2BR14000113U",155.0,5,74,75.0,55.0,100.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,155.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,
