zone,n,corr,mae,bias,sim_mean,act_mean
AT,864,0.3367,29.5749,-11.9129,104.3147,116.2277
BE,864,0.1843,38.5744,-25.0753,71.8503,96.9256
BG,864,0.7922,30.2725,6.4250,123.0437,116.6187
CH,864,0.6812,23.4380,-7.3048,106.7011,114.0060
CZ,864,0.6768,25.6049,-13.0793,100.7506,113.8299
DE_LU,864,0.8022,21.0663,-9.9051,99.0990,109.0041
DK1,864,0.6498,27.8544,-16.3520,90.6065,106.9585
DK2,864,0.2612,35.4392,-9.8803,97.5847,107.4650
EE,864,0.7960,49.8274,-34.5200,66.1757,100.6957
ES,864,0.7964,22.0535,4.6502,69.9977,65.3475
FI,864,0.8484,34.9612,-27.6562,44.3844,72.0406
FR,864,0.7440,25.5273,3.9139,69.1772,65.2633
GR,864,0.8207,23.2709,-6.6810,97.8651,104.5461
HU,864,0.7356,33.7825,-9.2760,117.9389,127.2149
IT-CNORTH,864,0.6356,23.5455,0.5177,126.7079,126.1902
IT-CSOUTH,864,0.7026,20.4441,-14.1520,110.0513,124.2033
IT-Calabria,864,0.7610,19.2536,-14.0182,107.9924,122.0106
IT-NORTH,864,0.6367,22.5855,-0.9881,124.7361,125.7242
IT-SOUTH,864,0.7405,20.0040,-13.9483,108.3295,122.2778
IT-Sardinia,864,0.6505,24.1446,-14.1369,106.8036,120.9405
IT-Sicily,864,0.7319,20.5266,-11.6711,111.7894,123.4605
LT,864,0.8305,47.8361,-37.9167,73.6160,111.5326
LV,864,0.8142,50.0871,-41.5363,69.6115,111.1478
NL,864,0.5195,25.9036,-14.0903,88.9137,103.0040
NO1,864,0.3773,154.3696,131.8110,218.7233,86.9124
NO2,864,0.6624,16.9785,-2.2893,90.5920,92.8812
NO3,864,0.3516,44.8320,26.4488,83.3215,56.8727
NO4,864,0.1959,29.5668,-0.3645,29.0942,29.4588
NO5,864,0.4051,31.5534,7.0463,83.8488,76.8025
PL,864,0.6479,29.2575,-16.1352,102.3438,118.4790
PT,864,0.7698,22.9204,5.4748,70.1679,64.6931
RO,864,0.5392,50.7014,25.0419,147.5411,122.4993
RS,864,0.6385,36.1765,12.5824,123.2345,110.6521
SE1,864,0.4452,31.4702,-11.1419,32.1125,43.2544
SE2,864,0.4994,29.8077,-12.8865,28.9407,41.8271
SE3,864,0.4896,39.2715,6.1689,79.7348,73.5658
SE4,864,0.7059,36.2494,-15.1872,72.1256,87.3128
SI,864,0.6367,34.1738,-12.0013,107.0425,119.0439
SK,864,0.6779,38.0511,-32.8878,84.8379,117.7258
