zone,n,corr,mae,bias,sim_mean,act_mean
AT,864,0.3252,30.1531,-13.9962,102.2315,116.2277
BE,864,0.1765,40.2629,-24.1170,72.8086,96.9256
BG,864,0.7691,32.0641,6.7914,123.4101,116.6187
CH,864,0.6803,23.4896,-8.4238,105.5822,114.0060
CZ,864,0.6689,26.0825,-14.2234,99.6065,113.8299
DE_LU,864,0.8023,21.0275,-10.4697,98.5344,109.0041
DK1,864,0.6755,27.6456,-14.9659,91.9925,106.9585
DK2,864,0.2518,35.7141,-8.4422,99.0228,107.4650
EE,864,0.7468,50.1280,-34.2560,66.4397,100.6957
ES,864,0.7970,22.1890,4.2158,69.5634,65.3475
FI,864,0.7198,38.1180,-26.4790,45.5616,72.0406
FR,864,0.7280,25.7306,2.4465,67.7098,65.2633
GR,864,0.8128,24.0164,-5.1481,99.3980,104.5461
HU,864,0.6719,41.3021,-13.5301,113.6847,127.2149
IT-CNORTH,864,0.6378,23.0799,-0.1425,126.0476,126.1902
IT-CSOUTH,864,0.7083,20.3112,-14.1850,110.0183,124.2033
IT-Calabria,864,0.7656,19.1889,-14.1561,107.8545,122.0106
IT-NORTH,864,0.6378,22.2936,-1.5535,124.1707,125.7242
IT-SOUTH,864,0.7481,19.9098,-14.1109,108.1669,122.2778
IT-Sardinia,864,0.6629,24.0720,-15.3870,105.5535,120.9405
IT-Sicily,864,0.7327,20.4475,-11.9281,111.5323,123.4605
LT,864,0.7850,47.8671,-36.2683,75.2643,111.5326
LV,864,0.7805,49.8294,-40.7933,70.3544,111.1478
NL,864,0.5173,26.1928,-14.6321,88.3720,103.0040
NO1,864,0.0789,34.5212,3.8251,90.7374,86.9124
NO2,864,0.6852,16.8079,-2.1125,90.7688,92.8812
NO3,864,0.3097,45.5536,25.9225,82.7952,56.8727
NO4,864,0.1691,30.0402,0.1959,29.6547,29.4588
NO5,864,0.4017,31.6661,7.0182,83.8206,76.8025
PL,864,0.6513,29.3116,-15.9429,102.5362,118.4790
PT,864,0.7704,23.0358,5.1186,69.8117,64.6931
RO,864,0.5598,49.7350,22.7226,145.2218,122.4993
RS,864,0.6066,38.0051,13.1642,123.8163,110.6521
SE1,864,0.4712,31.0519,-15.1738,28.0805,43.2544
SE2,864,0.4888,29.7648,-14.0046,27.8225,41.8271
SE3,864,0.5315,37.8729,8.0981,81.6639,73.5658
SE4,864,0.6253,36.7853,-10.9305,76.3823,87.3128
SI,864,0.2791,54.3198,0.7178,119.7617,119.0439
SK,864,0.1017,46.3631,-26.3846,91.3412,117.7258
