zone,n,corr,mae,bias,sim_mean,act_mean
AT,864,0.3307,30.3550,-12.4637,103.7640,116.2277
BE,864,0.2045,38.7116,-25.7972,71.1284,96.9256
BG,864,0.7797,31.0502,6.7496,123.3684,116.6187
CH,864,0.6726,23.6794,-7.7515,106.2545,114.0060
CZ,864,0.6761,25.6171,-14.1902,99.6397,113.8299
DE_LU,864,0.8012,21.0301,-10.1064,98.8977,109.0041
DK1,864,0.6290,27.9828,-15.3004,91.6580,106.9585
DK2,864,0.2485,34.8286,-8.3974,99.0676,107.4650
EE,864,0.7723,50.5791,-36.6396,64.0560,100.6957
ES,864,0.8015,21.7678,4.2291,69.5766,65.3475
FI,864,0.8449,36.6867,-33.6431,38.3974,72.0406
FR,864,0.7375,25.4757,2.2990,67.5623,65.2633
GR,864,0.8169,24.3652,-4.1542,100.3919,104.5461
HU,864,0.3896,49.7682,-0.4527,126.7622,127.2149
IT-CNORTH,864,0.6303,23.6037,0.4096,126.5998,126.1902
IT-CSOUTH,864,0.7127,20.3126,-14.3331,109.8703,124.2033
IT-Calabria,864,0.7654,19.2123,-14.0194,107.9912,122.0106
IT-NORTH,864,0.6307,22.8708,-0.8954,124.8288,125.7242
IT-SOUTH,864,0.7538,19.7786,-14.0733,108.2045,122.2778
IT-Sardinia,864,0.6490,24.2067,-14.8116,106.1289,120.9405
IT-Sicily,864,0.7465,20.3446,-11.9908,111.4697,123.4605
LT,864,0.7927,48.5951,-38.5900,72.9426,111.5326
LV,864,0.7835,51.1537,-42.9246,68.2231,111.1478
NL,864,0.5128,26.1436,-14.3355,88.6686,103.0040
NO1,864,0.0107,55.1148,25.2153,112.1277,86.9124
NO2,864,0.7784,15.8976,-0.4955,92.3857,92.8812
NO3,864,0.3057,45.5195,26.0115,82.8842,56.8727
NO4,864,0.1890,29.8141,0.1759,29.6347,29.4588
NO5,864,0.4076,31.5899,7.1502,83.9526,76.8025
PL,864,0.6490,29.1964,-16.1375,102.3416,118.4790
PT,864,0.7747,22.6375,5.0728,69.7659,64.6931
RO,864,0.5899,45.1654,19.0467,141.5460,122.4993
RS,864,0.6609,36.0373,12.4060,123.0581,110.6521
SE1,864,0.4966,29.6690,-13.5990,29.6554,43.2544
SE2,864,0.4981,29.5446,-13.8022,28.0249,41.8271
SE3,864,0.4293,39.4017,5.2304,78.7962,73.5658
SE4,864,0.6333,35.4384,-12.1169,75.1959,87.3128
SI,864,0.6084,38.7247,-16.1198,102.9241,119.0439
SK,864,0.2440,41.7978,-30.3352,87.3906,117.7258
