zone,n,corr,mae,bias,sim_mean,act_mean
AT,864,0.3367,29.5728,-11.8855,104.3422,116.2277
BE,864,0.1830,38.5597,-24.9484,71.9772,96.9256
BG,864,0.7923,30.2792,6.4409,123.0597,116.6187
CH,864,0.6822,23.3303,-7.1434,106.8626,114.0060
CZ,864,0.6734,25.6610,-12.8828,100.9471,113.8299
DE_LU,864,0.7976,21.0555,-9.4559,99.5482,109.0041
DK1,864,0.6764,28.1195,-16.5825,90.3760,106.9585
DK2,864,0.2624,35.0425,-8.3907,99.0743,107.4650
EE,864,0.7470,50.0497,-34.1091,66.5866,100.6957
ES,864,0.7967,22.0269,4.6715,70.0190,65.3475
FI,864,0.7198,38.0439,-26.4953,45.5453,72.0406
FR,864,0.7448,25.4754,3.9198,69.1831,65.2633
GR,864,0.8207,23.2656,-6.6757,97.8704,104.5461
HU,864,0.7355,33.8056,-9.2717,117.9431,127.2149
IT-CNORTH,864,0.6362,23.6053,0.5739,126.7640,126.1902
IT-CSOUTH,864,0.7023,20.4562,-14.1388,110.0645,124.2033
IT-Calabria,864,0.7607,19.2657,-14.0050,108.0056,122.0106
IT-NORTH,864,0.6373,22.6440,-0.9310,124.7931,125.7242
IT-SOUTH,864,0.7402,20.0161,-13.9351,108.3427,122.2778
IT-Sardinia,864,0.6507,24.1257,-14.0833,106.8571,120.9405
IT-Sicily,864,0.7321,20.5214,-11.6753,111.7852,123.4605
LT,864,0.7862,47.8174,-36.3332,75.1994,111.5326
LV,864,0.7817,49.8082,-40.8006,70.3472,111.1478
NL,864,0.5219,25.8508,-14.1021,88.9019,103.0040
NO1,864,0.0794,34.4369,3.9984,90.9108,86.9124
NO2,864,0.7913,15.6725,-0.6464,92.2349,92.8812
NO3,864,0.3072,45.6301,26.1450,83.0177,56.8727
NO4,864,0.1691,30.0402,0.1959,29.6547,29.4588
NO5,864,0.4060,31.6140,7.2049,84.0074,76.8025
PL,864,0.6557,29.1950,-16.0006,102.4785,118.4790
PT,864,0.7701,22.8881,5.5018,70.1948,64.6931
RO,864,0.5393,50.7081,25.0578,147.5571,122.4993
RS,864,0.6385,36.1814,12.6021,123.2542,110.6521
SE1,864,0.4712,31.0519,-15.1738,28.0805,43.2544
SE2,864,0.4888,29.7648,-14.0046,27.8225,41.8271
SE3,864,0.4934,38.3173,5.6653,79.2311,73.5658
SE4,864,0.6791,35.6281,-11.2062,76.1066,87.3128
SI,864,0.6368,34.2064,-12.0541,106.9898,119.0439
SK,864,0.6781,37.6721,-32.6276,85.0982,117.7258
