zone,n,corr,mae,bias,sim_mean,act_mean
AT,864,0.3375,29.5712,-11.9253,104.3024,116.2277
BE,864,0.1844,38.5795,-25.0553,71.8703,96.9256
BG,864,0.7922,30.2735,6.4276,123.0464,116.6187
CH,864,0.6816,23.4332,-7.2849,106.7210,114.0060
CZ,864,0.6751,25.6491,-12.9938,100.8361,113.8299
DE_LU,864,0.7992,21.0702,-9.7817,99.2224,109.0041
DK1,864,0.6933,26.6568,-14.6356,92.3229,106.9585
DK2,864,0.2661,35.0910,-9.6066,97.8584,107.4650
EE,864,0.7971,49.7778,-34.5632,66.1325,100.6957
ES,864,0.7966,22.0398,4.6514,69.9990,65.3475
FI,864,0.8505,35.0637,-27.9031,44.1374,72.0406
FR,864,0.7441,25.5166,3.9038,69.1671,65.2633
GR,864,0.8207,23.2701,-6.6802,97.8659,104.5461
HU,864,0.7356,33.7879,-9.2703,117.9445,127.2149
IT-CNORTH,864,0.6360,23.5556,0.5578,126.7480,126.1902
IT-CSOUTH,864,0.7023,20.4566,-14.1392,110.0641,124.2033
IT-Calabria,864,0.7607,19.2661,-14.0054,108.0052,122.0106
IT-NORTH,864,0.6372,22.5956,-0.9480,124.7762,125.7242
IT-SOUTH,864,0.7402,20.0165,-13.9355,108.3423,122.2778
IT-Sardinia,864,0.6497,24.1704,-14.1106,106.8298,120.9405
IT-Sicily,864,0.7321,20.5218,-11.6757,111.7848,123.4605
LT,864,0.8323,47.7620,-37.9068,73.6259,111.5326
LV,864,0.8159,49.9864,-41.5077,69.6400,111.1478
NL,864,0.5175,25.9401,-14.0973,88.9067,103.0040
NO1,864,0.0795,34.4791,3.8316,90.7440,86.9124
NO2,864,0.7827,15.9118,-0.8639,92.0173,92.8812
NO3,864,0.3081,45.5583,25.9955,82.8682,56.8727
NO4,864,0.1691,30.0402,0.1959,29.6547,29.4588
NO5,864,0.4065,31.5412,7.0597,83.8622,76.8025
PL,864,0.6475,29.2521,-16.1266,102.3524,118.4790
PT,864,0.7700,22.9067,5.4761,70.1692,64.6931
RO,864,0.5392,50.7024,25.0445,147.5438,122.4993
RS,864,0.6384,36.1798,12.5874,123.2395,110.6521
SE1,864,0.4711,30.4951,-12.8129,30.4415,43.2544
SE2,864,0.4912,29.5442,-13.5838,28.2434,41.8271
SE3,864,0.4428,39.2972,6.3727,79.9385,73.5658
SE4,864,0.7151,36.0115,-15.1706,72.1422,87.3128
SI,864,0.6368,34.1853,-12.0107,107.0332,119.0439
SK,864,0.6776,37.9273,-32.8305,84.8953,117.7258
