zone	rule	period	n_hours	mae_mw	median_ae_mw
AT	v2	all	18024	541.5174063135194	453.370419375
AT	v2	evening	3004	542.4450954232689	455.1288749999999
AT	v2	jul26	504	590.8200647390873	544.266826625
AT	v2	jul26_evening	84	566.8172249270834	556.14931725
AT	rec3	all	18024	524.444353037672	430.22487500000017
AT	rec3	evening	3004	522.4657047972704	435.4926250000001
AT	rec3	jul26	504	483.1521183080357	379.953887375
AT	rec3	jul26_evening	84	455.76221027976186	397.7040571250001
AT	d2	all	18024	549.3392022559781	452.231375
AT	d2	evening	3004	537.1627822184587	437.8513237499999
AT	d2	jul26	504	455.2657005962302	363.70123037500025
AT	d2	jul26_evening	84	342.09268414583335	312.91055775000007
AT	ana8	all	18024	546.5818864385749	468.686571125
AT	ana8	evening	3004	541.3817578407125	462.11081249999995
AT	ana8	jul26	504	585.0628271346726	549.4180421875
AT	ana8	jul26_evening	84	576.0157456979165	518.7007890625
AT	ana8b	all	18024	514.7225086856935	432.1469374999999
AT	ana8b	evening	3004	514.266411679365	428.94725000000005
AT	ana8b	jul26	504	600.3905937327629	585.1354564375
AT	ana8b	jul26_evening	84	585.4334397968748	628.2800815625001
AT	ana16	all	18024	532.526516563568	454.3330000000001
AT	ana16	evening	3004	537.4478575374501	456.6350625000001
AT	ana16	jul26	504	559.3836467011408	516.6770946249999
AT	ana16	jul26_evening	84	574.814293815476	560.8013363125001
AT	ana16b	all	18024	512.7851877440045	434.7721624999999
AT	ana16b	evening	3004	515.3616413957432	432.19885887500004
AT	ana16b	jul26	504	624.5512696479415	612.690306875
AT	ana16b	jul26_evening	84	598.0944411354167	620.3071874687498
AT	ana8w	all	18024	570.2574699068326	490.0451868125
AT	ana8w	evening	3004	563.3463437681842	478.25398737500007
AT	ana8w	jul26	504	624.4167596063988	609.438903875
AT	ana8w	jul26_evening	84	609.2152267559524	595.6728986249998
AT	ana16w	all	18024	560.185591616234	488.85633900000005
AT	ana16w	evening	3004	561.3578215837633	491.76441875000023
AT	ana16w	jul26	504	667.0035391436012	674.0783893750001
AT	ana16w	jul26_evening	84	634.3733046979166	651.1391116875
AT	anad2	all	18024	471.7938113594721	398.1778750000001
AT	anad2	evening	3004	472.65122711542944	400.9577825000001
AT	anad2	jul26	504	437.08709404203864	380.50022903125
AT	anad2	jul26_evening	84	406.2202767470238	353.1609568125
AT	anad2w	all	18024	479.7358869507601	412.1339062500001
AT	anad2w	evening	3004	481.240621542922	417.6936562500002
AT	anad2w	jul26	504	482.94284536793157	446.67757615624987
AT	anad2w	jul26_evening	84	412.68097480729165	374.0271122500001
AT	ana16wb	all	18024	512.7851877440045	434.7721624999999
AT	ana16wb	evening	3004	515.3616413957432	432.19885887500004
AT	ana16wb	jul26	504	624.5512696479415	612.690306875
