zone	cp	rule	n_days	mae_mw
AT	CH	v2	751	233.44383376823956
AT	CZ	v2	751	203.45622087217046
AT	DE_LU	v2	751	430.8923154057438
AT	HU	v2	751	200.33612729901802
AT	IT-NORTH	v2	751	37.35552804593875
AT	SI	v2	751	190.48690912117178
AT	CH	rec3	751	238.20284121754327
AT	CZ	rec3	751	202.29414669329785
AT	DE_LU	rec3	751	427.28119622392364
AT	HU	rec3	751	204.07517568935862
AT	IT-NORTH	rec3	751	39.7814913448735
AT	SI	rec3	751	199.1054205503773
AT	CH	ana8	751	231.94786246365956
AT	CZ	ana8	751	192.69210081003106
AT	DE_LU	ana8	751	417.8834402163435
AT	HU	ana8	751	194.12514000429985
AT	IT-NORTH	ana8	751	42.0570454671549
AT	SI	ana8	751	188.22224228806041
AT	CH	ana8b	751	220.23595133919358
AT	CZ	ana8b	751	187.85998529738126
AT	DE_LU	ana8b	751	403.46175505516953
AT	HU	ana8b	751	188.38817948291168
AT	IT-NORTH	ana8b	751	36.533007379050154
AT	SI	ana8b	751	179.49379424656013
AT	CH	ana16	751	226.25415379596646
AT	CZ	ana16	751	191.9585150355082
AT	DE_LU	ana16	751	408.9482858069796
AT	HU	ana16	751	188.60310312638705
AT	IT-NORTH	ana16	751	40.041374001331555
AT	SI	ana16	751	182.43462175432757
AT	CH	ana16b	751	219.05945655132737
AT	CZ	ana16b	751	188.81705781180648
AT	DE_LU	ana16b	751	402.50543390505374
AT	HU	ana16b	751	186.7625661912589
AT	IT-NORTH	ana16b	751	35.862270791722146
AT	SI	ana16b	751	178.01131345705724
AT	CH	v3	751	219.05945655132737
AT	CZ	v3	751	188.81705781180648
AT	DE_LU	v3	751	402.50543390505374
AT	HU	v3	751	186.7625661912589
AT	IT-NORTH	v3	751	35.862270791722146
AT	SI	v3	751	178.01131345705724
BE	DE_LU	v2	751	279.7364125029521
BE	FR	v2	751	531.4343952924503
BE	GB	v2	751	266.675984532318
BE	NL	v2	751	389.5051460760652
BE	DE_LU	rec3	751	291.6151824518073
BE	FR	rec3	751	543.5281595788879
BE	GB	rec3	751	276.0976847354523
BE	NL	rec3	751	416.7782590504328
BE	DE_LU	ana8	751	284.67194937652926
BE	FR	ana8	751	531.9000225706593
BE	GB	ana8	751	259.43411540434397
BE	NL	ana8	751	404.5484522650356
BE	DE_LU	ana8b	751	270.1107416558137
BE	FR	ana8b	751	496.11494785251085
BE	GB	ana8b	751	252.02768775611858
BE	NL	ana8b	751	374.20996043816575
BE	DE_LU	ana16	751	275.9838959314999
BE	FR	ana16	751	519.1217178794767
BE	GB	ana16	751	254.2294625871095
BE	NL	ana16	751	391.9901633793831
BE	DE_LU	ana16b	751	267.8050998226595
BE	FR	ana16b	751	494.6413874331083
BE	GB	ana16b	751	250.62157821118774
BE	NL	ana16b	751	370.22607338479247
BE	DE_LU	v3	751	267.8050998226595
BE	FR	v3	751	494.6413874331083
BE	GB	v3	751	250.62157821118774
BE	NL	v3	751	370.22607338479247
BG	GR	v2	751	129.16430204172215
BG	MK	v2	751	58.54221541627829
BG	RO	v2	751	219.21934337549934
BG	RS	v2	751	84.0001521734909
BG	TR	v2	751	56.60963401455065
BG	GR	rec3	751	120.74636706613404
BG	MK	rec3	751	54.09615686226697
BG	RO	rec3	751	234.91651020861073
BG	RS	rec3	751	83.11983230137594
BG	TR	rec3	751	54.39251143402999
BG	GR	ana8	751	133.558451509099
BG	MK	ana8	751	56.640995702161014
BG	RO	ana8	751	236.27774911229474
BG	RS	ana8	751	81.40770943602975
BG	TR	ana8	751	58.8416227638511
BG	GR	ana8b	751	122.51618092543275
BG	MK	ana8b	751	54.02462712477113
BG	RO	ana8b	751	215.68365665224147
BG	RS	ana8b	751	77.47070419024634
BG	TR	ana8b	751	53.682013595399376
BG	GR	ana16	751	130.97012483355527
BG	MK	ana16	751	56.385397470997
BG	RO	ana16	751	235.31332306924102
BG	RS	ana16	751	80.59685727918331
BG	TR	ana16	751	58.436325961519906
BG	GR	ana16b	751	122.77997420106524
BG	MK	ana16b	751	54.54492882486547
BG	RO	ana16b	751	216.24860297381267
BG	RS	ana16b	751	77.72512055661895
BG	TR	ana16b	751	54.05662353576873
BG	GR	v3	751	122.77997420106524
BG	MK	v3	751	54.54492882486547
BG	RO	v3	751	216.24860297381267
BG	RS	v3	751	77.72512055661895
BG	TR	v3	751	54.05662353576873
CZ	AT	v2	751	203.45622087217046
CZ	DE_LU	v2	751	442.87797252274737
CZ	PL	v2	751	247.674850966073
CZ	SK	v2	751	277.4868307534399
CZ	AT	rec3	751	202.29414669329785
CZ	DE_LU	rec3	751	470.466272435364
CZ	PL	rec3	751	251.4441196418664
CZ	SK	rec3	751	281.4579228389925
CZ	AT	ana8	751	199.68345400577007
CZ	DE_LU	ana8	751	454.39381390437745
CZ	PL	ana8	751	241.3772079248502
CZ	SK	ana8	751	278.6673635846649
CZ	AT	ana8b	751	189.58783427652023
CZ	DE_LU	ana8b	751	429.05676583132214
CZ	PL	ana8b	751	232.52535511574845
CZ	SK	ana8b	751	262.91484874334225
CZ	AT	ana16	751	194.95223729471812
CZ	DE_LU	ana16	751	443.8236881519086
CZ	PL	ana16	751	237.93589253980804
CZ	SK	ana16	751	268.67007552430096
CZ	AT	ana16b	751	188.5742482245894
CZ	DE_LU	ana16b	751	427.3843652803207
CZ	PL	ana16b	751	232.13444034897913
CZ	SK	ana16b	751	260.8312382101642
CZ	AT	v3	751	188.5742482245894
CZ	DE_LU	v3	751	427.3843652803207
CZ	PL	v3	751	232.13444034897913
CZ	SK	v3	751	260.8312382101642
DE_LU	AT	v2	751	430.8923154057438
DE_LU	BE	v2	751	279.7364125029521
DE_LU	CH	v2	751	492.80790866321985
DE_LU	CZ	v2	751	442.87797252274737
DE_LU	DK1	v2	751	602.7418091919108
DE_LU	DK2	v2	751	208.5358423490901
DE_LU	FR	v2	751	388.50679350745304
DE_LU	NL	v2	751	784.3017065638178
DE_LU	NO2	v2	751	281.24693417804036
DE_LU	PL	v2	751	290.6663364611074
DE_LU	SE4	v2	751	113.26125250452175
DE_LU	AT	rec3	751	427.28119622392364
DE_LU	BE	rec3	751	291.6151824518073
DE_LU	CH	rec3	751	461.1818184599354
DE_LU	CZ	rec3	751	470.466272435364
DE_LU	DK1	rec3	751	534.6102424336995
DE_LU	DK2	rec3	751	185.00328349006878
DE_LU	FR	rec3	751	415.4284240805777
DE_LU	NL	rec3	751	835.0347933335412
DE_LU	NO2	rec3	751	245.90711435447184
DE_LU	PL	rec3	751	313.95117616788724
DE_LU	SE4	rec3	751	105.61664367842182
DE_LU	AT	ana8	751	454.87270942261006
DE_LU	BE	ana8	751	293.14611911253627
DE_LU	CH	ana8	751	501.0098529438006
DE_LU	CZ	ana8	751	477.4764428574401
DE_LU	DK1	ana8	751	516.335519921355
DE_LU	DK2	ana8	751	184.81354891048048
DE_LU	FR	ana8	751	416.9338207797705
DE_LU	NL	ana8	751	808.9402980627219
DE_LU	NO2	ana8	751	278.42727871865293
DE_LU	PL	ana8	751	295.7999405722925
DE_LU	SE4	ana8	751	132.28255621182868
DE_LU	AT	ana8b	751	416.83602857107195
DE_LU	BE	ana8b	751	275.17560229528743
DE_LU	CH	ana8b	751	461.24759764170517
DE_LU	CZ	ana8b	751	439.79882311258604
DE_LU	DK1	ana8b	751	510.8489584633683
DE_LU	DK2	ana8b	751	177.15587493238183
DE_LU	FR	ana8b	751	380.52615773702195
DE_LU	NL	ana8b	751	754.6305404136499
DE_LU	NO2	ana8b	751	249.7449283108633
DE_LU	PL	ana8b	751	282.4073637927208
DE_LU	SE4	ana8b	751	112.85880502974507
DE_LU	AT	ana16	751	433.87849767469754
DE_LU	BE	ana16	751	285.18847471342724
DE_LU	CH	ana16	751	479.58575556624845
DE_LU	CZ	ana16	751	457.1469530868564
DE_LU	DK1	ana16	751	505.4089985158677
DE_LU	DK2	ana16	751	180.23945665848314
DE_LU	FR	ana16	751	406.62334415500396
DE_LU	NL	ana16	751	786.3346438305176
DE_LU	NO2	ana16	751	267.8894952840657
DE_LU	PL	ana16	751	288.6829336128218
DE_LU	SE4	ana16	751	127.4912544130153
DE_LU	AT	ana16b	751	411.3081653501061
DE_LU	BE	ana16b	751	272.5119893864737
DE_LU	CH	ana16b	751	455.66010844381617
DE_LU	CZ	ana16b	751	433.69987882649525
DE_LU	DK1	ana16b	751	509.27009506421996
DE_LU	DK2	ana16b	751	175.79265313783014
DE_LU	FR	ana16b	751	379.1160760399618
DE_LU	NL	ana16b	751	750.5272707510126
DE_LU	NO2	ana16b	751	247.24349345317353
DE_LU	PL	ana16b	751	280.76510638072847
DE_LU	SE4	ana16b	751	111.19150267376311
DE_LU	AT	v3	751	411.3081653501061
DE_LU	BE	v3	751	272.5119893864737
DE_LU	CH	v3	751	455.66010844381617
DE_LU	CZ	v3	751	433.69987882649525
DE_LU	DK1	v3	751	602.7418091919108
DE_LU	DK2	v3	751	208.5358423490901
DE_LU	FR	v3	751	379.1160760399618
DE_LU	NL	v3	751	750.5272707510126
DE_LU	NO2	v3	751	281.24693417804036
DE_LU	PL	v3	751	280.76510638072847
DE_LU	SE4	v3	751	113.26125250452175
DK1	DE_LU	v2	751	602.7418091919108
DK1	DK2	v2	751	160.34021847379438
DK1	GB	v2	751	424.46929006143466
DK1	NL	v2	751	265.24397463104754
DK1	NO2	v2	751	387.51838570413065
DK1	SE3	v2	751	168.09640846344456
DK1	DE_LU	rec3	751	534.6102424336995
DK1	DK2	rec3	751	143.51994911698463
DK1	GB	rec3	751	393.82108891124994
DK1	NL	rec3	751	244.8789073596316
DK1	NO2	rec3	751	333.1856729129633
DK1	SE3	rec3	751	154.51923058661367
DK1	DE_LU	ana8	751	492.8940281915779
DK1	DK2	ana8	751	132.2640934868477
DK1	GB	ana8	751	358.39221242696004
DK1	NL	ana8	751	232.07822829976698
DK1	NO2	ana8	751	339.0854736844866
DK1	SE3	ana8	751	156.10547162271484
DK1	DE_LU	ana8b	751	497.97287331127944
DK1	DK2	ana8b	751	133.4136506055648
DK1	GB	ana8b	751	361.1649506746458
DK1	NL	ana8b	751	228.4952798872337
DK1	NO2	ana8b	751	325.64741210903344
DK1	SE3	ana8b	751	148.7367945422371
DK1	DE_LU	ana16	751	481.143476718542
DK1	DK2	ana16	751	127.27106745288101
DK1	GB	ana16	751	346.28230059068204
DK1	NL	ana16	751	225.12142438554147
DK1	NO2	ana16	751	335.50877808316346
DK1	SE3	ana16	751	155.14225930561335
DK1	DE_LU	ana16b	751	495.8684673802985
DK1	DK2	ana16b	751	132.23274442425696
DK1	GB	ana16b	751	358.9548764470562
DK1	NL	ana16b	751	227.4651105297104
DK1	NO2	ana16b	751	324.2925451584606
DK1	SE3	ana16b	751	148.93179318636263
DK1	DE_LU	v3	751	602.7418091919108
DK1	DK2	v3	751	160.34021847379438
DK1	GB	v3	751	424.46929006143466
DK1	NL	v3	751	265.24397463104754
DK1	NO2	v3	751	387.51838570413065
DK1	SE3	v3	751	168.09640846344456
DK2	DE_LU	v2	751	208.5358423490901
DK2	DK1	v2	751	160.34021847379438
DK2	SE4	v2	751	202.64278076717846
DK2	DE_LU	rec3	751	185.00328349006878
DK2	DK1	rec3	751	143.51994911698463
DK2	SE4	rec3	751	179.29826738070764
DK2	DE_LU	ana8	751	188.62136038407124
DK2	DK1	ana8	751	136.26642753279748
DK2	SE4	ana8	751	186.2666112830913
DK2	DE_LU	ana8b	751	178.1125337553401
DK2	DK1	ana8b	751	135.4399234820929
DK2	SE4	ana8b	751	174.79040916177908
DK2	DE_LU	ana16	751	183.7234456349867
DK2	DK1	ana16	751	131.4783851914676
DK2	SE4	ana16	751	181.94547274349478
DK2	DE_LU	ana16b	751	176.5034388384931
