window	zone	arm	n	bias	mae	corr	eve_bias	eve_mae
jul26_flip	AT	v2	360	-27.51	36.24	0.71	-47.88	47.88
jul26_flip	AT	v3	360	-29.64	35.26	0.79	-51.18	51.18
jul26_flip	BE	v2	360	-33.61	38.28	0.85	-42.96	49.14
jul26_flip	BE	v3	360	-29.11	34.43	0.85	-31.59	43.74
jul26_flip	BG	v2	360	-10.30	32.07	0.86	44.89	45.03
jul26_flip	BG	v3	360	-10.45	31.59	0.85	43.50	43.64
jul26_flip	CH	v2	360	-30.38	35.45	0.79	-46.15	46.15
jul26_flip	CH	v3	360	-31.89	36.63	0.78	-48.10	48.10
jul26_flip	CZ	v2	360	-37.28	42.03	0.78	-59.21	59.21
jul26_flip	CZ	v3	360	-37.11	41.72	0.79	-59.37	59.37
jul26_flip	DE_LU	v2	360	-27.97	29.92	0.95	-52.77	52.77
jul26_flip	DE_LU	v3	360	-28.00	29.71	0.95	-52.71	52.71
jul26_flip	DK1	v2	360	-32.97	35.68	0.83	-70.87	70.87
jul26_flip	DK1	v3	360	-29.58	32.25	0.90	-58.77	58.77
jul26_flip	DK2	v2	360	-43.06	46.68	0.78	-72.90	72.90
jul26_flip	DK2	v3	360	-41.58	45.90	0.79	-68.87	68.87
jul26_flip	EE	v2	360	-2.29	34.72	0.51	-13.75	43.61
jul26_flip	EE	v3	360	-6.34	31.46	0.58	-13.80	42.08
jul26_flip	ES	v2	360	-8.34	27.37	0.87	9.53	31.32
jul26_flip	ES	v3	360	-9.27	28.18	0.87	7.99	32.49
jul26_flip	FI	v2	360	12.80	17.18	0.36	7.99	15.47
jul26_flip	FI	v3	360	3.30	10.68	0.38	4.76	15.32
jul26_flip	FR	v2	360	-26.26	37.48	0.82	-27.69	33.40
jul26_flip	FR	v3	360	-28.35	39.36	0.81	-30.53	38.06
jul26_flip	GR	v2	360	-5.26	33.04	0.85	57.19	57.33
jul26_flip	GR	v3	360	-8.95	30.22	0.87	42.64	42.78
jul26_flip	HU	v2	360	-68.54	69.37	0.72	-63.83	66.18
jul26_flip	HU	v3	360	-72.98	73.39	0.68	-65.09	65.09
jul26_flip	IT-CNORTH	v2	360	-11.22	21.49	0.37	-28.14	46.81
jul26_flip	IT-CNORTH	v3	360	-11.60	21.41	0.38	-29.22	46.97
jul26_flip	IT-CSOUTH	v2	360	-15.92	19.68	0.58	-44.01	44.01
jul26_flip	IT-CSOUTH	v3	360	-16.09	19.54	0.60	-44.01	44.01
jul26_flip	IT-Calabria	v2	360	-15.92	19.68	0.58	-44.01	44.01
jul26_flip	IT-Calabria	v3	360	-16.09	19.54	0.60	-44.01	44.01
jul26_flip	IT-NORTH	v2	360	-10.29	20.60	0.38	-25.13	43.79
jul26_flip	IT-NORTH	v3	360	-10.66	20.51	0.39	-26.20	43.96
jul26_flip	IT-SOUTH	v2	360	-15.92	19.68	0.58	-44.01	44.01
jul26_flip	IT-SOUTH	v3	360	-16.09	19.54	0.60	-44.01	44.01
