window	zone	arm	n	bias	mae	corr	eve_bias	eve_mae
july2026_failure	AT	base	360	-32.58	34.33	0.88	-52.90	52.90
july2026_failure	AT	ua2	360	-32.57	34.33	0.88	-52.90	52.90
july2026_failure	AT	dk1	360	-32.08	33.88	0.88	-52.43	52.43
july2026_failure	BE	base	360	-28.78	34.31	0.86	-31.59	43.74
july2026_failure	BE	ua2	360	-28.76	34.32	0.86	-31.59	43.74
july2026_failure	BE	dk1	360	-28.39	34.06	0.86	-31.52	43.66
july2026_failure	BG	base	360	-11.05	31.71	0.85	42.66	42.80
july2026_failure	BG	ua2	360	-10.55	30.73	0.85	40.99	41.46
july2026_failure	BG	dk1	360	-11.05	31.71	0.85	42.66	42.80
july2026_failure	CH	base	360	-30.02	34.11	0.90	-46.55	46.55
july2026_failure	CH	ua2	360	-30.02	34.11	0.90	-46.55	46.55
july2026_failure	CH	dk1	360	-29.45	33.60	0.90	-46.21	46.21
july2026_failure	CZ	base	360	-36.81	41.45	0.79	-59.26	59.26
july2026_failure	CZ	ua2	360	-36.33	41.03	0.79	-59.14	59.14
july2026_failure	CZ	dk1	360	-36.63	41.36	0.79	-59.12	59.12
july2026_failure	DE_LU	base	360	-26.76	28.68	0.96	-51.18	51.18
july2026_failure	DE_LU	ua2	360	-26.74	28.66	0.96	-51.18	51.18
july2026_failure	DE_LU	dk1	360	-25.92	28.04	0.96	-50.44	50.44
july2026_failure	DK1	base	360	-28.49	31.47	0.90	-58.05	58.05
july2026_failure	DK1	ua2	360	-28.39	31.52	0.90	-58.05	58.05
july2026_failure	DK1	dk1	360	-23.93	28.31	0.93	-47.79	48.10
july2026_failure	DK2	base	360	-40.75	45.25	0.78	-68.36	68.36
july2026_failure	DK2	ua2	360	-40.61	45.33	0.78	-68.36	68.36
july2026_failure	DK2	dk1	360	-39.40	44.56	0.78	-65.96	65.96
july2026_failure	EE	base	360	-6.30	31.47	0.58	-13.82	42.07
july2026_failure	EE	ua2	360	-6.22	31.50	0.58	-13.53	42.12
july2026_failure	EE	dk1	360	-5.99	31.39	0.58	-13.55	41.83
july2026_failure	ES	base	360	-9.34	27.99	0.88	7.22	32.22
july2026_failure	ES	ua2	360	-9.34	27.99	0.88	7.22	32.22
july2026_failure	ES	dk1	360	-9.34	27.99	0.88	7.28	32.16
july2026_failure	FI	base	360	3.31	10.68	0.38	4.76	15.32
july2026_failure	FI	ua2	360	3.34	10.70	0.38	4.76	15.32
july2026_failure	FI	dk1	360	3.50	10.71	0.39	4.76	15.32
july2026_failure	FR	base	360	-29.95	39.73	0.84	-37.49	37.67
july2026_failure	FR	ua2	360	-29.95	39.73	0.84	-37.49	37.67
july2026_failure	FR	dk1	360	-29.81	39.60	0.84	-37.31	37.49
july2026_failure	GR	base	360	-9.39	30.29	0.87	42.08	42.22
july2026_failure	GR	ua2	360	-8.93	29.39	0.87	40.27	40.74
july2026_failure	GR	dk1	360	-9.39	30.29	0.87	42.08	42.22
july2026_failure	HU	base	360	-71.93	72.34	0.69	-64.22	64.22
july2026_failure	HU	ua2	360	-55.83	57.08	0.79	-60.89	60.89
july2026_failure	HU	dk1	360	-71.93	72.34	0.69	-64.22	64.22
july2026_failure	IT-CNORTH	base	360	-15.18	19.50	0.55	-41.15	42.18
july2026_failure	IT-CNORTH	ua2	360	-15.17	19.52	0.55	-41.15	42.18
july2026_failure	IT-CNORTH	dk1	360	-15.17	19.51	0.55	-41.15	42.18
july2026_failure	IT-CSOUTH	base	360	-16.39	19.26	0.65	-44.01	44.01
july2026_failure	IT-CSOUTH	ua2	360	-16.38	19.27	0.65	-44.01	44.01
july2026_failure	IT-CSOUTH	dk1	360	-16.38	19.26	0.65	-44.01	44.01
july2026_failure	IT-Calabria	base	360	-16.39	19.26	0.65	-44.01	44.01
july2026_failure	IT-Calabria	ua2	360	-16.38	19.27	0.65	-44.01	44.01
july2026_failure	IT-Calabria	dk1	360	-16.38	19.26	0.65	-44.01	44.01
july2026_failure	IT-NORTH	base	360	-14.25	18.61	0.55	-38.14	39.16
july2026_failure	IT-NORTH	ua2	360	-14.24	18.62	0.55	-38.14	39.16
july2026_failure	IT-NORTH	dk1	360	-14.24	18.62	0.55	-38.13	39.16
july2026_failure	IT-SOUTH	base	360	-16.39	19.26	0.65	-44.01	44.01
july2026_failure	IT-SOUTH	ua2	360	-16.38	19.27	0.65	-44.01	44.01
july2026_failure	IT-SOUTH	dk1	360	-16.38	19.26	0.65	-44.01	44.01
july2026_failure	IT-Sardinia	base	360	-21.42	23.18	0.71	-44.01	44.01
july2026_failure	IT-Sardinia	ua2	360	-21.42	23.18	0.71	-44.01	44.01
july2026_failure	IT-Sardinia	dk1	360	-21.42	23.18	0.71	-44.01	44.01
july2026_failure	IT-Sicily	base	360	-19.83	24.25	0.61	-42.24	51.65
july2026_failure	IT-Sicily	ua2	360	-19.82	24.26	0.61	-42.24	51.65
july2026_failure	IT-Sicily	dk1	360	-19.81	24.25	0.61	-42.24	51.65
july2026_failure	LT	base	360	-46.69	49.86	0.75	-71.63	72.08
july2026_failure	LT	ua2	360	-46.59	49.79	0.75	-71.32	71.77
july2026_failure	LT	dk1	360	-46.36	49.67	0.75	-71.35	71.80
july2026_failure	LV	base	360	-47.72	50.21	0.74	-71.63	72.08
july2026_failure	LV	ua2	360	-47.62	50.15	0.74	-71.32	71.77
july2026_failure	LV	dk1	360	-47.40	50.04	0.74	-71.35	71.80
july2026_failure	NL	base	360	-21.60	32.90	0.84	-57.27	57.27
july2026_failure	NL	ua2	360	-21.60	32.90	0.84	-57.27	57.27
july2026_failure	NL	dk1	360	-21.14	32.91	0.84	-57.23	57.23
july2026_failure	NO1	base	360	-27.58	28.29	0.85	-27.04	27.04
july2026_failure	NO1	ua2	360	-27.56	28.28	0.85	-27.04	27.04
july2026_failure	NO1	dk1	360	-27.00	27.76	0.84	-26.56	26.56
july2026_failure	NO2	base	360	-20.06	20.97	0.90	-15.88	17.04
july2026_failure	NO2	ua2	360	-20.03	20.94	0.90	-15.88	17.04
july2026_failure	NO2	dk1	360	-19.29	20.27	0.90	-15.39	16.59
july2026_failure	NO3	base	360	20.32	40.21	-0.05	51.44	51.44
july2026_failure	NO3	ua2	360	20.33	40.22	-0.05	51.44	51.44
july2026_failure	NO3	dk1	360	20.92	40.47	-0.06	51.75	51.75
july2026_failure	NO4	base	360	20.96	21.01	0.13	21.60	21.60
july2026_failure	NO4	ua2	360	20.96	21.01	0.13	21.60	21.60
july2026_failure	NO4	dk1	360	20.96	21.01	0.13	21.60	21.60
