zone,MAE,bias,corr,R2_price,n_hours,R2_resid_gbm
IT-CSOUTH,17.438,1.051,0.725,0.328,17496,0.478
IT-Calabria,19.103,-8.937,0.722,0.33,17496,0.231
IT-SOUTH,19.241,-6.297,0.738,0.291,17496,0.362
DE_LU,20.534,1.63,0.876,0.655,17496,0.648
IT-Sicily,20.547,-10.853,0.711,0.342,17496,0.24
NO2,20.663,6.945,0.684,0.421,17496,0.358
IT-NORTH,21.24,7.439,0.651,-0.527,17496,0.678
IT-Sardinia,21.415,-6.316,0.686,0.266,17496,0.355
AT,21.424,-10.201,0.858,0.626,17496,0.444
FR,21.512,7.369,0.842,0.664,17496,0.42
CZ,21.646,-5.771,0.831,0.586,17496,0.44
IT-CNORTH,21.775,6.171,0.635,-0.441,17496,0.549
BE,21.918,8.812,0.829,0.6,17400,0.437
CH,22.848,-8.918,0.807,0.586,17496,0.48
NL,22.983,0.568,0.795,0.513,17496,0.45
ES,23.105,2.91,0.8,0.562,17496,0.634
GR,23.276,-10.066,0.798,0.613,17472,0.31
PT,23.643,2.786,0.781,0.525,17496,0.576
DK1,23.819,5.107,0.822,0.564,17496,0.392
SE1,24.319,16.471,0.725,0.308,17472,0.485
NO4,24.454,19.536,0.703,0.03,17496,0.434
PL,25.685,-11.077,0.79,0.48,17496,0.625
SE2,25.767,18.221,0.709,0.241,17472,0.512
BG,26.173,-7.649,0.759,0.555,17448,0.279
SI,26.484,-13.981,0.761,0.446,17112,0.349
FI,26.607,6.036,0.797,0.588,17496,0.47
NO1,26.612,3.483,0.547,0.275,17496,0.585
NO5,26.631,4.356,0.51,0.215,17496,0.695
RO,27.192,-7.3,0.749,0.522,17496,0.391
SK,27.632,-13.759,0.776,0.457,17496,0.443
SE3,28.61,11.631,0.627,0.331,17472,0.538
DK2,29.345,-12.853,0.691,0.417,17496,0.334
SE4,30.573,7.766,0.503,0.108,17472,0.176
NO3,30.768,20.016,0.548,-0.014,17496,0.653
RS,30.849,0.999,0.625,0.373,17448,0.446
HU,33.126,-20.507,0.704,0.328,17496,0.532
EE,38.05,-16.049,0.721,0.415,17494,0.282
LT,38.162,-21.018,0.712,0.379,17496,0.363
LV,38.231,-21.916,0.716,0.373,17496,0.335
