zone,klass,r2_phys,d_r2,top_phys,top_cond,mk_pk_prem,mk_win_prem,resid_pk,piv_share,tier1
NO3,concentration-linked,0.6530755564053825,0.0561534393528116,month,hhi,-6.3,42.9,-25.140440672153638,0.5910493827160493,0
AT,concentration-linked,0.4441099693954585,0.0357868399592818,res_sh,top1_sh,-0.4,18.6,27.13198859739369,0.2363397347965249,0
NO4,concentration-linked,0.434119971646948,0.0624721946022368,gas,top1_sh,-3.0,16.7,-21.42133830589849,0.245713305898491,0
NO5,model-gap,0.6949246802923563,0.0264165897020076,margin,hhi,-6.0,49.6,-7.252929526748972,0.1776406035665295,0
IT-NORTH,model-gap,0.6783420595104724,-0.0040087860484711,D,rsi,-36.8,-25.5,-15.525344650205762,0.0455532693187014,0
ES,model-gap,0.634401195083544,-0.0029332087439232,month,hhi,-16.7,-15.6,-15.708245027434842,0.0113168724279835,0
NO1,model-gap,0.5850671918487917,0.0178822592149441,np_head_exp,top1_sh,0.5,52.0,-3.4298936899862813,0.7521719250114312,0
PT,model-gap,0.5756548957948158,0.010462260233117,month,hhi,-29.4,-28.3,-17.54815072016461,0.0021719250114311,0
IT-CNORTH,model-gap,0.5491380226471936,0.0022157430926668,D,top1_sh,-91.7,-44.1,-10.144308984910834,0.8777434842249657,0
SE3,model-gap,0.5384488112144147,0.0165114220486427,np_head_exp,top1_sh,10.1,10.4,-5.88210679945055,0.5884271978021978,0
SE2,model-gap,0.5118490477132098,0.0208148517042718,gas,top1_sh,-4.6,6.7,-17.9054532967033,0.9987980769230768,0
SE1,model-gap,0.4853331605213002,0.0173603877404966,gas,hhi,6.0,27.6,-15.517647664835163,0.2383814102564102,0
CH,model-gap,0.4797881146700716,0.0236091053755935,res_sh,hhi,-2.4,44.9,15.021776406035665,0.1888431641518061,0
IT-CSOUTH,model-gap,0.4779164364377997,0.006149107315002,margin,rsi,-1.8,-5.2,-11.018621399176952,0.0057727480566986,0
FI,model-gap,0.4699833204941493,0.0213689727983038,margin,rsi,3.8,-8.1,-2.3875385802469133,0.3744284407864655,0
SK,model-gap,0.4425633782661161,0.0187648607638284,D,top1_sh,-55.1,-68.7,45.565276063100136,0.7380544124371284,0
CZ,model-gap,0.4397238943617547,0.0134674978890029,res_sh,rsi,18.2,3.2,26.81542952674897,0.0016003657978966,0
BE,model-gap,0.436828050166371,0.0074254547473956,res_sh,hhi,10.5,-2.3,4.4260163793103455,0.0112068965517241,0
FR,model-gap,0.4204404605771215,-0.0061991110931706,gas,rsi,-5.7,7.0,-5.101602366255143,1.0,1
RO,model-gap,0.3906479947103635,0.0140958629952093,margin,top1_sh,-35.7,-61.2,30.17325102880659,0.6344878829446731,1
LT,model-gap,0.3634726972821839,0.0251504501690161,margin,top1_sh,12.8,19.4,44.04952074759945,0.2195930498399634,0
IT-SOUTH,model-gap,0.3615739167229228,-0.0020722467436972,margin,rsi,-29.5,-7.0,-2.1554166666666665,0.1266003657978966,0
NO2,model-gap,0.3581294492616828,0.018191537469327,np_head_exp,top1_sh,5.0,21.4,-4.674531893004116,0.5660150891632373,0
IT-Sardinia,model-gap,0.3554974964623879,0.0088043328467867,margin,hhi,-22.9,32.1,-1.4289377572016464,0.0192043895747599,0
SI,model-gap,0.3490821323210427,0.0140728364299591,res_sh,hhi,-17.6,18.9,46.39114831697054,0.2216573165030388,0
GR,model-gap,0.3095183173225769,0.0101034359212516,margin,top1_sh,-4.3,-10.2,15.112875171703296,0.4375572344322344,1
BG,model-gap,0.2789762331355717,0.0057355709638938,co2,hhi,-35.9,-9.2,22.017909215955985,0.4966185236130215,1
DE_LU,tightness-marked,0.6476918071042248,0.0010095017807744,res_sh,rsi,26.6,0.8,19.226844993141288,0.0173754000914494,0
PL,tightness-marked,0.6253027004347813,-0.0037634021635493,res_sh,rsi,48.4,-0.3,43.850010288065846,0.0,0
HU,tightness-marked,0.5322522240024458,0.0122946235858293,D,top1_sh,81.8,12.1,70.96298782578876,0.3029835390946502,1
NL,tightness-marked,0.4502253650620531,0.0150448896644338,res_sh,hhi,42.8,8.2,25.40311299725652,0.0028006401463191,0
RS,tightness-marked,0.4456685003190652,0.0020991278388226,imp_sh,top1_sh,54.8,0.4,31.998242778541957,0.9995988078862909,1
DK1,tightness-marked,0.3916541977617573,0.0094565138349589,res_sh,top1_sh,33.3,-15.0,13.775843620156037,0.7764631915866483,0
LV,tightness-marked,0.3347230637684635,0.0188215187053709,nx,top1_sh,37.6,-9.3,46.21355967078189,0.1583219021490626,0
DK2,tightness-marked,0.3341942208924819,-0.0016651400013352,res_sh,top1_sh,30.2,-4.2,30.79113596694959,0.164437585733882,0
EE,tightness-marked,0.2819914054263069,-0.0069509007398623,res_sh,rsi,51.6,43.5,39.08619170096021,0.1828626957814107,0
IT-Sicily,unexplained,0.2403123411161277,-0.0074268186801463,res_sh,rsi,23.8,5.9,15.677849794238684,0.0008001828989483,0
IT-Calabria,unexplained,0.2313580042838159,0.0160422860734176,res_sh,rsi,-43.6,-7.3,10.64466135116598,0.0876200274348422,0
SE4,unexplained,0.176316742077755,0.0166337563214152,np_head_exp,hhi,25.4,-8.7,3.589690934065934,0.5541437728937729,0
