zone,mk_pk_prem,mk_win_prem,piv_share,tier1
HU,81.8,12.1,0.3,1.0
RS,54.8,0.4,1.0,1.0
EE,51.6,43.5,0.2,0.0
PL,48.4,-0.3,0.0,0.0
NL,42.8,8.2,0.0,0.0
LV,37.6,-9.3,0.2,0.0
DK1,33.3,-15.0,0.8,0.0
DK2,30.2,-4.2,0.2,0.0
DE_LU,26.6,0.8,0.0,0.0
SE4,25.4,-8.7,0.6,0.0
IT-Sicily,23.8,5.9,0.0,0.0
CZ,18.2,3.2,0.0,0.0
LT,12.8,19.4,0.2,0.0
BE,10.5,-2.3,0.0,0.0
SE3,10.1,10.4,0.6,0.0
SE1,6.0,27.6,0.2,0.0
NO2,5.0,21.4,0.6,0.0
FI,3.8,-8.1,0.4,0.0
NO1,0.5,52.0,0.8,0.0
AT,-0.4,18.6,0.2,0.0
IT-CSOUTH,-1.8,-5.2,0.0,0.0
CH,-2.4,44.9,0.2,0.0
NO4,-3.0,16.7,0.2,0.0
GR,-4.3,-10.2,0.4,1.0
SE2,-4.6,6.7,1.0,0.0
FR,-5.7,7.0,1.0,1.0
NO5,-6.0,49.6,0.2,0.0
NO3,-6.3,42.9,0.6,0.0
ES,-16.7,-15.6,0.0,0.0
SI,-17.6,18.9,0.2,0.0
IT-Sardinia,-22.9,32.1,0.0,0.0
PT,-29.4,-28.3,0.0,0.0
IT-SOUTH,-29.5,-7.0,0.1,0.0
RO,-35.7,-61.2,0.6,1.0
BG,-35.9,-9.2,0.5,1.0
IT-NORTH,-36.8,-25.5,0.0,0.0
IT-Calabria,-43.6,-7.3,0.1,0.0
SK,-55.1,-68.7,0.7,0.0
IT-CNORTH,-91.7,-44.1,0.9,0.0
