zone,n,r2_phys,d_r2,top_cond,top_cond_imp,top_phys,piv_share,piv_prem,resid_pk,tier1,verdict
NO4,17496,0.43411997164694804,0.06247219460223685,top1_sh,0.3058150419903139,gas,0.24571330589849108,-7.603211559449432,-21.42133830589849,0,CONDUCT?
NO3,17496,0.6530755564053825,0.056153439352811696,hhi,0.6047873995402634,month,0.5910493827160493,-22.516157280016373,-25.140440672153634,0,CONDUCT?
AT,17496,0.44410996939545855,0.03578683995928189,top1_sh,0.19588075663575816,res_sh,0.23633973479652493,7.839063953760884,27.13198859739369,0,CONDUCT?
NO5,17496,0.6949246802923563,0.026416589702007665,hhi,0.33913960638417684,margin,0.1776406035665295,-4.115147178538931,-7.252929526748972,0,physics
LT,17496,0.3634726972821839,0.02515045016901618,top1_sh,0.13220992435563622,margin,0.21959304983996342,0.8155796302136462,44.04952074759945,0,physics
CH,17496,0.47978811467007165,0.023609105375593575,hhi,0.1117186347936262,res_sh,0.18884316415180613,-5.391826619374262,15.021776406035665,0,physics
FI,17496,0.46998332049414937,0.021368972798303854,rsi,0.2334765571704407,margin,0.3744284407864655,3.3249398851336327,-2.3875385802469133,0,physics
SE2,17472,0.5118490477132098,0.020814851704271886,top1_sh,0.059855496272031905,gas,0.9987980769230769,,-17.9054532967033,0,physics
LV,17496,0.3347230637684635,0.018821518705370965,top1_sh,0.10496395408891745,nx,0.15832190214906264,20.011560598734214,46.21355967078189,0,physics
SK,17496,0.44256337826611614,0.01876486076382844,top1_sh,0.06960169419157997,D,0.7380544124371284,18.601415361234007,45.565276063100136,0,physics
NO2,17496,0.3581294492616828,0.018191537469327,top1_sh,0.1502794459455904,np_head_exp,0.5660150891632373,6.882059948715079,-4.674531893004116,0,physics
NO1,17496,0.5850671918487917,0.01788225921494413,top1_sh,0.27462858107683685,np_head_exp,0.7521719250114312,-30.588880566563205,-3.4298936899862813,0,physics
SE1,17472,0.48533316052130027,0.01736038774049664,hhi,0.1470813584757934,gas,0.23838141025641027,11.349799215617393,-15.517647664835165,0,physics
SE4,17472,0.17631674207775505,0.016633756321415283,hhi,0.0900593114048508,np_head_exp,0.5541437728937729,13.337417685382192,3.589690934065934,0,noise/unexplained
SE3,17472,0.5384488112144147,0.016511422048642754,top1_sh,0.06749389201877531,np_head_exp,0.5884271978021978,-0.8059408720238928,-5.88210679945055,0,physics
IT-Calabria,17496,0.23135800428381592,0.016042286073417622,rsi,0.10826304964301814,res_sh,0.08762002743484225,1.8959483996275452,10.644661351165981,0,noise/unexplained
NL,17496,0.45022536506205313,0.015044889664433847,hhi,0.10778323178301186,res_sh,0.0028006401463191587,-4.579366603751326,25.403112997256518,0,physics
RO,17496,0.3906479947103635,0.014095862995209374,top1_sh,0.1598633418939327,margin,0.6344878829446731,-1.0710443144668689,30.17325102880659,1,physics
SI,17112,0.3490821323210427,0.014072836429959157,hhi,0.11565760945993159,res_sh,0.2216573165030388,3.4864630275287567,46.39114831697054,0,physics
CZ,17496,0.43972389436175474,0.013467497889002922,rsi,0.3260862908100261,res_sh,0.001600365797896662,,26.81542952674897,0,physics
HU,17496,0.5322522240024458,0.012294623585829334,top1_sh,0.3305169272969768,D,0.3029835390946502,-29.249234273933062,70.96298782578876,1,physics
PT,17496,0.5756548957948158,0.010462260233117027,hhi,0.11750245235881707,month,0.0021719250114311845,-54.74303450912799,-17.54815072016461,0,physics
GR,17472,0.30951831732257695,0.010103435921251624,top1_sh,0.053197519265313686,margin,0.43755723443223443,3.021729190741084,15.112875171703296,1,physics
DK1,17496,0.39165419776175736,0.009456513834958935,top1_sh,0.09900522755529262,res_sh,0.7764631915866483,-3.3767637382358293,13.775843620156037,0,physics
IT-Sardinia,17496,0.35549749646238793,0.008804332846786722,hhi,0.04989669315301104,margin,0.019204389574759947,-8.11672662739366,-1.4289377572016464,0,physics
BE,17400,0.43682805016637105,0.007425454747395643,hhi,0.16330930092790907,res_sh,0.011206896551724138,5.173375080996019,4.4260163793103455,0,physics
IT-CSOUTH,17496,0.4779164364377997,0.006149107315002067,rsi,0.08221036240826518,margin,0.005772748056698674,-66.10730721685555,-11.018621399176952,0,physics
BG,17448,0.27897623313557174,0.005735570963893877,hhi,0.2394867251745767,co2,0.49661852361302156,1.0419628727163144,22.017909215955985,1,physics
IT-CNORTH,17496,0.5491380226471936,0.002215743092666811,top1_sh,0.03865615971382763,D,0.8777434842249657,8.229251078563337,-10.144308984910834,0,physics
RS,17448,0.44566850031906524,0.002099127838822601,top1_sh,0.05674614444035553,imp_sh,0.9995988078862907,,31.998242778541954,1,physics
DE_LU,17496,0.6476918071042248,0.0010095017807744133,rsi,0.24788144194767014,res_sh,0.017375400091449476,58.499141708020815,19.226844993141288,0,physics
DK2,17496,0.33419422089248196,-0.0016651400013352191,top1_sh,0.056229001163086045,res_sh,0.16443758573388204,16.788200558883403,30.79113596694959,0,physics
IT-SOUTH,17496,0.36157391672292283,-0.0020722467436972147,rsi,0.04269127568188669,margin,0.12660036579789666,1.5564865460855135,-2.1554166666666665,0,physics
ES,17496,0.634401195083544,-0.0029332087439232213,hhi,0.033754222868278394,month,0.01131687242798354,-46.79032942572275,-15.708245027434842,0,physics
PL,17496,0.6253027004347813,-0.003763402163549312,rsi,0.25157509076808027,res_sh,0.0,,43.850010288065846,0,physics
IT-NORTH,17496,0.6783420595104724,-0.004008786048471102,rsi,0.44667361061623984,D,0.04555326931870142,-91.39145893059276,-15.525344650205762,0,physics
FR,17496,0.4204404605771215,-0.006199111093170617,rsi,0.14996547725903214,gas,1.0,,-5.101602366255143,1,physics
EE,17494,0.28199140542630696,-0.006950900739862376,rsi,0.047214155915032474,res_sh,0.18286269578141076,9.635454661666161,39.086191700960214,0,physics
IT-Sicily,17496,0.24031234111612776,-0.007426818680146385,rsi,0.1362934793643309,res_sh,0.000800182898948331,,15.677849794238684,0,noise/unexplained
