zone,klass,r2_phys,d_r2,top_phys,top_cond,mk_pk_prem,mk_win_prem,resid_pk,piv_share,tier1
SI,concentration-linked,0.0930476259994551,0.0459079178219766,co2,rsi,-46.2,22.3,41.903046875,0.2222222222222222,0
GR,concentration-linked,0.0535827686973131,0.0304974570129052,month,top1_sh,-11.5,-16.9,-4.536614583333333,0.5373263888888888,1
RS,concentration-linked,0.0122369855919091,0.07285065844599,month,top1_sh,45.2,4.0,13.671927083333332,1.0,1
NO2,concentration-linked,-0.0746256476335436,0.0725203435543599,gas,top1_sh,4.5,3.0,6.2869140625,0.8072916666666666,0
IT-NORTH,model-gap,0.5947919436758358,0.0113564057660776,D,rsi,-64.2,9.9,-38.557109375,0.1449652777777778,0
IT-SOUTH,model-gap,0.4611653586739019,-0.0251466129478339,margin,rsi,-73.8,-53.2,-29.103424479166662,0.8767361111111112,0
IT-CNORTH,model-gap,0.4382827716247717,-0.003739875968203,D,rsi,20.1,28.4,-36.49572916666667,0.9626736111111112,0
ES,model-gap,0.3213821056274013,-0.0072618256121588,month,top1_sh,-21.3,-16.2,-19.947825520833334,0.0616319444444444,0
FI,model-gap,0.3144423785258088,-0.0588679160586111,res_sh,top1_sh,5.3,72.5,-1.8637890625000004,0.2361111111111111,0
IT-Calabria,model-gap,0.2968300200924594,0.0158459483370242,hour,rsi,-124.2,-26.8,-15.196835937499998,0.796875,0
PT,model-gap,0.2942159153448527,-0.0016604985113863,month,hhi,-17.3,-72.5,-23.483203125,0.0763888888888889,0
DK1,peak-premium (weak model signal),0.1650561472408581,-0.0157238334537707,res_sh,hhi,56.5,-35.0,16.720807246093752,0.5928819444444444,0
DK2,peak-premium (weak model signal),0.1394695177723244,-0.0097140610605211,res_sh,top1_sh,62.7,122.8,29.702747384114588,0.1979166666666666,0
DE_LU,tightness-marked,0.5811578261823933,-0.0218546278466771,res_sh,rsi,52.4,-53.3,25.268919270833333,0.0138888888888888,0
IT-CSOUTH,tightness-marked,0.5111121877562159,-0.0086531279577328,margin,rsi,26.1,12.7,-31.42233072916667,0.0086805555555555,0
NL,tightness-marked,0.4502456423016681,-0.0301195484904649,res_sh,top1_sh,26.4,-30.3,27.488750000000007,0.1788194444444444,0
HU,tightness-marked,0.354575681726997,-0.0085190076570936,margin,hhi,137.2,104.7,53.65579427083333,0.3081597222222222,1
PL,tightness-marked,0.3409074500187382,0.0120515402558438,margin,rsi,56.6,6.7,40.32821614583333,0.0147569444444444,0
BE,tightness-marked,0.3341085202390854,-0.0877204309445044,res_sh,hhi,35.3,-34.5,5.093255208333333,0.03125,0
EE,tightness-marked,0.3005975630525722,0.0037202299779912,res_sh,top1_sh,46.5,150.4,27.154791666666668,0.3194444444444444,0
SK,tightness-marked,0.2787090448344503,-0.0167143032143178,margin,top1_sh,25.7,6.6,36.1312890625,0.6640625,0
CZ,unexplained,0.2388164290694444,-0.0301117115934645,margin,rsi,-26.4,-33.7,27.215885416666666,0.4661458333333333,0
LT,unexplained,0.2377113307632719,0.0180468740000918,co2,top1_sh,18.1,137.2,39.178632812500005,0.3706597222222222,0
SE3,unexplained,0.2163047448447448,-0.0338455513368858,gas,hhi,30.5,46.7,13.134192708333336,0.0625,0
NO3,unexplained,0.2116677169162966,0.023098030378897,gas,hhi,-2.7,58.2,-8.415533854166666,0.1171875,0
RO,unexplained,0.1791217441320298,-0.0465396964178835,res_sh,hhi,20.5,-12.3,9.227200520833334,0.4262152777777778,1
LV,unexplained,0.1584905312716145,0.0050753111514131,res_sh,top1_sh,37.4,0.4,42.07102864583334,0.3064236111111111,0
IT-Sardinia,unexplained,0.1570563705289155,0.0065238688005933,margin,top1_sh,-120.8,32.9,-30.126315104166668,0.5477430555555556,0
SE4,unexplained,0.1406234286221546,0.0137761620373597,res_sh,hhi,32.0,66.2,16.075286458333334,0.0026041666666666,0
SE2,unexplained,0.1242406539919203,-0.106158558277821,gas,top1_sh,6.6,-98.7,-17.9073828125,1.0,0
IT-Sicily,unexplained,0.1137659079749113,-0.0484206733212165,margin,hhi,44.2,-14.1,-9.792877604166668,0.0598958333333333,0
NO5,unexplained,0.1025403862886226,-0.0945303991237994,gas,hhi,-39.5,38.3,14.145651041666667,0.8385416666666666,0
BG,unexplained,0.0965619126399636,-0.0815050502862877,margin,rsi,-91.7,-10.4,3.189192708333332,0.5173611111111112,1
FR,unexplained,0.0767901280315148,-0.0042998147592406,margin,top1_sh,-41.9,6.5,-3.326458333333333,1.0,1
AT,unexplained,0.0650574015736021,-0.000543010769082,imp_sh,top1_sh,-38.1,76.3,35.61864583333333,0.3229166666666667,0
SE1,unexplained,0.0353587136105996,-0.0747708544066428,gas,rsi,5.2,34.4,-15.2823046875,0.7447916666666666,0
CH,unexplained,-0.0052689693143821,-0.021273653574684,res_sh,hhi,-16.9,35.5,20.769791666666663,0.2708333333333333,0
NO1,unexplained,-0.1392904553210285,0.000564734823272,gas,top1_sh,28.6,93.4,16.590989583333336,0.1805555555555555,0
NO4,unexplained,-0.1551160614112399,-0.0039473733662929,month,top1_sh,-13.4,65.2,-14.222161458333334,0.7986111111111112,0
