zone,mk_pk_prem,mk_piv_prem,mk_win_prem,piv_share,tier1
HU,137.2,-172.8,104.7,0.3,1.0
DK2,62.7,-139.2,122.8,0.2,0.0
PL,56.6,,6.7,0.0,0.0
DK1,56.5,-26.1,-35.0,0.6,0.0
DE_LU,52.4,,-53.3,0.0,0.0
EE,46.5,11.3,150.4,0.3,0.0
RS,45.2,,4.0,1.0,1.0
IT-Sicily,44.2,-104.1,-14.1,0.1,0.0
LV,37.4,-49.1,0.4,0.3,0.0
BE,35.3,-57.6,-34.5,0.0,0.0
SE4,32.0,,66.2,0.0,0.0
SE3,30.5,27.9,46.7,0.1,0.0
NO1,28.6,-92.4,93.4,0.2,0.0
NL,26.4,-69.0,-30.3,0.2,0.0
IT-CSOUTH,26.1,,12.7,0.0,0.0
SK,25.7,-12.9,6.6,0.7,0.0
RO,20.5,14.7,-12.3,0.4,1.0
IT-CNORTH,20.1,39.5,28.4,1.0,0.0
LT,18.1,18.7,137.2,0.4,0.0
SE2,6.6,,-98.7,1.0,0.0
FI,5.3,-15.2,72.5,0.2,0.0
SE1,5.2,7.8,34.4,0.7,0.0
NO2,4.5,-17.0,3.0,0.8,0.0
NO3,-2.7,-52.1,58.2,0.1,0.0
GR,-11.5,-9.3,-16.9,0.5,1.0
NO4,-13.4,-120.0,65.2,0.8,0.0
CH,-16.9,-24.8,35.5,0.3,0.0
PT,-17.3,-154.6,-72.5,0.1,0.0
ES,-21.3,-36.7,-16.2,0.1,0.0
CZ,-26.4,-73.0,-33.7,0.5,0.0
AT,-38.1,-59.4,76.3,0.3,0.0
NO5,-39.5,-91.1,38.3,0.8,0.0
FR,-41.9,,6.5,1.0,1.0
SI,-46.2,-114.7,22.3,0.2,0.0
IT-NORTH,-64.2,-32.1,9.9,0.1,0.0
IT-SOUTH,-73.8,-143.3,-53.2,0.9,0.0
BG,-91.7,-60.4,-10.4,0.5,1.0
IT-Sardinia,-120.8,-162.7,32.9,0.5,0.0
IT-Calabria,-124.2,-136.9,-26.8,0.8,0.0
