zone,n,r2_phys,d_r2,top_cond,top_cond_imp,top_phys,piv_share,piv_prem,resid_pk,tier1,verdict
RS,1152,0.01223698559190911,0.07285065844599004,top1_sh,0.28049313788622676,month,1.0,,13.671927083333332,1,noise/unexplained
NO2,1152,-0.0746256476335436,0.0725203435543599,top1_sh,0.0905612204061951,gas,0.8072916666666666,13.789221162487811,6.2869140625,0,CONDUCT?
SI,1152,0.0930476259994551,0.0459079178219766,rsi,0.3054993114589002,co2,0.2222222222222222,12.741412743539714,41.903046875,0,CONDUCT?
GR,1152,0.053582768697313155,0.030497457012905294,top1_sh,0.22456985009065022,month,0.5373263888888888,-2.104849165432457,-4.536614583333333,1,noise/unexplained
NO3,1152,0.2116677169162966,0.023098030378897,hhi,0.1615864231080682,gas,0.1171875,-17.039037842190012,-8.415533854166666,0,noise/unexplained
LT,1152,0.2377113307632719,0.01804687400009186,top1_sh,0.07510326135882667,co2,0.3706597222222222,-5.7667221864018465,39.178632812500005,0,noise/unexplained
IT-Calabria,1152,0.2968300200924594,0.01584594833702424,rsi,0.3714800727041192,hour,0.796875,8.74362815044281,-15.196835937499998,0,physics
SE4,1152,0.1406234286221546,0.0137761620373597,hhi,0.3920063817625289,res_sh,0.0026041666666666,,16.075286458333334,0,noise/unexplained
PL,1152,0.3409074500187382,0.0120515402558438,rsi,0.0682538239982697,margin,0.0147569444444444,,40.32821614583333,0,physics
IT-NORTH,1152,0.5947919436758358,0.01135640576607766,rsi,0.5936139309909616,D,0.1449652777777778,-64.0429903917221,-38.557109375,0,physics
IT-Sardinia,1152,0.15705637052891552,0.006523868800593302,top1_sh,0.19912398588003977,margin,0.5477430555555556,-4.1060138374968655,-30.126315104166668,0,noise/unexplained
LV,1152,0.1584905312716145,0.005075311151413131,top1_sh,0.08241549211851118,res_sh,0.3064236111111111,-0.02264619889797596,42.07102864583334,0,noise/unexplained
EE,1152,0.30059756305257224,0.003720229977991263,top1_sh,0.09242941200019722,res_sh,0.3194444444444444,20.723035365058664,27.154791666666668,0,physics
NO1,1152,-0.1392904553210285,0.000564734823272,top1_sh,0.0750889507671073,gas,0.1805555555555555,-5.666333218378789,16.590989583333336,0,noise/unexplained
AT,1152,0.0650574015736021,-0.000543010769082,top1_sh,0.0865147766731796,imp_sh,0.3229166666666667,7.669522248876863,35.61864583333333,0,noise/unexplained
PT,1152,0.2942159153448527,-0.001660498511386388,hhi,0.12474861706420959,month,0.0763888888888889,,-23.483203125,0,physics
IT-CNORTH,1152,0.4382827716247717,-0.0037398759682030214,rsi,0.08430603477609672,D,0.9626736111111112,19.342970099667774,-36.49572916666667,0,physics
NO4,1152,-0.1551160614112399,-0.0039473733662929,top1_sh,0.2948936996467686,month,0.7986111111111112,7.290133089350071,-14.222161458333334,0,noise/unexplained
FR,1152,0.0767901280315148,-0.0042998147592406,top1_sh,0.2195935474785376,margin,1.0,,-3.326458333333333,1,noise/unexplained
ES,1152,0.3213821056274013,-0.007261825612158823,top1_sh,0.07634306880078667,month,0.06163194444444445,-16.038478571428577,-19.947825520833334,0,physics
HU,1152,0.354575681726997,-0.0085190076570936,hhi,0.1008480242412305,margin,0.3081597222222222,-5.106641285228111,53.65579427083333,1,physics
IT-CSOUTH,1152,0.5111121877562159,-0.008653127957732876,rsi,0.10153583412970912,margin,0.008680555555555556,,-31.42233072916667,0,physics
DK2,1152,0.1394695177723244,-0.0097140610605211,top1_sh,0.07897090929878,res_sh,0.1979166666666666,0.1476579033678552,29.702747384114588,0,noise/unexplained
DK1,1152,0.1650561472408581,-0.0157238334537707,hhi,0.0444897478745464,res_sh,0.5928819444444444,-7.284559352121467,16.720807246093752,0,noise/unexplained
