window	zone	arm	n	bias	mae	corr	eve_bias	eve_mae
july2026_failure	AT	base	211	-37.73	37.98	0.87	-51.09	51.09
july2026_failure	AT	dk1	210	-37.11	37.39	0.88	-50.78	50.78
july2026_failure	BE	base	211	-31.47	35.18	0.82	-38.33	49.58
july2026_failure	BE	dk1	210	-31.00	34.74	0.83	-37.91	49.16
july2026_failure	BG	base	211	-11.92	30.38	0.87	36.53	36.53
july2026_failure	BG	dk1	210	-12.07	30.33	0.87	36.53	36.53
july2026_failure	CH	base	211	-25.57	29.07	0.86	-44.20	44.20
july2026_failure	CH	dk1	210	-25.02	28.64	0.86	-43.88	43.88
july2026_failure	CZ	base	211	-36.32	41.47	0.72	-55.16	55.16
july2026_failure	CZ	dk1	210	-36.10	41.31	0.72	-55.68	55.68
july2026_failure	DE_LU	base	211	-26.04	27.84	0.94	-53.23	53.23
july2026_failure	DE_LU	dk1	210	-24.88	26.76	0.94	-52.06	52.06
july2026_failure	DK1	base	211	-26.73	29.48	0.88	-50.68	50.68
july2026_failure	DK1	dk1	210	-21.70	26.61	0.90	-45.99	46.52
july2026_failure	DK2	base	211	-37.45	42.48	0.77	-62.03	62.03
july2026_failure	DK2	dk1	210	-35.50	42.07	0.76	-60.25	60.25
july2026_failure	EE	base	211	-4.52	33.48	0.54	-8.04	35.70
july2026_failure	EE	dk1	210	-4.11	33.51	0.54	-7.65	35.71
july2026_failure	ES	base	211	-5.62	24.72	0.89	9.70	26.90
july2026_failure	ES	dk1	210	-5.11	24.39	0.89	9.80	26.79
july2026_failure	FI	base	211	4.23	13.43	0.26	7.53	20.85
july2026_failure	FI	dk1	210	4.53	13.56	0.26	7.35	21.03
july2026_failure	FR	base	211	-25.82	35.85	0.79	-22.42	34.82
july2026_failure	FR	dk1	210	-25.22	35.58	0.79	-21.96	34.40
july2026_failure	GR	base	211	-12.48	29.48	0.89	36.53	36.53
july2026_failure	GR	dk1	210	-8.90	32.30	0.79	36.53	36.53
july2026_failure	HU	base	211	-79.77	80.06	0.70	-69.15	69.15
july2026_failure	HU	dk1	210	-79.99	80.28	0.70	-69.15	69.15
july2026_failure	IT-CNORTH	base	211	-6.82	21.39	0.34	-14.62	50.62
july2026_failure	IT-CNORTH	dk1	210	-6.70	21.62	0.33	-14.60	50.60
july2026_failure	IT-CSOUTH	base	211	-14.92	17.36	0.58	-41.37	41.37
july2026_failure	IT-CSOUTH	dk1	210	-14.84	17.58	0.56	-41.37	41.37
july2026_failure	IT-Calabria	base	211	-14.92	17.36	0.58	-41.37	41.37
july2026_failure	IT-Calabria	dk1	210	-14.84	17.58	0.56	-41.37	41.37
july2026_failure	IT-NORTH	base	211	-6.82	21.39	0.34	-14.62	50.62
july2026_failure	IT-NORTH	dk1	210	-6.70	21.62	0.33	-14.60	50.60
july2026_failure	IT-SOUTH	base	211	-14.92	17.36	0.58	-41.37	41.37
july2026_failure	IT-SOUTH	dk1	210	-14.84	17.58	0.56	-41.37	41.37
july2026_failure	IT-Sardinia	base	211	-19.92	21.49	0.66	-41.37	41.37
july2026_failure	IT-Sardinia	dk1	210	-19.90	21.65	0.65	-41.37	41.37
july2026_failure	IT-Sicily	base	211	-15.36	17.99	0.64	-43.76	44.85
july2026_failure	IT-Sicily	dk1	210	-15.29	18.21	0.63	-43.76	44.85
july2026_failure	LT	base	211	-46.57	50.88	0.71	-66.36	67.14
july2026_failure	LT	dk1	210	-46.44	50.72	0.72	-65.96	66.74
july2026_failure	LV	base	211	-47.96	51.54	0.71	-66.36	67.14
july2026_failure	LV	dk1	210	-47.84	51.39	0.71	-65.96	66.74
july2026_failure	NL	base	211	-16.89	28.24	0.83	-51.35	51.35
july2026_failure	NL	dk1	210	-15.99	27.83	0.83	-50.75	50.75
july2026_failure	NO1	base	211	-21.60	22.86	0.84	-18.99	18.99
july2026_failure	NO1	dk1	210	-20.46	21.76	0.86	-18.29	18.29
july2026_failure	NO2	base	211	-17.14	18.38	0.91	-16.67	16.67
july2026_failure	NO2	dk1	210	-15.89	17.22	0.92	-15.85	15.91
july2026_failure	NO3	base	211	24.01	40.23	0.05	50.93	50.93
july2026_failure	NO3	dk1	210	25.18	40.17	0.05	51.40	51.40
july2026_failure	NO4	base	211	18.66	18.74	0.00	18.76	18.76
july2026_failure	NO4	dk1	210	18.58	18.67	0.01	18.76	18.76
july2026_failure	NO5	base	211	-7.98	16.67	0.82	8.53	9.15
july2026_failure	NO5	dk1	210	-6.64	16.32	0.82	9.33	9.95
july2026_failure	PL	base	211	-31.25	35.33	0.79	-61.71	61.71
july2026_failure	PL	dk1	210	-31.01	35.38	0.78	-61.51	61.51
july2026_failure	PT	base	211	-8.62	26.45	0.90	9.70	26.90
july2026_failure	PT	dk1	210	-8.13	26.13	0.90	9.80	26.79
july2026_failure	RO	base	211	-10.50	30.02	0.85	30.55	34.82
july2026_failure	RO	dk1	210	-10.41	30.20	0.85	30.55	34.82
july2026_failure	RS	base	211	1.05	32.03	0.82	39.82	40.59
july2026_failure	RS	dk1	210	1.69	32.15	0.81	39.82	40.59
july2026_failure	SE1	base	211	25.80	31.34	0.32	19.78	25.41
july2026_failure	SE1	dk1	210	25.62	31.19	0.32	19.78	25.41
july2026_failure	SE2	base	211	5.83	16.70	0.56	3.49	13.43
july2026_failure	SE2	dk1	210	5.62	16.55	0.56	3.49	13.43
july2026_failure	SE3	base	211	10.62	18.90	0.84	10.27	16.69
july2026_failure	SE3	dk1	210	15.13	19.84	0.84	15.09	15.61
july2026_failure	SE4	base	211	-39.79	48.74	0.61	-71.98	71.98
july2026_failure	SE4	dk1	210	-38.61	48.48	0.61	-71.59	71.59
july2026_failure	SI	base	211	-78.85	82.59	0.58	-52.64	70.87
july2026_failure	SI	dk1	210	-78.78	82.54	0.58	-52.64	70.87
july2026_failure	SK	base	211	-45.32	47.15	0.83	-77.00	77.00
july2026_failure	SK	dk1	210	-44.29	46.31	0.85	-76.30	76.30
march2026_stable	AT	base	190	-1.11	24.92	0.85	-25.89	25.89
march2026_stable	AT	dk1	190	-0.92	24.80	0.86	-26.04	26.04
march2026_stable	BE	base	190	2.28	23.86	0.81	-13.13	27.76
march2026_stable	BE	dk1	190	2.11	24.16	0.80	-12.95	28.17
march2026_stable	BG	base	190	-1.44	21.11	0.89	-3.16	19.98
march2026_stable	BG	dk1	190	-1.47	21.12	0.89	-3.32	20.13
march2026_stable	CH	base	190	-16.32	22.57	0.81	-23.09	24.12
march2026_stable	CH	dk1	190	-16.08	22.33	0.82	-23.24	24.27
march2026_stable	CZ	base	190	-20.83	35.57	0.72	-56.99	57.50
march2026_stable	CZ	dk1	190	-20.53	35.35	0.72	-56.99	57.50
march2026_stable	DE_LU	base	190	-2.72	22.07	0.92	-24.50	26.79
march2026_stable	DE_LU	dk1	190	-2.00	21.48	0.92	-24.38	26.95
march2026_stable	DK1	base	190	-3.62	27.86	0.55	-33.72	34.47
march2026_stable	DK1	dk1	190	-3.98	24.57	0.81	-32.19	34.15
march2026_stable	DK2	base	190	-11.58	22.03	0.85	-26.28	28.82
march2026_stable	DK2	dk1	190	-10.82	21.51	0.86	-27.14	30.03
march2026_stable	EE	base	190	-32.36	43.14	0.69	-36.80	49.09
march2026_stable	EE	dk1	190	-31.81	42.67	0.68	-36.85	49.14
march2026_stable	ES	base	190	26.17	28.74	0.82	41.31	46.76
march2026_stable	ES	dk1	190	25.86	28.83	0.81	40.91	46.35
march2026_stable	FI	base	190	-13.39	15.81	0.91	-12.41	13.32
march2026_stable	FI	dk1	190	-13.42	15.84	0.91	-13.07	13.97
march2026_stable	FR	base	190	16.04	23.21	0.85	14.43	24.55
march2026_stable	FR	dk1	190	15.73	23.24	0.84	14.02	24.15
march2026_stable	GR	base	190	1.70	12.94	0.95	0.82	13.38
march2026_stable	GR	dk1	190	1.70	12.99	0.94	0.67	13.53
march2026_stable	HU	base	190	-18.23	28.63	0.85	-18.88	28.97
march2026_stable	HU	dk1	190	-18.57	28.34	0.86	-19.04	29.12
march2026_stable	IT-CNORTH	base	190	6.56	26.12	0.34	-2.09	38.11
march2026_stable	IT-CNORTH	dk1	190	6.48	26.19	0.34	-2.74	38.75
march2026_stable	IT-CSOUTH	base	190	-11.53	16.32	0.68	-31.01	31.01
march2026_stable	IT-CSOUTH	dk1	190	-11.48	16.28	0.68	-31.01	31.01
march2026_stable	IT-Calabria	base	190	-10.90	15.77	0.68	-31.01	31.01
march2026_stable	IT-Calabria	dk1	190	-10.86	15.73	0.68	-31.01	31.01
march2026_stable	IT-NORTH	base	190	6.55	26.13	0.34	-2.09	38.11
march2026_stable	IT-NORTH	dk1	190	6.48	26.20	0.34	-2.74	38.75
march2026_stable	IT-SOUTH	base	190	-11.53	16.32	0.68	-31.01	31.01
march2026_stable	IT-SOUTH	dk1	190	-11.48	16.28	0.68	-31.01	31.01
march2026_stable	IT-Sardinia	base	190	-13.22	16.75	0.69	-26.77	26.77
march2026_stable	IT-Sardinia	dk1	190	-13.26	16.79	0.69	-26.77	26.77
march2026_stable	IT-Sicily	base	190	-14.86	19.54	0.65	-42.45	43.33
march2026_stable	IT-Sicily	dk1	190	-14.77	19.46	0.64	-42.45	43.33
march2026_stable	LT	base	190	-38.16	41.19	0.69	-47.45	47.45
march2026_stable	LT	dk1	190	-37.46	40.53	0.69	-47.66	47.66
march2026_stable	LV	base	190	-45.23	46.37	0.66	-48.10	48.10
march2026_stable	LV	dk1	190	-44.53	45.71	0.66	-48.21	48.21
march2026_stable	NL	base	190	-4.39	32.41	0.70	-45.71	46.46
march2026_stable	NL	dk1	190	-4.18	32.25	0.70	-45.71	46.46
march2026_stable	NO1	base	190	-16.52	17.50	0.65	-19.69	22.58
march2026_stable	NO1	dk1	190	-16.38	17.39	0.66	-19.57	22.57
march2026_stable	NO2	base	190	2.25	10.82	0.75	-1.26	11.68
march2026_stable	NO2	dk1	190	2.13	10.97	0.75	-1.70	11.78
march2026_stable	NO3	base	190	13.39	22.80	-0.22	27.69	29.56
march2026_stable	NO3	dk1	190	13.35	22.80	-0.22	27.73	29.60
march2026_stable	NO4	base	190	11.60	15.16	-0.06	6.17	18.19
march2026_stable	NO4	dk1	190	11.45	15.09	-0.05	6.17	18.19
march2026_stable	NO5	base	190	-10.33	12.51	0.66	-11.32	16.24
march2026_stable	NO5	dk1	190	-10.35	12.66	0.65	-11.19	16.62
march2026_stable	PL	base	190	-19.15	36.37	0.80	-64.21	64.21
march2026_stable	PL	dk1	190	-18.87	36.14	0.80	-64.21	64.21
march2026_stable	PT	base	190	26.56	28.26	0.84	46.85	47.04
march2026_stable	PT	dk1	190	26.22	28.32	0.84	46.45	46.64
march2026_stable	RO	base	190	-3.27	20.23	0.91	-5.64	21.58
march2026_stable	RO	dk1	190	-3.27	20.27	0.91	-5.79	21.74
march2026_stable	RS	base	190	9.42	23.58	0.85	11.84	27.11
march2026_stable	RS	dk1	190	9.43	23.66	0.84	11.68	27.27
march2026_stable	SE1	base	190	-7.51	19.16	0.66	-14.81	20.17
march2026_stable	SE1	dk1	190	-7.23	19.25	0.67	-14.81	20.17
march2026_stable	SE2	base	190	-0.25	23.56	0.52	-14.36	18.54
march2026_stable	SE2	dk1	190	0.04	23.62	0.52	-14.36	18.54
march2026_stable	SE3	base	190	27.01	29.64	0.33	18.56	22.85
march2026_stable	SE3	dk1	190	27.63	30.79	0.32	20.24	23.79
march2026_stable	SE4	base	190	-21.57	28.61	0.74	-38.76	39.10
march2026_stable	SE4	dk1	190	-21.04	28.11	0.74	-39.05	39.40
march2026_stable	SI	base	190	-21.35	30.86	0.83	-32.05	32.88
march2026_stable	SI	dk1	190	-21.76	30.66	0.84	-32.70	33.53
march2026_stable	SK	base	190	-18.53	38.08	0.83	-55.99	55.99
march2026_stable	SK	dk1	190	-18.71	38.27	0.80	-55.97	55.97
