mode	day	zone	timeslot	price
1z	2026-01-15	GR	20260115-2015	256.920000
1z	2026-01-15	GR	20260115-2345	130.320000
1z	2026-01-15	GR	20260115-1245	87.080000
1z	2026-01-15	GR	20260115-1530	269.460000
1z	2026-01-15	GR	20260115-1600	280.260000
1z	2026-01-15	GR	20260115-1500	175.080000
1z	2026-01-15	GR	20260115-1030	77.910000
1z	2026-01-15	GR	20260115-1100	79.760000
1z	2026-01-15	GR	20260115-0515	154.190000
1z	2026-01-15	GR	20260115-0730	120.330000
1z	2026-01-15	GR	20260115-2315	131.070000
1z	2026-01-15	GR	20260115-0600	248.530000
1z	2026-01-15	GR	20260115-0245	120.430000
1z	2026-01-15	GR	20260115-1145	83.060000
1z	2026-01-15	GR	20260115-2215	176.290000
1z	2026-01-15	GR	20260115-0545	174.170000
1z	2026-01-15	GR	20260115-0415	129.940000
1z	2026-01-15	GR	20260115-1400	126.370000
1z	2026-01-15	GR	20260115-1430	171.600000
1z	2026-01-15	GR	20260115-0915	83.650000
1z	2026-01-15	GR	20260115-0845	87.080000
1z	2026-01-15	GR	20260115-2100	265.550000
1z	2026-01-15	GR	20260115-2200	185.230000
1z	2026-01-15	GR	20260115-1230	87.080000
1z	2026-01-15	GR	20260115-1300	87.080000
1z	2026-01-15	GR	20260115-0015	122.820000
1z	2026-01-15	GR	20260115-1730	412.470000
1z	2026-01-15	GR	20260115-1700	410.770000
1z	2026-01-15	GR	20260115-2000	274.570000
1z	2026-01-15	GR	20260115-1900	410.440000
1z	2026-01-15	GR	20260115-0815	87.080000
1z	2026-01-15	GR	20260115-1915	314.570000
1z	2026-01-15	GR	20260115-1415	134.640000
1z	2026-01-15	GR	20260115-0445	153.040000
1z	2026-01-15	GR	20260115-1615	298.230000
1z	2026-01-15	GR	20260115-1845	302.050000
1z	2026-01-15	GR	20260115-2300	131.220000
1z	2026-01-15	GR	20260115-1645	321.260000
1z	2026-01-15	GR	20260115-1800	405.690000
1z	2026-01-15	GR	20260115-0100	123.050000
1z	2026-01-15	GR	20260115-0045	121.470000
1z	2026-01-15	GR	20260115-0745	100.140000
1z	2026-01-15	GR	20260115-2045	192.140000
1z	2026-01-15	GR	20260115-0115	122.600000
1z	2026-01-15	GR	20260115-0430	133.700000
1z	2026-01-15	GR	20260115-0530	167.180000
1z	2026-01-15	GR	20260115-1830	316.100000
1z	2026-01-15	GR	20260115-2115	250.000000
1z	2026-01-15	GR	20260115-1215	87.080000
1z	2026-01-15	GR	20260115-0200	120.880000
1z	2026-01-15	GR	20260115-0330	122.520000
1z	2026-01-15	GR	20260115-2130	240.360000
1z	2026-01-15	GR	20260115-0145	121.850000
1z	2026-01-15	GR	20260115-0215	120.580000
1z	2026-01-15	GR	20260115-0615	199.450000
1z	2026-01-15	GR	20260115-0000	123.720000
1z	2026-01-15	GR	20260115-0315	121.020000
1z	2026-01-15	GR	20260115-0345	124.630000
1z	2026-01-15	GR	20260115-1045	77.910000
1z	2026-01-15	GR	20260115-0300	120.120000
1z	2026-01-15	GR	20260115-1000	79.110000
1z	2026-01-15	GR	20260115-1545	293.970000
1z	2026-01-15	GR	20260115-0900	86.200000
1z	2026-01-15	GR	20260115-2330	130.620000
1z	2026-01-15	GR	20260115-0630	175.460000
1z	2026-01-15	GR	20260115-1715	412.470000
1z	2026-01-15	GR	20260115-0500	134.430000
1z	2026-01-15	GR	20260115-1745	412.470000
1z	2026-01-15	GR	20260115-1200	85.320000
1z	2026-01-15	GR	20260115-1445	248.090000
1z	2026-01-15	GR	20260115-1315	97.940000
1z	2026-01-15	GR	20260115-1515	201.510000
1z	2026-01-15	GR	20260115-2145	192.900000
1z	2026-01-15	GR	20260115-0800	87.080000
1z	2026-01-15	GR	20260115-0930	81.400000
1z	2026-01-15	GR	20260115-1630	312.110000
1z	2026-01-15	GR	20260115-1345	121.350000
1z	2026-01-15	GR	20260115-1930	294.430000
1z	2026-01-15	GR	20260115-0230	120.580000
1z	2026-01-15	GR	20260115-0700	136.260000
1z	2026-01-15	GR	20260115-0130	122.150000
1z	2026-01-15	GR	20260115-2245	159.200000
1z	2026-01-15	GR	20260115-0945	80.190000
1z	2026-01-15	GR	20260115-1945	276.680000
1z	2026-01-15	GR	20260115-0400	126.790000
1z	2026-01-15	GR	20260115-0715	128.000000
1z	2026-01-15	GR	20260115-1115	80.660000
1z	2026-01-15	GR	20260115-1130	81.560000
1z	2026-01-15	GR	20260115-1015	78.360000
1z	2026-01-15	GR	20260115-2230	167.830000
1z	2026-01-15	GR	20260115-1330	100.260000
1z	2026-01-15	GR	20260115-1815	399.060000
1z	2026-01-15	GR	20260115-0645	136.350000
1z	2026-01-15	GR	20260115-0830	87.080000
1z	2026-01-15	GR	20260115-0030	122.070000
1z	2026-01-15	GR	20260115-2030	242.410000
1z	2026-01-15	BG	20260115-1200	251.510000
1z	2026-01-15	BG	20260115-1300	235.470000
1z	2026-01-15	BG	20260115-1600	3000.000000
1z	2026-01-15	BG	20260115-1500	3000.000000
1z	2026-01-15	BG	20260115-0800	3000.000000
1z	2026-01-15	BG	20260115-0200	87.080000
1z	2026-01-15	BG	20260115-1700	3000.000000
1z	2026-01-15	BG	20260115-0700	3000.000000
1z	2026-01-15	BG	20260115-1100	225.500000
1z	2026-01-15	BG	20260115-2000	250.580000
1z	2026-01-15	BG	20260115-0600	3000.000000
1z	2026-01-15	BG	20260115-1900	349.610000
1z	2026-01-15	BG	20260115-0400	126.620000
1z	2026-01-15	BG	20260115-0000	126.620000
1z	2026-01-15	BG	20260115-1400	475.040000
1z	2026-01-15	BG	20260115-2300	138.030000
1z	2026-01-15	BG	20260115-0300	126.620000
1z	2026-01-15	BG	20260115-1000	230.320000
1z	2026-01-15	BG	20260115-1800	3000.000000
1z	2026-01-15	BG	20260115-0100	87.080000
1z	2026-01-15	BG	20260115-2100	220.050000
1z	2026-01-15	BG	20260115-2200	214.630000
1z	2026-01-15	BG	20260115-0900	321.030000
1z	2026-01-15	BG	20260115-0500	247.480000
1z	2026-01-15	RO	20260115-2015	277.070000
1z	2026-01-15	RO	20260115-2345	111.910000
1z	2026-01-15	RO	20260115-1245	197.030000
1z	2026-01-15	RO	20260115-1530	364.640000
1z	2026-01-15	RO	20260115-1600	403.370000
1z	2026-01-15	RO	20260115-1500	264.410000
1z	2026-01-15	RO	20260115-1030	137.820000
1z	2026-01-15	RO	20260115-1100	126.620000
1z	2026-01-15	RO	20260115-0515	216.180000
1z	2026-01-15	RO	20260115-0730	217.870000
1z	2026-01-15	RO	20260115-2315	114.750000
1z	2026-01-15	RO	20260115-0600	250.000000
1z	2026-01-15	RO	20260115-0245	115.790000
1z	2026-01-15	RO	20260115-1145	137.330000
1z	2026-01-15	RO	20260115-2215	132.150000
1z	2026-01-15	RO	20260115-0545	404.850000
1z	2026-01-15	RO	20260115-0415	119.490000
1z	2026-01-15	RO	20260115-1400	154.220000
1z	2026-01-15	RO	20260115-1430	208.540000
1z	2026-01-15	RO	20260115-0915	149.680000
1z	2026-01-15	RO	20260115-0845	147.570000
1z	2026-01-15	RO	20260115-2100	186.660000
1z	2026-01-15	RO	20260115-2200	140.220000
1z	2026-01-15	RO	20260115-1230	156.840000
1z	2026-01-15	RO	20260115-1300	152.500000
1z	2026-01-15	RO	20260115-0015	111.400000
1z	2026-01-15	RO	20260115-1730	374.320000
1z	2026-01-15	RO	20260115-1700	398.910000
1z	2026-01-15	RO	20260115-2000	386.700000
1z	2026-01-15	RO	20260115-1900	409.880000
1z	2026-01-15	RO	20260115-0815	196.680000
1z	2026-01-15	RO	20260115-1915	346.840000
1z	2026-01-15	RO	20260115-1415	194.780000
1z	2026-01-15	RO	20260115-0445	137.010000
1z	2026-01-15	RO	20260115-1615	403.180000
1z	2026-01-15	RO	20260115-1845	258.580000
1z	2026-01-15	RO	20260115-2300	117.110000
1z	2026-01-15	RO	20260115-1645	402.830000
1z	2026-01-15	RO	20260115-1800	410.400000
1z	2026-01-15	RO	20260115-0100	111.410000
1z	2026-01-15	RO	20260115-0045	107.680000
1z	2026-01-15	RO	20260115-0745	208.160000
1z	2026-01-15	RO	20260115-2045	195.800000
1z	2026-01-15	RO	20260115-0115	109.220000
1z	2026-01-15	RO	20260115-0430	126.620000
1z	2026-01-15	RO	20260115-0530	278.270000
1z	2026-01-15	RO	20260115-1830	350.860000
1z	2026-01-15	RO	20260115-2115	147.860000
1z	2026-01-15	RO	20260115-1215	150.500000
1z	2026-01-15	RO	20260115-0200	115.200000
1z	2026-01-15	RO	20260115-0330	115.280000
1z	2026-01-15	RO	20260115-2130	137.330000
1z	2026-01-15	RO	20260115-0145	107.720000
1z	2026-01-15	RO	20260115-0215	115.150000
1z	2026-01-15	RO	20260115-0615	280.690000
1z	2026-01-15	RO	20260115-0000	112.820000
1z	2026-01-15	RO	20260115-0315	112.450000
1z	2026-01-15	RO	20260115-0345	119.030000
1z	2026-01-15	RO	20260115-1045	137.280000
