window	zone	arm	n	bias	mae	corr	eve_bias	eve_mae
july2026_failure	AT	base	210	-37.11	37.39	0.88	-50.78	50.78
july2026_failure	AT	cv22	210	-37.15	37.43	0.88	-50.78	50.78
july2026_failure	BE	base	210	-31.00	34.74	0.83	-37.91	49.16
july2026_failure	BE	cv22	210	-30.96	34.69	0.83	-37.91	49.16
july2026_failure	BG	base	210	-12.07	30.33	0.87	36.53	36.53
july2026_failure	BG	cv22	210	-12.62	29.62	0.88	35.91	35.91
july2026_failure	CH	base	210	-25.02	28.64	0.86	-43.88	43.88
july2026_failure	CH	cv22	210	-25.06	28.61	0.86	-43.88	43.88
july2026_failure	CZ	base	210	-36.10	41.31	0.72	-55.68	55.68
july2026_failure	CZ	cv22	210	-35.65	40.86	0.72	-55.68	55.68
july2026_failure	DE_LU	base	210	-24.88	26.76	0.94	-52.06	52.06
july2026_failure	DE_LU	cv22	210	-24.99	26.87	0.94	-52.16	52.16
july2026_failure	DK1	base	210	-21.70	26.61	0.90	-45.99	46.52
july2026_failure	DK1	cv22	210	-21.86	26.68	0.90	-46.10	46.63
july2026_failure	DK2	base	210	-35.50	42.07	0.76	-60.25	60.25
july2026_failure	DK2	cv22	210	-35.60	41.86	0.76	-60.31	60.31
july2026_failure	EE	base	210	-4.11	33.51	0.54	-7.65	35.71
july2026_failure	EE	cv22	210	-4.03	33.45	0.54	-7.60	35.37
july2026_failure	ES	base	210	-5.11	24.39	0.89	9.80	26.79
july2026_failure	ES	cv22	210	-5.17	24.36	0.89	9.97	26.63
july2026_failure	FI	base	210	4.53	13.56	0.26	7.35	21.03
july2026_failure	FI	cv22	210	4.60	13.58	0.27	7.35	21.03
july2026_failure	FR	base	210	-25.22	35.58	0.79	-21.96	34.40
july2026_failure	FR	cv22	210	-25.55	35.64	0.79	-21.61	34.06
july2026_failure	GR	base	210	-8.90	32.30	0.79	36.53	36.53
july2026_failure	GR	cv22	210	-11.99	28.98	0.89	35.90	35.90
july2026_failure	HU	base	210	-79.99	80.28	0.70	-69.15	69.15
july2026_failure	HU	cv22	210	-61.11	61.52	0.80	-63.07	63.07
july2026_failure	IT-CNORTH	base	210	-6.70	21.62	0.33	-14.60	50.60
july2026_failure	IT-CNORTH	cv22	210	-6.83	21.44	0.34	-14.42	50.42
july2026_failure	IT-CSOUTH	base	210	-14.84	17.58	0.56	-41.37	41.37
july2026_failure	IT-CSOUTH	cv22	210	-15.01	17.43	0.58	-41.37	41.37
july2026_failure	IT-Calabria	base	210	-14.84	17.58	0.56	-41.37	41.37
july2026_failure	IT-Calabria	cv22	210	-15.01	17.43	0.58	-41.37	41.37
july2026_failure	IT-NORTH	base	210	-6.70	21.62	0.33	-14.60	50.60
july2026_failure	IT-NORTH	cv22	210	-6.83	21.44	0.34	-14.42	50.42
july2026_failure	IT-SOUTH	base	210	-14.84	17.58	0.56	-41.37	41.37
july2026_failure	IT-SOUTH	cv22	210	-15.01	17.43	0.58	-41.37	41.37
july2026_failure	IT-Sardinia	base	210	-19.90	21.65	0.65	-41.37	41.37
july2026_failure	IT-Sardinia	cv22	210	-19.99	21.57	0.66	-41.37	41.37
july2026_failure	IT-Sicily	base	210	-15.29	18.21	0.63	-43.76	44.85
july2026_failure	IT-Sicily	cv22	210	-15.46	18.06	0.64	-43.76	44.85
july2026_failure	LT	base	210	-46.44	50.72	0.72	-65.96	66.74
july2026_failure	LT	cv22	210	-46.37	50.69	0.72	-65.92	66.70
july2026_failure	LV	base	210	-47.84	51.39	0.71	-65.96	66.74
july2026_failure	LV	cv22	210	-47.76	51.34	0.71	-65.92	66.70
july2026_failure	NL	base	210	-15.99	27.83	0.83	-50.75	50.75
july2026_failure	NL	cv22	210	-16.04	27.78	0.83	-50.75	50.75
july2026_failure	NO1	base	210	-20.46	21.76	0.86	-18.29	18.29
july2026_failure	NO1	cv22	210	-20.90	22.19	0.85	-18.33	18.33
july2026_failure	NO2	base	210	-15.89	17.22	0.92	-15.85	15.91
july2026_failure	NO2	cv22	210	-16.24	17.56	0.92	-15.95	16.02
july2026_failure	NO3	base	210	25.18	40.17	0.05	51.40	51.40
july2026_failure	NO3	cv22	210	24.71	40.33	0.05	51.35	51.35
july2026_failure	NO4	base	210	18.58	18.67	0.01	18.76	18.76
july2026_failure	NO4	cv22	210	18.58	18.67	0.01	18.76	18.76
july2026_failure	NO5	base	210	-6.64	16.32	0.82	9.33	9.95
july2026_failure	NO5	cv22	210	-7.10	16.79	0.83	9.29	9.99
july2026_failure	PL	base	210	-31.01	35.38	0.78	-61.51	61.51
july2026_failure	PL	cv22	210	-29.51	34.18	0.79	-60.91	60.91
july2026_failure	PT	base	210	-8.13	26.13	0.90	9.80	26.79
july2026_failure	PT	cv22	210	-8.19	26.11	0.90	9.97	26.63
july2026_failure	RO	base	210	-10.41	30.20	0.85	30.55	34.82
july2026_failure	RO	cv22	210	-11.30	28.62	0.86	29.17	33.45
july2026_failure	RS	base	210	1.69	32.15	0.81	39.82	40.59
july2026_failure	RS	cv22	210	0.80	29.44	0.83	38.44	39.22
july2026_failure	SE1	base	210	25.62	31.19	0.32	19.78	25.41
july2026_failure	SE1	cv22	210	25.49	31.05	0.32	19.63	25.26
july2026_failure	SE2	base	210	5.62	16.55	0.56	3.49	13.43
july2026_failure	SE2	cv22	210	5.45	16.37	0.56	3.32	13.27
july2026_failure	SE3	base	210	15.13	19.84	0.84	15.09	15.61
july2026_failure	SE3	cv22	210	15.10	20.38	0.82	15.01	15.69
july2026_failure	SE4	base	210	-38.61	48.48	0.61	-71.59	71.59
july2026_failure	SE4	cv22	210	-38.54	48.33	0.61	-71.54	71.54
july2026_failure	SI	base	210	-78.78	82.54	0.58	-52.64	70.87
july2026_failure	SI	cv22	210	-67.63	71.40	0.63	-50.60	68.82
july2026_failure	SK	base	210	-44.29	46.31	0.85	-76.30	76.30
july2026_failure	SK	cv22	210	-41.74	44.75	0.85	-66.79	66.79
march2026_stable	AT	base	190	-0.92	24.80	0.86	-26.04	26.04
march2026_stable	AT	cv22	191	-1.05	24.68	0.86	-26.20	26.20
march2026_stable	BE	base	190	2.11	24.16	0.80	-12.95	28.17
march2026_stable	BE	cv22	191	2.45	23.58	0.81	-12.95	28.17
march2026_stable	BG	base	190	-1.47	21.12	0.89	-3.32	20.13
march2026_stable	BG	cv22	191	-3.39	22.03	0.89	-6.59	19.86
march2026_stable	CH	base	190	-16.08	22.33	0.82	-23.24	24.27
march2026_stable	CH	cv22	191	-16.32	22.31	0.82	-23.40	24.43
march2026_stable	CZ	base	190	-20.53	35.35	0.72	-56.99	57.50
march2026_stable	CZ	cv22	191	-20.64	35.31	0.72	-56.77	57.10
march2026_stable	DE_LU	base	190	-2.00	21.48	0.92	-24.38	26.95
march2026_stable	DE_LU	cv22	191	-2.29	21.63	0.92	-24.55	27.11
march2026_stable	DK1	base	190	-3.98	24.57	0.81	-32.19	34.15
march2026_stable	DK1	cv22	191	-4.24	24.67	0.81	-32.21	34.18
march2026_stable	DK2	base	190	-10.82	21.51	0.86	-27.14	30.03
march2026_stable	DK2	cv22	191	-11.19	21.76	0.86	-27.16	30.04
march2026_stable	EE	base	190	-31.81	42.67	0.68	-36.85	49.14
march2026_stable	EE	cv22	191	-32.03	42.84	0.69	-36.70	48.99
march2026_stable	ES	base	190	25.86	28.83	0.81	40.91	46.35
march2026_stable	ES	cv22	191	25.73	28.77	0.81	40.91	46.35
march2026_stable	FI	base	190	-13.42	15.84	0.91	-13.07	13.97
march2026_stable	FI	cv22	191	-13.41	15.81	0.91	-12.92	13.83
march2026_stable	FR	base	190	15.73	23.24	0.84	14.02	24.15
march2026_stable	FR	cv22	191	15.59	23.15	0.84	14.02	24.15
march2026_stable	GR	base	190	1.70	12.99	0.94	0.67	13.53
march2026_stable	GR	cv22	191	1.32	13.58	0.94	-1.20	13.44
march2026_stable	HU	base	190	-18.57	28.34	0.86	-19.04	29.12
march2026_stable	HU	cv22	191	-19.63	28.18	0.87	-24.64	32.08
march2026_stable	IT-CNORTH	base	190	6.48	26.19	0.34	-2.74	38.75
march2026_stable	IT-CNORTH	cv22	191	6.35	26.14	0.34	-2.90	38.91
march2026_stable	IT-CSOUTH	base	190	-11.48	16.28	0.68	-31.01	31.01
march2026_stable	IT-CSOUTH	cv22	191	-11.49	16.26	0.68	-31.01	31.01
march2026_stable	IT-Calabria	base	190	-10.86	15.73	0.68	-31.01	31.01
march2026_stable	IT-Calabria	cv22	191	-10.87	15.71	0.68	-31.01	31.01
march2026_stable	IT-NORTH	base	190	6.48	26.20	0.34	-2.74	38.75
march2026_stable	IT-NORTH	cv22	191	6.34	26.15	0.34	-2.90	38.91
march2026_stable	IT-SOUTH	base	190	-11.48	16.28	0.68	-31.01	31.01
march2026_stable	IT-SOUTH	cv22	191	-11.49	16.26	0.68	-31.01	31.01
march2026_stable	IT-Sardinia	base	190	-13.26	16.79	0.69	-26.77	26.77
march2026_stable	IT-Sardinia	cv22	191	-13.27	16.77	0.69	-26.77	26.77
march2026_stable	IT-Sicily	base	190	-14.77	19.46	0.64	-42.45	43.33
march2026_stable	IT-Sicily	cv22	191	-14.81	19.45	0.65	-42.45	43.33
march2026_stable	LT	base	190	-37.46	40.53	0.69	-47.66	47.66
march2026_stable	LT	cv22	191	-37.68	40.81	0.69	-47.51	47.51
march2026_stable	LV	base	190	-44.53	45.71	0.66	-48.21	48.21
march2026_stable	LV	cv22	191	-44.75	45.92	0.66	-48.06	48.06
march2026_stable	NL	base	190	-4.18	32.25	0.70	-45.71	46.46
march2026_stable	NL	cv22	191	-4.31	32.20	0.70	-45.71	46.46
march2026_stable	NO1	base	190	-16.38	17.39	0.66	-19.57	22.57
march2026_stable	NO1	cv22	191	-16.39	17.40	0.66	-19.57	22.57
march2026_stable	NO2	base	190	2.13	10.97	0.75	-1.70	11.78
march2026_stable	NO2	cv22	191	2.05	11.06	0.75	-1.81	11.89
march2026_stable	NO3	base	190	13.35	22.80	-0.22	27.73	29.60
march2026_stable	NO3	cv22	191	13.32	22.81	-0.22	27.65	29.52
march2026_stable	NO4	base	190	11.45	15.09	-0.05	6.17	18.19
march2026_stable	NO4	cv22	191	11.50	15.12	-0.05	6.17	18.19
march2026_stable	NO5	base	190	-10.35	12.66	0.65	-11.19	16.62
march2026_stable	NO5	cv22	191	-10.29	12.58	0.66	-11.19	16.62
march2026_stable	PL	base	190	-18.87	36.14	0.80	-64.21	64.21
march2026_stable	PL	cv22	191	-18.13	36.76	0.80	-63.99	63.99
march2026_stable	PT	base	190	26.22	28.32	0.84	46.45	46.64
march2026_stable	PT	cv22	191	26.09	28.26	0.83	46.45	46.64
march2026_stable	RO	base	190	-3.27	20.27	0.91	-5.79	21.74
march2026_stable	RO	cv22	191	-5.21	21.44	0.91	-9.06	22.23
march2026_stable	RS	base	190	9.43	23.66	0.84	11.68	27.27
march2026_stable	RS	cv22	191	7.65	22.15	0.85	8.41	25.33
