
===== WINDOW march2026_stable (8 days) =====
zone   | base MAE/bias/corr eveB/eveMAE | cv24 MAE/bias/corr eveB/eveMAE | Δ
IT-NORTH |   26.2   +6.3  0.33   -2.7  38.8 |   22.8   -1.2  0.50   +5.4  28.6 | dMAE= -3.4 dCorr=+0.17 dEveB= +8.1
IT-CNORTH |   26.2   +6.3  0.33   -2.7  38.8 |   21.2   +0.4  0.49   +7.1  27.1 | dMAE= -4.9 dCorr=+0.16 dEveB= +9.9
IT-CSOUTH |   16.4  -11.6  0.67  -31.7  31.7 |   15.2   -7.2  0.72   +6.6  26.6 | dMAE= -1.2 dCorr=+0.05 dEveB=+38.3
IT-SOUTH |   16.4  -11.6  0.67  -31.7  31.7 |   15.2   -7.2  0.72   +6.6  26.6 | dMAE= -1.2 dCorr=+0.05 dEveB=+38.3
IT-Calabria |   15.9  -11.0  0.67  -31.7  31.7 |   14.8   -7.1  0.73   +5.4  26.4 | dMAE= -1.1 dCorr=+0.06 dEveB=+37.2
IT-Sicily |   19.7  -15.0  0.63  -43.5  44.4 |   17.4  -11.5  0.72  -11.3  34.1 | dMAE= -2.3 dCorr=+0.09 dEveB=+32.2
IT-Sardinia |   16.9  -13.4  0.68  -27.5  27.5 |   16.8  -12.0  0.72   -2.1  22.8 | dMAE= -0.1 dCorr=+0.04 dEveB=+25.3
CH     |   22.5  -17.1  0.83  -23.7  24.8 |   22.1  -17.7  0.86  -20.5  23.7 | dMAE= -0.4 dCorr=+0.03 dEveB= +3.3
SI     |   30.0  -21.2  0.86  -35.9  35.9 |   28.7  -20.5  0.86  -24.9  27.7 | dMAE= -1.3 dCorr=-0.00 dEveB=+11.0
AT     |   24.8   -1.6  0.87  -26.7  26.7 |   24.2   -1.6  0.87  -23.5  25.0 | dMAE= -0.5 dCorr=+0.00 dEveB= +3.2
FR     |   20.3   -7.1  0.84  -14.7  24.5 |   19.7   -7.8  0.85  -12.5  23.4 | dMAE= -0.6 dCorr=+0.02 dEveB= +2.2
GR     |   13.3   +0.9  0.94   -1.5  13.7 |   14.4   +3.0  0.94   +8.9  18.2 | dMAE= +1.1 dCorr=-0.01 dEveB=+10.4
FOOTPRINT mean MAE 24.32 -> 23.91 | mean corr 0.685 -> 0.707 | mean eveBias -19.5 -> -13.1 | (27/39 zones MAE better)

===== WINDOW summer2025 (8 days) =====
zone   | base MAE/bias/corr eveB/eveMAE | cv24 MAE/bias/corr eveB/eveMAE | Δ
IT-NORTH |   14.6   -8.1  0.54  -28.1  28.1 |   16.6   -5.0  0.39  -14.3  24.5 | dMAE= +2.0 dCorr=-0.16 dEveB=+13.8
IT-CNORTH |   15.0   -8.5  0.54  -30.6  30.6 |   17.8   +1.2  0.55  +20.9  32.5 | dMAE= +2.8 dCorr=+0.01 dEveB=+51.5
IT-CSOUTH |   15.1   -8.6  0.52  -30.9  30.9 |   17.7   +1.2  0.55  +20.7  32.3 | dMAE= +2.7 dCorr=+0.03 dEveB=+51.6
IT-SOUTH |   18.8  -10.7  0.69  -30.9  30.9 |   20.4   -5.6  0.71  +16.4  32.9 | dMAE= +1.6 dCorr=+0.02 dEveB=+47.3
