
===== WINDOW summer2025 (8 days) =====
zone   | base MAE/bias/corr eveB/eveMAE | cv24 MAE/bias/corr eveB/eveMAE | Δ
IT-NORTH |   14.6   -8.1  0.54  -28.1  28.1 |   18.8  -11.0  0.39  -21.2  24.0 | dMAE= +4.3 dCorr=-0.16 dEveB= +7.0
IT-CNORTH |   15.0   -8.5  0.54  -30.6  30.6 |   19.9   -4.1  0.54  +12.8  36.9 | dMAE= +4.9 dCorr=-0.00 dEveB=+43.5
IT-CSOUTH |   15.1   -8.6  0.52  -30.9  30.9 |   19.7   -4.0  0.54  +12.6  36.6 | dMAE= +4.7 dCorr=+0.02 dEveB=+43.5
IT-SOUTH |   18.8  -10.7  0.69  -30.9  30.9 |   22.9   -9.8  0.70  +10.3  37.1 | dMAE= +4.2 dCorr=+0.01 dEveB=+41.2
IT-Calabria |   18.8  -10.7  0.69  -30.9  30.9 |   22.9   -9.8  0.70  +10.3  37.1 | dMAE= +4.2 dCorr=+0.01 dEveB=+41.2
IT-Sicily |   22.3   +2.5  0.72  +22.8  48.5 |   26.8   +0.4  0.74  +52.1  58.6 | dMAE= +4.6 dCorr=+0.03 dEveB=+29.3
IT-Sardinia |   22.0   +3.5  0.65  -23.2  23.2 |   27.3  -10.1  0.67   +7.6  39.8 | dMAE= +5.3 dCorr=+0.02 dEveB=+30.8
CH     |   12.2   -3.0  0.85  -16.5  16.5 |   11.1   -5.0  0.82  -13.6  15.5 | dMAE= -1.1 dCorr=-0.03 dEveB= +2.9
SI     |   45.7  -40.2  0.48  -54.2  54.2 |   45.1  -41.9  0.56  -45.7  46.6 | dMAE= -0.6 dCorr=+0.08 dEveB= +8.5
AT     |   16.4  -10.7  0.81  -26.0  26.0 |   16.9  -12.9  0.81  -26.5  26.5 | dMAE= +0.6 dCorr=+0.00 dEveB= -0.4
FR     |   17.0   -3.3  0.79  -24.1  28.3 |   16.4   -2.5  0.78  -20.9  27.0 | dMAE= -0.6 dCorr=-0.01 dEveB= +3.2
GR     |   14.2   +5.2  0.90  +14.7  21.0 |   14.7   +5.1  0.90  +15.2  22.0 | dMAE= +0.5 dCorr=-0.00 dEveB= +0.5
FOOTPRINT mean MAE 23.22 -> 24.62 | mean corr 0.641 -> 0.607 | mean eveBias -6.6 -> +4.5 | (15/39 zones MAE better)
