zone,unit_code,unit_name,firm,source
DE_LU,11W0-0000-0004-B,GKM AG DBEnergie,GKM (Mannheim),"name-rule wave1 (July 2026), verify before publication"
DE_LU,11W0-0000-0005-8,GKM AG TNG,GKM (Mannheim),"name-rule wave1 (July 2026), verify before publication"
DE_LU,11W0-0000-0006-5,GKM AG Amprion,GKM (Mannheim),"name-rule wave1 (July 2026), verify before publication"
DE_LU,11W0-0000-0044-W,Datteln 4,Uniper,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11W0-0000-0103-9,Lichterfelde GUD,Vattenfall (Berlin/BEW),"name-rule wave1 (July 2026), verify before publication"
DE_LU,11W0-0000-0104-6,GuD Marzahn,Vattenfall (Berlin/BEW),"name-rule wave1 (July 2026), verify before publication"
DE_LU,11W0-0000-0196-1,KMW_KW2GT,KMW Mainz-Wiesbaden,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11W0-0000-0197-Z,KMW_KW2DT,KMW Mainz-Wiesbaden,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11W0-0000-0245-J,GUD_HERNE_6,STEAG/Iqony,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11W0-0000-0467-W,Scholven 1,Uniper,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11W0-0000-0494-T,KW Hastedt BHKW,swb (Bremen),"name-rule wave1 (July 2026), verify before publication"
DE_LU,11W0-0000-0858-D,PSW Hohenwarte II PSS A-H,Vattenfall (PSW),"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD2BR14000113U,KW Hastedt Block 14,swb (Bremen),"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD2BR15000116G,KW Hastedt Block 15,swb (Bremen),"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD2BRE4000115K,KW Mittelsbueren Block 4,swb (Bremen),"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD2BRE50001178,KW Hafen Block 5,swb (Bremen),"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD2BRE6000118Z,KW Hafen Block 6,swb (Bremen),"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD2BROK000123P,Brokdorf,PreussenElektra,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD2BUSD0000386,Buschhaus,MIBRAG/EPH,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD2FARG0001262,DEFARGE____1_____,Onyx Power,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD2GE2D000056A,Franken I Block 2 + GT,Uniper,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD2GEB1000055R,Franken I Block 1,Uniper,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD2GKBK000335V,GKB Mittelsbueren GuD,swb (Bremen),"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD2GROH000049H,Grohnde,PreussenElektra,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD2HEY40000638,Heyden 4,Uniper,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD2HUNT0000644,Huntorf GT,Uniper,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD2ING3000058X,Ingolstadt 3,Uniper,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD2ING4000059N,Ingolstadt 4,Uniper,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD2IRG30000606,Irsching 3,Uniper,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD2IRG4000061X,Irsching 4,Uniper,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD2IRG5000062N,Irsching 5,Uniper,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD2ISAR000122A,Isar 2,PreussenElektra,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD2KIEL000050P,Kiel,Stadtwerke Kiel,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD2MEHR2CSWHCZ,Block 3,municipal/unresolved-block-name,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD2NOR20001055,Nord 2 T20,VW Kraftwerk,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD2STA4000065N,Staudinger 4,Uniper,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD2STA5000066D,Staudinger 5,Uniper,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD2WIL10000688,Wilhelmshaven,Uniper,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD2WILH0001255,DEWHV______1_____,Onyx Power,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD2ZOL50001274,DEZOLLI____1_____,Onyx Power,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD4AL1U1C1---T,HKW Altbach/Deizisau Block 1,EnBW,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD4AL1U1C2---O,HKW Altbach/Deizisau 2,EnBW,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD4GKNK1N-GESZ,KKW Neckarwestheim 2,EnBW,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD4HLBR1C7---4,HKW Heilbronn Block 7,EnBW,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD4KKP21N2---E,KKW Philippsburg 2,EnBW,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD4MUST5X-DT-M,Stuttgart-MÃ¼nster DT,EnBW,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD4RDK71C7---G,RDK 7,EnBW,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD4RDK81C8---3,RDK 8,EnBW,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD4WALD5H-SD47,Kraftwerk Waldshut,Schluchseewerk (RWE/EnBW),"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD4WALD5H-SD71,Waldshut,Schluchseewerk (RWE/EnBW),"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD4WEHR1HD4--Y,Kraftwerk Wehr,Schluchseewerk (RWE/EnBW),"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD4WEHR1HD7--M,Wehr,Schluchseewerk (RWE/EnBW),"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD4WITZ5H-SD4C,Kraftwerk Witznau,Schluchseewerk (RWE/EnBW),"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD4WITZ5H-SD76,Witznau,Schluchseewerk (RWE/EnBW),"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD7BERG1S--A-X,BERGKAMEN_A,STEAG/Iqony,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD7BISC5GKW3-T,KMW_KW3,KMW Mainz-Wiesbaden,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD7BOLA5GDTN2T,DT HKW-Niehl-2,RheinEnergie,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD7BOLA5GGTN2E,GT HKW-Niehl-2,RheinEnergie,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD7BRAU5G-GUDH,GuD Dormagen,RWE,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD7EMSL-G-BLB0,Emsland B,RWE,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD7EMSL-G-BLCZ,Emsland C,RWE,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD7EMSL1G-GUD9,Emsland D,RWE,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD7GERS-G-BLF3,Gersteinwerk F,RWE,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD7GERS-G-BLG1,Gersteinwerk G,RWE,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD7GERS-G-BLIY,Gersteinwerk I,RWE,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD7GERS1S-K2-7,Gersteinwerk K2,RWE,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD7GERS5G-H1-T,Gersteinwerk H,RWE,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD7GERS5S-K1-J,Gersteinwerk K1,RWE,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD7GKWE2S--1-K,GK-WEST_1,STEAG/Iqony,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD7GKWE2S--2-H,GK-WEST_2,STEAG/Iqony,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD7HERD2G-H6-X,HERDECKE_H6,Cuno/Mark-E (Enervie),"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD7HERN2S--4-X,HERNE_4,STEAG/Iqony,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD7HERN2S-3--W,HERNE_3,STEAG/Iqony,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD7HUCK2G--A-C,Huckingen A,HKM (Huettenwerke),"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD7HUCK2G--B-9,Huckingen B,HKM (Huettenwerke),"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD7IBBE2S--B-P,IbbenbÃ¼ren B,RWE,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD7KKE-1K-BLAZ,Emsland A,RWE,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD7KRBG1KD7-BE,Gundremmingen B,RWE,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD7KRBG1KD7-CC,Gundremmingen C,RWE,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD7KWHU1GBL10E,KW Hamm-Uentrop Block 10,Trianel,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD7KWHU1GBL20B,KW Hamm-Uentrop Block 20,Trianel,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD7KWKN-20-EEW,Knapsack 2,Statkraft,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD7KWKN-KW-EEN,Knapsack 1,Statkraft,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD7MITB1C---A1,BEXBACH_A_GESAMT,STEAG/Iqony,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD7NEUR1B--B-X,Neurath B,RWE,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD7NEUR1B--C-U,Neurath C,RWE,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD7NEUR1B--D-R,Neurath D,RWE,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD7NEUR1B--E-O,Neurath E,RWE,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD7NEUR1B--F-L,Neurath F,RWE,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD7NEUR1B--G-I,Neurath G,RWE,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD7NEUR2B--A-T,Neurath A,RWE,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD7NIED1B--G-C,NiederauÃem G,RWE,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD7NIED1B--H-9,NiederauÃem H,RWE,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD7NIED1B--K-0,NiederauÃem K (BoA 1),RWE,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD7NIED2B--C-H,NiederauÃem C,RWE,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD7NIED2B--D-E,NiederauÃem D,RWE,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD7NIED2B--E-B,NiederauÃem E,RWE,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD7NIED2B--F-8,NiederauÃem F,RWE,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD7NORF5GGUDFA,Block F,municipal/unresolved-block-name,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD7OPLA1G--318,HKW-Niehl-3,RheinEnergie,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD7SCHO1S--B-0,Scholven B,Uniper,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD7SCHO2S--C-R,Scholven C,Uniper,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD7STUM1SBL10G,KW LÃ¼nen Block 1,Trianel,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD7WALS1S--10A,WALSUM_10,STEAG/Iqony,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD7WALS5S--9-Y,WALSUM_9,STEAG/Iqony,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD7WEIH2S--C-A,WEIHER_C,STEAG/Iqony,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD7WEIS1B--F-M,Weisweiler F,RWE,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD7WEIS1B--G-J,Weisweiler G,RWE,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD7WEIS1B--H-G,Weisweiler H,RWE,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD7WEIS5B--E-Y,Weisweiler E,RWE,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD7WEIS5GVGTGU,Weisweiler VGT - BI. G,RWE,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD7WEIS5GVGTHS,Weisweiler VGT - BI. H,RWE,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD7WSFN1S--E-Z,Westfalen E,RWE,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD7ZUKU5X-MVAS,MVA Weisweiler,RWE,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD8BOXB1L---N8,KW Boxberg Block N,LEAG,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD8BOXB1L---P4,KW Boxberg Block P,LEAG,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD8BOXB1L---Q2,KW Boxberg Block Q,LEAG,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD8BOXB1L---R0,KW Boxberg Block R,LEAG,"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD8GOLD1H---AL,PSW Goldisthal PSS A,Vattenfall (PSW),"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD8GOLD1H---BJ,PSW Goldisthal PSS B,Vattenfall (PSW),"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD8GOLD1H---CH,PSW Goldisthal PSS C,Vattenfall (PSW),"name-rule wave1 (July 2026), verify before publication"
DE_LU,11WD8GOLD1H---DF,PSW Goldisthal PSS D,Vattenfall (PSW),"name-rule wave1 (July 2026), verify before publication"
