zone,unit_code,unit_name,firm,source
ES,18W000000000S9WR,VELILLA,Iberdrola,"name-rule wave2 (July 2026), verify before publication"
ES,18WABO1-12345-D7,ABOÃO 1,EDP,"name-rule wave2 (July 2026), verify before publication"
ES,18WABO2-12345-DY,ABOÃO 2,EDP,"name-rule wave2 (July 2026), verify before publication"
ES,18WACE3-12345-CD,ACECA 3,Naturgy,"name-rule wave2 (July 2026), verify before publication"
ES,18WACE4-12345-C3,ACECA4,Naturgy,"name-rule wave2 (July 2026), verify before publication"
ES,18WAL11-12345-AZ,ALDEA I G1,Iberdrola (hydro),"name-rule wave2 (July 2026), verify before publication"
ES,18WAL12-12345-AP,ALDEA I G2,Iberdrola (hydro),"name-rule wave2 (July 2026), verify before publication"
ES,18WAL13-12345-AF,ALDEA I G3,Iberdrola (hydro),"name-rule wave2 (July 2026), verify before publication"
ES,18WAL14-12345-A5,ALDEA I G4,Iberdrola (hydro),"name-rule wave2 (July 2026), verify before publication"
ES,18WAL15-12345-AW,ALDEA I G5,Iberdrola (hydro),"name-rule wave2 (July 2026), verify before publication"
ES,18WAL16-12345-AM,ALDEA I G6,Iberdrola (hydro),"name-rule wave2 (July 2026), verify before publication"
ES,18WAL21-12345-AO,ALDEA IIG1,Iberdrola (hydro),"name-rule wave2 (July 2026), verify before publication"
ES,18WAL21B-12345-W,ALDEA IIB1,Iberdrola (hydro),"name-rule wave2 (July 2026), verify before publication"
ES,18WAL22-12345-AE,ALDEA IIG2,Iberdrola (hydro),"name-rule wave2 (July 2026), verify before publication"
ES,18WAL22B-12345-M,ALDEA IIB2,Iberdrola (hydro),"name-rule wave2 (July 2026), verify before publication"
ES,18WALZ1-12345-BT,ALMARAZ 1,Iberdrola,"name-rule wave2 (July 2026), verify before publication"
ES,18WALZ2-12345-BJ,ALMARAZ 2,Iberdrola,"name-rule wave2 (July 2026), verify before publication"
ES,18WARCOS1-123-CR,ARCOS1,Iberdrola,"name-rule wave2 (July 2026), verify before publication"
ES,18WARCOS2-123-CJ,ARCOS2,Iberdrola,"name-rule wave2 (July 2026), verify before publication"
ES,18WASC1-12345-BD,ASCO 1,Endesa,"name-rule wave2 (July 2026), verify before publication"
ES,18WASC2-12345-B3,ASCO 2,Endesa,"name-rule wave2 (July 2026), verify before publication"
ES,18WBES3-12345-C7,BESOS 3,Naturgy,"name-rule wave2 (July 2026), verify before publication"
ES,18WBES4-12345-CY,BESOS 4,Endesa,"name-rule wave2 (July 2026), verify before publication"
ES,18WBRR1-12345-DS,BARRIOS,EPH (ex-Viesgo),"name-rule wave2 (July 2026), verify before publication"
ES,18WCED1-12345-AZ,CEDILLO 1,Iberdrola (hydro),"name-rule wave2 (July 2026), verify before publication"
ES,18WCED2-12345-AP,CEDILLO 2,Iberdrola (hydro),"name-rule wave2 (July 2026), verify before publication"
ES,18WCED3-12345-AF,CEDILLO 3,Iberdrola (hydro),"name-rule wave2 (July 2026), verify before publication"
ES,18WCED4-12345-A5,CEDILLO 4,Iberdrola (hydro),"name-rule wave2 (July 2026), verify before publication"
ES,18WCO21-12345--L,CORTES 1,Iberdrola (hydro),"name-rule wave2 (July 2026), verify before publication"
ES,18WCO22-12345-AQ,CORTES 2,Iberdrola (hydro),"name-rule wave2 (July 2026), verify before publication"
ES,18WCOF1-12345-B2,COFRENTES,Iberdrola,"name-rule wave2 (July 2026), verify before publication"
ES,18WCOL4-12345-CF,COLON 4,Endesa,"name-rule wave2 (July 2026), verify before publication"
ES,18WCTGN1-1234-CP,CARTAGENA1,Engie,"name-rule wave2 (July 2026), verify before publication"
ES,18WCTGN2-1234-CG,CARTAGENA2,Engie,"name-rule wave2 (July 2026), verify before publication"
ES,18WCTGN3-1234-C7,CARTAGENA3,Engie,"name-rule wave2 (July 2026), verify before publication"
ES,18WCTJON1-123-CJ,CASTEJON 1,EDP,"name-rule wave2 (July 2026), verify before publication"
ES,18WCTJON2-123-CB,CASTEJON 2,EDP,"name-rule wave2 (July 2026), verify before publication"
ES,18WCTJON3-1234-E,CTJON3,EDP,"name-rule wave2 (July 2026), verify before publication"
ES,18WFOI1-12345-D0,FOIX,Naturgy,"name-rule wave2 (July 2026), verify before publication"
ES,18WGAR1-12345-BN,S.M.GAROÃA,Nuclenor (closed),"name-rule wave2 (July 2026), verify before publication"
ES,18WJMO1-12345-AN,JM.ORIOL 1,Iberdrola (hydro),"name-rule wave2 (July 2026), verify before publication"
ES,18WJMO2-12345-AD,JM.ORIOL 2,Iberdrola (hydro),"name-rule wave2 (July 2026), verify before publication"
ES,18WJMO3-12345-A3,JM.ORIOL 3,Iberdrola (hydro),"name-rule wave2 (July 2026), verify before publication"
ES,18WJMO4-12345-AU,JM.ORIOL 4,Iberdrola (hydro),"name-rule wave2 (July 2026), verify before publication"
ES,18WLAD4-123456-B,LADA IV,EDP,"name-rule wave2 (July 2026), verify before publication"
ES,18WLIT1-123456-S,LITORAL 1,Endesa,"name-rule wave2 (July 2026), verify before publication"
ES,18WLIT2-123456-I,LITORAL 2,Endesa,"name-rule wave2 (July 2026), verify before publication"
ES,18WMALA1-1234567,MALA1,Naturgy,"name-rule wave2 (July 2026), verify before publication"
ES,18WMEI1-12345-DT,MEIRAMA,Naturgy,"name-rule wave2 (July 2026), verify before publication"
ES,18WMUE1-12345-FP,MUELA 1G,Iberdrola (hydro),"name-rule wave2 (July 2026), verify before publication"
ES,18WMUE1B-12345-6,MUELA 1B,Iberdrola (hydro),"name-rule wave2 (July 2026), verify before publication"
ES,18WMUE2-12345-FF,MUELA 2G,Iberdrola (hydro),"name-rule wave2 (July 2026), verify before publication"
ES,18WMUE2B-12345-X,MUELA 2B,Iberdrola (hydro),"name-rule wave2 (July 2026), verify before publication"
ES,18WMUE3-12345-F5,MUELA 3G,Iberdrola (hydro),"name-rule wave2 (July 2026), verify before publication"
ES,18WMUE3B-12345-N,MUELA 3B,Iberdrola (hydro),"name-rule wave2 (July 2026), verify before publication"
ES,18WMUE4-123456-6,MUELA 4G,Iberdrola (hydro),"name-rule wave2 (July 2026), verify before publication"
ES,18WMUE4B-12345-D,MUELA 4B,Iberdrola (hydro),"name-rule wave2 (July 2026), verify before publication"
ES,18WMUE5-123456-X,MUELA 5G,Iberdrola (hydro),"name-rule wave2 (July 2026), verify before publication"
ES,18WMUE5B-12345-3,MUELA 5B,Iberdrola (hydro),"name-rule wave2 (July 2026), verify before publication"
ES,18WMUE6-123456-N,MUELA 6G,Iberdrola (hydro),"name-rule wave2 (July 2026), verify before publication"
ES,18WMUE6B-12345-U,MUELA 6B,Iberdrola (hydro),"name-rule wave2 (July 2026), verify before publication"
ES,18WMUE7-123456-D,MUELA 7G,Iberdrola (hydro),"name-rule wave2 (July 2026), verify before publication"
ES,18WMUE7B-12345-K,MUELA 7B,Iberdrola (hydro),"name-rule wave2 (July 2026), verify before publication"
ES,18WPALOS1-123-CB,PALOS1,Naturgy,"name-rule wave2 (July 2026), verify before publication"
ES,18WPALOS2-123-C3,PALOS 2,Naturgy,"name-rule wave2 (July 2026), verify before publication"
ES,18WPALOS3-123-CW,PALOS 3,Naturgy,"name-rule wave2 (July 2026), verify before publication"
ES,18WPBCN1-1234-PG,PBCN1,Naturgy,"name-rule wave2 (July 2026), verify before publication"
ES,18WPBCN2-1234-P7,PBCN2,Naturgy,"name-rule wave2 (July 2026), verify before publication"
ES,18WPVENT1-1234-X,PVENT1,Plana del Vent (verify owner),"name-rule wave2 (July 2026), verify before publication"
ES,18WPVENT2-1234-P,PdV2,Plana del Vent (verify owner),"name-rule wave2 (July 2026), verify before publication"
ES,18WSAGU1-1234-CC,SAGU1,Naturgy,"name-rule wave2 (July 2026), verify before publication"
ES,18WSAGU2-1234-C3,SAGU2,Naturgy,"name-rule wave2 (July 2026), verify before publication"
ES,18WSAGU3-1234-CV,SAGU3,Naturgy,"name-rule wave2 (July 2026), verify before publication"
ES,18WSRI2-12345-D7,SOTO RIB 2,EDP,"name-rule wave2 (July 2026), verify before publication"
ES,18WSRI3-12345-DY,SOTO RIB 3,EDP,"name-rule wave2 (July 2026), verify before publication"
ES,18WSRI4-123456-V,SRI4,EDP,"name-rule wave2 (July 2026), verify before publication"
ES,18WSRI5-12345--5,SOTO 5,EDP,"name-rule wave2 (July 2026), verify before publication"
ES,18WSTC4-12345-CV,SANTURCE 4,Iberdrola,"name-rule wave2 (July 2026), verify before publication"
ES,18WTAPOWER-12-C7,TAPOWER,Iberdrola,"name-rule wave2 (July 2026), verify before publication"
ES,18WTER1-12345-DO,TERUEL 1,Endesa,"name-rule wave2 (July 2026), verify before publication"
ES,18WTER2-12345-DE,TERUEL 2,Endesa,"name-rule wave2 (July 2026), verify before publication"
ES,18WTER3-12345-D4,TERUEL 3,Endesa,"name-rule wave2 (July 2026), verify before publication"
ES,18WTRL1-12345-BC,TRILLO,Iberdrola,"name-rule wave2 (July 2026), verify before publication"
ES,18WVAN2-12345-BA,VANDELLOS,Endesa,"name-rule wave2 (July 2026), verify before publication"
