zone,unit_code,unit_name,firm,source
FR,17W000000460346Y,FR_MAREGES_G2,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W000000460367Q,FR_MAREGES_G3,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W000000460368O,FR_MAREGES_G4,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W000000918390N,BAYET MORANDES (LES),TotalEnergies,"name-rule wave1 (July 2026), verify before publication"
FR,17W000001353785Z,PIERRE-BENITE G1,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P00016,PONT SUR SAMBRE,TotalEnergies,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P00024,EMILE HUCHET 4,GazelEnergie,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P00032,EMILE HUCHET 5,GazelEnergie,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0005Z,EMILE HUCHET 6,GazelEnergie,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0009R,PROVENCE 5,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0016U,BOUCHAIN 1,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0028N,ARAMON 1,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0029L,ARAMON 2,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0031Y,ARRIGHI 1,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0032W,ARRIGHI 2,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0033U,BRENNILIS 3,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0034S,CORDEMAIS 2,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0035Q,CORDEMAIS 3,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0037M,GENNEVILLIERS 1,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0040X,MONTEREAU 5,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0041V,MONTEREAU 6,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0042T,PORCHEVILLE 1,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0043R,PORCHEVILLE 2,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0044P,PORCHEVILLE 3,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0045N,PORCHEVILLE 4,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0046L,VAIRES 1,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0047J,VAIRES 2,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0048H,VAIRES 3,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0049F,CHASTANG 2,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0050U,CHASTANG 3,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0051S,AIGLE 6,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0052Q,BORT 1,EDF,"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P0054M,BORT 2,EDF,"name-rule wave1 (July 2026), verify before publication"
