zone,unit_code,unit_name,firm,source
HU,15W-METRAAB-AE-8,METRAABae,Matra (Opus),"name-rule wave2 (July 2026), verify before publication"
HU,15W-METRABB-AE-1,METRABBae,Matra (Opus),"name-rule wave2 (July 2026), verify before publication"
HU,15WCSEPELG1--GTH,CSP_GT1,Alpiq/MET (Csepel),"name-rule wave2 (July 2026), verify before publication"
HU,15WCSEPELG2--GTB,CSP_GT2,Alpiq/MET (Csepel),"name-rule wave2 (July 2026), verify before publication"
HU,15WCSEPELG3--ST6,CSP_ST,Alpiq/MET (Csepel),"name-rule wave2 (July 2026), verify before publication"
HU,15WCSPRPVG1-PV-F,CSPRPVae,Alpiq/MET (Csepel),"name-rule wave2 (July 2026), verify before publication"
HU,15WDUMEG14---GTI,DG2_gÃ©p14,MET (Dunamenti),"name-rule wave2 (July 2026), verify before publication"
HU,15WDUMEG15---GTB,DG2_gÃ©p15,MET (Dunamenti),"name-rule wave2 (July 2026), verify before publication"
HU,15WDUMEG16---ST5,DG2_gÃ©p16,MET (Dunamenti),"name-rule wave2 (July 2026), verify before publication"
HU,15WDUMEG17---STZ,DG2_gÃ©p17,MET (Dunamenti),"name-rule wave2 (July 2026), verify before publication"
HU,15WDUMEG6----STE,DG2_gÃ©p6,MET (Dunamenti),"name-rule wave2 (July 2026), verify before publication"
HU,15WDUMEG7----GT5,DG3_gÃ©p7,MET (Dunamenti),"name-rule wave2 (July 2026), verify before publication"
HU,15WDUMEG8----GTY,DG3_gÃ©p8,MET (Dunamenti),"name-rule wave2 (July 2026), verify before publication"
HU,15WGONYUDIES-GEI,GONYU_DIES,"MET (Gonyu, ex-Uniper)","name-rule wave2 (July 2026), verify before publication"
HU,15WGONYUG1-CCGTG,GÃNYÃ_gÃ©p1,"MET (Gonyu, ex-Uniper)","name-rule wave2 (July 2026), verify before publication"
HU,15WKFGT------GT5,KF_GT,MVM (reserve/peaker GT),"name-rule wave2 (July 2026), verify before publication"
HU,15WKFGT34----GT3,KF_GT34,MVM (reserve/peaker GT),"name-rule wave2 (July 2026), verify before publication"
HU,15WKISPEST-CCGTY,KI_GTST,MVM (reserve/peaker GT),"name-rule wave2 (July 2026), verify before publication"
HU,15WLITERG----GTJ,LitÃ©r_GT,MVM (reserve/peaker GT),"name-rule wave2 (July 2026), verify before publication"
HU,15WLORINCG---GTQ,LORIGTae,MVM (reserve/peaker GT),"name-rule wave2 (July 2026), verify before publication"
HU,15WMATRAG3---STO,MÃ2_gÃ©p3,Matra (Opus),"name-rule wave2 (July 2026), verify before publication"
HU,15WMATRAG4---STH,MÃ2_gÃ©p4,Matra (Opus),"name-rule wave2 (July 2026), verify before publication"
HU,15WMATRAG5---STA,MÃ2_gÃ©p5,Matra (Opus),"name-rule wave2 (July 2026), verify before publication"
HU,15WPAKSG1----STK,PA_gÃ©p1,MVM (Paks),"name-rule wave2 (July 2026), verify before publication"
HU,15WPAKSG2----STC,PA_gÃ©p2,MVM (Paks),"name-rule wave2 (July 2026), verify before publication"
HU,15WPAKSG3----ST4,PA_gÃ©p3,MVM (Paks),"name-rule wave2 (July 2026), verify before publication"
HU,15WPAKSG4----STX,PA_gÃ©p4,MVM (Paks),"name-rule wave2 (July 2026), verify before publication"
HU,15WPAKSG5----STP,PA_gÃ©p5,MVM (Paks),"name-rule wave2 (July 2026), verify before publication"
HU,15WPAKSG6----STH,PA_gÃ©p6,MVM (Paks),"name-rule wave2 (July 2026), verify before publication"
HU,15WPAKSG7----ST9,PA_gÃ©p7,MVM (Paks),"name-rule wave2 (July 2026), verify before publication"
HU,15WPAKSG8----ST1,PA_gÃ©p8,MVM (Paks),"name-rule wave2 (July 2026), verify before publication"
HU,15WSAJOSZG---GTD,SajÃ³_GT,MVM (reserve/peaker GT),"name-rule wave2 (July 2026), verify before publication"
HU,15WTISZAG1---ST4,TI2_gÃ©p1,MET (Tisza II),"name-rule wave2 (July 2026), verify before publication"
HU,15WTISZAG2---STY,TI2_gÃ©p2,MET (Tisza II),"name-rule wave2 (July 2026), verify before publication"
HU,15WTISZAG3---STR,TI4_gÃ©p3,MET (Tisza II),"name-rule wave2 (July 2026), verify before publication"
HU,15WTISZAG4---STK,TI4_gÃ©p4,MET (Tisza II),"name-rule wave2 (July 2026), verify before publication"
