zone,unit_code,unit_name,firm,source
IT-CSOUTH,26WUCCGTPRILIA15,UP_CCGTPRILIA_1,Sorgenia,"name-rule wave2 (July 2026), verify before publication"
IT-CSOUTH,26WUFIUMESANTO6Y,UP_FIUMESANTO_6,EPH (EP Produzione),"name-rule wave2 (July 2026), verify before publication"
IT-CSOUTH,26WUFZUMESANTO5Y,UP_FIUMESANTO_5,EPH (EP Produzione),"name-rule wave2 (July 2026), verify before publication"
IT-CSOUTH,26WUMONTALTO241V,UP_MONTALTO24_1,Enel,"name-rule wave2 (July 2026), verify before publication"
IT-CSOUTH,26WUTRRVLDLIGA55,UP_TRRVLDLIGA_5,Tirreno Power,"name-rule wave2 (July 2026), verify before publication"
IT-CSOUTH,26WUTRRVLDLIGA63,UP_TRRVLDLIGA_6,Tirreno Power,"name-rule wave2 (July 2026), verify before publication"
IT-CSOUTH,26WUUFIUMESANT1J,UP_FIUMESANT_1,EPH (EP Produzione),"name-rule wave2 (July 2026), verify before publication"
IT-CSOUTH,26WUUFIUMESANT2H,UP_FIUMESANT_2,EPH (EP Produzione),"name-rule wave2 (July 2026), verify before publication"
IT-CSOUTH,26WUUFIUMESANT3F,UP_FIUMESANT_3,EPH (EP Produzione),"name-rule wave2 (July 2026), verify before publication"
IT-CSOUTH,26WUUFIUMESANT4D,UP_FIUMESANT_4,EPH (EP Produzione),"name-rule wave2 (July 2026), verify before publication"
IT-CSOUTH,26WUUPIETRAFIT51,UP_PIETRAFIT_5,Enel,"name-rule wave2 (July 2026), verify before publication"
IT-CSOUTH,26WUUPRESENZAN11,UP_PRESENZAN_1,Enel,"name-rule wave2 (July 2026), verify before publication"
IT-CSOUTH,26WUUTORREVALN2K,UP_TORREVALN_2,Enel,"name-rule wave2 (July 2026), verify before publication"
IT-CSOUTH,26WUUTORREVALN3I,UP_TORREVALN_3,Enel,"name-rule wave2 (July 2026), verify before publication"
IT-CSOUTH,26WUUTORREVALN4G,UP_TORREVALN_4,Enel,"name-rule wave2 (July 2026), verify before publication"
IT-CSOUTH,26WUUUASSEMINI17,UP_ASSEMINI_1,Enel,"name-rule wave2 (July 2026), verify before publication"
IT-CSOUTH,26WUUUASSEMINI25,UP_ASSEMINI_2,Enel,"name-rule wave2 (July 2026), verify before publication"
IT-CSOUTH,26WUUUMONTALTO1L,UP_MONTALTO_1,Enel,"name-rule wave2 (July 2026), verify before publication"
IT-CSOUTH,26WUUUMONTALTO2J,UP_MONTALTO_2,Enel,"name-rule wave2 (July 2026), verify before publication"
IT-CSOUTH,26WUUUMONTALTO3H,UP_MONTALTO_3,Enel,"name-rule wave2 (July 2026), verify before publication"
IT-CSOUTH,26WUUUMONTALTO4F,UP_MONTALTO_4,Enel,"name-rule wave2 (July 2026), verify before publication"
IT-CSOUTH,26WUUUOSTIGLIA17,UP_OSTIGLIA_1,EPH (EP Produzione),"name-rule wave2 (July 2026), verify before publication"
IT-CSOUTH,26WUUUOSTIGLIA25,UP_OSTIGLIA_2,EPH (EP Produzione),"name-rule wave2 (July 2026), verify before publication"
IT-CSOUTH,26WUUUOSTIGLIA33,UP_OSTIGLIA_3,EPH (EP Produzione),"name-rule wave2 (July 2026), verify before publication"
IT-CSOUTH,26WUUUOSTIGLIA41,UP_OSTIGLIA_4,EPH (EP Produzione),"name-rule wave2 (July 2026), verify before publication"
IT-CSOUTH,26WUUUUCASSANO1K,UP_CASSANO_1,A2A,"name-rule wave2 (July 2026), verify before publication"
IT-CSOUTH,26WUUUUCASSANO2I,UP_CASSANO_2,A2A,"name-rule wave2 (July 2026), verify before publication"
IT-CSOUTH,26WUUUUTURBIGO1Q,UP_TURBIGO_1,Iren,"name-rule wave2 (July 2026), verify before publication"
IT-CSOUTH,26WUUUUTURBIGO2O,UP_TURBIGO_2,Iren,"name-rule wave2 (July 2026), verify before publication"
IT-CSOUTH,26WUUUUTURBIGO3M,UP_TURBIGO_3,Iren,"name-rule wave2 (July 2026), verify before publication"
IT-CSOUTH,26WUUUUTURBIGO4K,UP_TURBIGO_4,Iren,"name-rule wave2 (July 2026), verify before publication"
IT-CSOUTH,26WUUUUUUBUSSI19,UP_BUSSI_1,Edison,"name-rule wave2 (July 2026), verify before publication"
