zone,unit_code,unit_name,firm,source
IT-NORTH,26W-S03TVZZ1159W,UP_TAVAZZANO_1,EPH (EP Produzione),"name-rule wave2 (July 2026), verify before publication"
IT-NORTH,26W-SV5FTSNFUSIV,UP_FUSINAT_7,Enel,"name-rule wave2 (July 2026), verify before publication"
IT-NORTH,26W115980315710U,UP_TAVAZZANO_1,EPH (EP Produzione),"name-rule wave2 (July 2026), verify before publication"
IT-NORTH,26WCASSANO-OEAE5,UP_CASSANO_3,A2A,"name-rule wave2 (July 2026), verify before publication"
IT-NORTH,26WFUSINAT700001,UP_FUSINAT_7,Enel,"name-rule wave2 (July 2026), verify before publication"
IT-NORTH,26WOEAEMAE316250,UP_CASSANO_3,A2A,"name-rule wave2 (July 2026), verify before publication"
IT-NORTH,26WPREM-GROSIO10,UP_PREM-GROSIO_1,Enel,"name-rule wave2 (July 2026), verify before publication"
IT-NORTH,26WTAVAZZANO-C64,UP_TAVAZZANO_C_6,EPH (EP Produzione),"name-rule wave2 (July 2026), verify before publication"
IT-NORTH,26WUETQCHIOTAS1O,UP_ETQCHIOTAS_1,Enel,"name-rule wave2 (July 2026), verify before publication"
IT-NORTH,26WULCSELLACLE5A,UP_LCSELLACLE_5,Enel,"name-rule wave2 (July 2026), verify before publication"
IT-NORTH,26WUMONCALIERI36,UP_MONCALIERI_3,Iren,"name-rule wave2 (July 2026), verify before publication"
IT-NORTH,26WUPNTVNTOUX21K,UP_PNTVNTOUX2_1,Enel,"name-rule wave2 (July 2026), verify before publication"
IT-NORTH,26WUTORVISCOSA1F,UP_TORVISCOSA_1,Edison,"name-rule wave2 (July 2026), verify before publication"
IT-NORTH,26WUUBARGI-CEN11,26WUUBARGI-CEN11,Enel,"name-rule wave2 (July 2026), verify before publication"
IT-NORTH,26WUULAMARMORA16,UP_LAMARMORA_1,A2A,"name-rule wave2 (July 2026), verify before publication"
IT-NORTH,26WUUOSTIGLIA12K,UP_OSTIGLIA_12,EPH (EP Produzione),"name-rule wave2 (July 2026), verify before publication"
IT-NORTH,26WUURONCOVALG13,UP_RONCOVALG_1,Enel,"name-rule wave2 (July 2026), verify before publication"
IT-NORTH,26WUUS-MASS-CL10,UP_S.MASS.CL_1,Enel,"name-rule wave2 (July 2026), verify before publication"
IT-NORTH,26WUUSPEZIA-CE1X,UP_SPEZIA_CE_1,Enel,"name-rule wave2 (July 2026), verify before publication"
IT-NORTH,26WUUSPEZIA-CE2V,UP_SPEZIA_CE_2,Enel,"name-rule wave2 (July 2026), verify before publication"
IT-NORTH,26WUUSPEZIA-CE3T,UP_SPEZIA_CE_3,Enel,"name-rule wave2 (July 2026), verify before publication"
IT-NORTH,26WUUTAVAZZANO5Z,UP_TAVAZZANO_5,EPH (EP Produzione),"name-rule wave2 (July 2026), verify before publication"
IT-NORTH,26WUUTAVAZZANO8T,UP_TAVAZZANO_8,EPH (EP Produzione),"name-rule wave2 (July 2026), verify before publication"
IT-NORTH,26WUUTURBIGO-S17,UP_TURBIGO_S_1,Iren,"name-rule wave2 (July 2026), verify before publication"
IT-NORTH,26WUUUCHIVASSO1V,UP_CHIVASSO_1,EPH (EP Produzione),"name-rule wave2 (July 2026), verify before publication"
IT-NORTH,26WUUUCHIVASSO2T,UP_CHIVASSO_2,EPH (EP Produzione),"name-rule wave2 (July 2026), verify before publication"
IT-NORTH,26WUUUFUSINA-T18,UP_FUSINA_T_1,Enel,"name-rule wave2 (July 2026), verify before publication"
IT-NORTH,26WUUUFUSINA-T26,UP_FUSINA_T_2,Enel,"name-rule wave2 (July 2026), verify before publication"
IT-NORTH,26WUUUFUSINA-T34,UP_FUSINA_T_3,Enel,"name-rule wave2 (July 2026), verify before publication"
IT-NORTH,26WUUUFUSINA-T42,UP_FUSINA_T_4,Enel,"name-rule wave2 (July 2026), verify before publication"
IT-NORTH,26WUUUOSTIGLIA17,UP_OSTIGLIA_1,EPH (EP Produzione),"name-rule wave2 (July 2026), verify before publication"
IT-NORTH,26WUUUOSTIGLIA25,UP_OSTIGLIA_2,EPH (EP Produzione),"name-rule wave2 (July 2026), verify before publication"
IT-NORTH,26WUUUOSTIGLIA33,UP_OSTIGLIA_3,EPH (EP Produzione),"name-rule wave2 (July 2026), verify before publication"
IT-NORTH,26WUUUOSTIGLIA41,UP_OSTIGLIA_4,EPH (EP Produzione),"name-rule wave2 (July 2026), verify before publication"
