zone,unit_code,unit_name,firm,source
IT-SOUTH,26WUBMSSRGNANO15,UP_BMSSRGNANO_1,Sorgenia,"name-rule wave2 (July 2026), verify before publication"
IT-SOUTH,26WUBRNDSSUDCE1N,UP_BRNDSSUDCE_1,Enel,"name-rule wave2 (July 2026), verify before publication"
IT-SOUTH,26WUBRNDSSUDCE2L,UP_BRNDSSUDCE_2,Enel,"name-rule wave2 (July 2026), verify before publication"
IT-SOUTH,26WUBRNDSSUDCE3J,UP_BRNDSSUDCE_3,Enel,"name-rule wave2 (July 2026), verify before publication"
IT-SOUTH,26WUBRNDSSUDCE4H,UP_BRNDSSUDCE_4,Enel,"name-rule wave2 (July 2026), verify before publication"
IT-SOUTH,26WULVTRNTCET31X,UP_LVTRNTCET3_1,ILVA/Taranto CET (verify),"name-rule wave2 (July 2026), verify before publication"
IT-SOUTH,26WUNRGAMOLISE1H,UP_NRGAMOLISE_1,Sorgenia,"name-rule wave2 (July 2026), verify before publication"
IT-SOUTH,26WUSRGNPGLCNT1P,UP_SRGNPGLCNT_1,Sorgenia,"name-rule wave2 (July 2026), verify before publication"
IT-SOUTH,26WUUUMUCONE2S1W,UP_MUCONE_2S_1,Enel,"name-rule wave2 (July 2026), verify before publication"
IT-SOUTH,26WUUUUCANDELA1R,UP_CANDELA_1,Edison,"name-rule wave2 (July 2026), verify before publication"
IT-SOUTH,26WUUUUCANDELA2P,UP_CANDELA_2,Edison,"name-rule wave2 (July 2026), verify before publication"
IT-SOUTH,26WUUUUUSIMERI1O,UP_SIMERI_1,Edison,"name-rule wave2 (July 2026), verify before publication"
IT-SOUTH,26WUUUUUUUCET21O,UP_CET2_1,ILVA/Taranto CET (verify),"name-rule wave2 (July 2026), verify before publication"
IT-SOUTH,26WUUZMUCONE1S1I,UP_MUCONE_1S_1,Enel,"name-rule wave2 (July 2026), verify before publication"
