zone,unit_code,unit_name,firm,source
IT-Sardinia,26WUASSEMINI261G,UP_ASSEMINI26_1,Enel,"name-rule wave2 (July 2026), verify before publication"
IT-Sardinia,26WUFIUMESANTO6Y,UP_FIUMESANTO_6,EPH (EP Produzione),"name-rule wave2 (July 2026), verify before publication"
IT-Sardinia,26WUFZUMESANTO5Y,UP_FIUMESANTO_5,EPH (EP Produzione),"name-rule wave2 (July 2026), verify before publication"
IT-Sardinia,26WUSULCIS-CEN2C,UP_SULCIS_CEN_2,Enel,"name-rule wave2 (July 2026), verify before publication"
IT-Sardinia,26WUUFIUMESANT1J,UP_FIUMESANT_1,EPH (EP Produzione),"name-rule wave2 (July 2026), verify before publication"
IT-Sardinia,26WUUFIUMESANT2H,UP_FIUMESANT_2,EPH (EP Produzione),"name-rule wave2 (July 2026), verify before publication"
IT-Sardinia,26WUUFIUMESANT3F,UP_FIUMESANT_3,EPH (EP Produzione),"name-rule wave2 (July 2026), verify before publication"
IT-Sardinia,26WUUFIUMESANT4D,UP_FIUMESANT_4,EPH (EP Produzione),"name-rule wave2 (July 2026), verify before publication"
IT-Sardinia,26WUUPORTO-SCU1N,UP_PORTO_SCU_1,Enel,"name-rule wave2 (July 2026), verify before publication"
IT-Sardinia,26WUUPORTO-SCU2L,UP_PORTO_SCU_2,Enel,"name-rule wave2 (July 2026), verify before publication"
IT-Sardinia,26WUUSULCIS-CE3T,UP_SULCIS_CE_3,Enel,"name-rule wave2 (July 2026), verify before publication"
IT-Sardinia,26WUUUASSEMINI17,UP_ASSEMINI_1,Enel,"name-rule wave2 (July 2026), verify before publication"
IT-Sardinia,26WUUUASSEMINI25,UP_ASSEMINI_2,Enel,"name-rule wave2 (July 2026), verify before publication"
IT-Sardinia,26WUUUUTALORO11V,UP_TALORO1_1,Enel,"name-rule wave2 (July 2026), verify before publication"
IT-Sardinia,26WUUUUUSARLUX1W,UP_SARLUX_1,Saras (Sarlux),"name-rule wave2 (July 2026), verify before publication"
