hour	A0_hand_GR	A_refit_GR	B_gbt_GR	B_gbt_core_GR	D_gbt_prevday_GR	D_gbt_full_dyn_GR	A0_hand_BG	A_refit_BG	B_gbt_BG	B_gbt_core_BG	D_gbt_prevday_BG	D_gbt_full_dyn_BG	A0_hand_ES	A_refit_ES	B_gbt_ES	B_gbt_core_ES	D_gbt_prevday_ES	D_gbt_full_dyn_ES	A0_hand_DE_LU	A_refit_DE_LU	B_gbt_DE_LU	B_gbt_core_DE_LU	D_gbt_prevday_DE_LU	D_gbt_full_dyn_DE_LU
0	24.08	7.61	0.36	10.08	0.52	2.17	14.37	5.46	-10.84	-8.60	-5.18	0.40	52.29	28.82	3.49	-0.62	1.09	1.14	17.48	13.53	-8.37	-5.76	-7.48	-0.46
1	23.78	8.48	0.98	10.88	1.06	0.48	15.83	6.95	-13.13	-8.22	-5.01	0.09	52.18	31.92	3.39	-0.98	1.06	1.32	18.20	14.32	-8.63	-6.03	-7.56	-0.65
2	22.75	7.71	0.12	10.15	0.60	-0.53	16.70	7.05	-12.71	-7.33	-5.05	-0.97	53.28	33.89	3.71	-0.42	1.12	1.06	18.27	14.53	-8.34	-5.28	-7.38	-0.81
3	20.27	3.84	-1.77	6.85	-0.94	0.14	13.74	2.38	-14.07	-8.41	-6.33	-2.92	54.69	33.23	3.77	-0.33	1.08	0.48	16.42	12.67	-9.01	-4.77	-7.43	-0.90
4	12.84	-4.11	-0.35	-0.80	-1.69	1.61	6.05	-7.41	-10.22	-12.79	-8.04	-5.65	63.50	29.59	6.69	1.32	3.51	1.02	12.55	8.74	-7.28	-4.05	-6.30	1.38
5	6.56	-5.97	2.35	-4.51	-2.34	3.42	2.01	-12.40	-13.60	-16.95	-11.95	-5.31	73.10	24.31	9.04	1.38	5.93	2.60	7.59	4.44	-6.58	-4.82	-5.72	0.62
6	15.92	12.22	10.17	5.86	6.16	10.80	15.15	3.08	-6.04	-8.64	-6.25	4.90	65.73	24.97	8.56	-0.37	4.79	1.97	7.46	4.64	-7.81	-4.79	-6.53	-0.81
7	29.38	30.30	17.63	14.67	11.38	10.68	30.78	22.21	-0.78	-5.02	-1.13	5.82	63.80	39.71	11.84	2.85	7.56	5.24	13.99	12.85	-7.79	-2.99	-6.71	1.74
8	32.30	33.28	12.47	10.43	7.33	2.63	33.70	27.91	-0.17	-10.08	-1.19	-0.64	65.78	57.31	14.73	8.36	10.28	6.60	23.94	24.47	-7.98	-2.15	-7.02	0.42
9	32.52	33.17	6.11	5.26	3.11	-0.81	35.05	30.86	0.54	-13.50	-2.13	-0.78	69.16	66.71	14.69	7.66	10.48	4.14	35.40	36.67	-7.62	-0.30	-6.99	1.63
10	37.09	37.63	7.68	7.48	4.94	1.56	35.32	31.72	1.89	-14.84	-1.73	2.78	72.34	71.02	13.64	5.45	9.68	1.30	44.79	46.07	-8.01	1.96	-7.74	0.72
11	35.94	36.68	7.07	7.66	4.20	0.19	35.78	32.04	5.39	-12.03	1.80	3.56	74.31	73.22	13.21	4.66	8.35	0.87	50.98	52.36	-7.55	4.19	-7.43	0.48
12	30.60	31.64	7.18	6.82	4.08	0.60	36.61	31.88	9.89	-5.90	5.85	4.06	74.63	73.71	12.07	4.72	7.84	0.87	50.24	51.72	-8.13	3.40	-8.30	-1.28
13	29.39	30.78	12.15	12.08	7.55	2.36	33.22	25.65	12.55	2.70	10.75	4.03	73.17	72.34	11.36	4.85	7.44	0.15	41.65	42.96	-10.80	0.08	-9.80	-3.56
14	19.95	16.46	5.76	7.59	3.76	-1.54	21.52	7.25	14.45	0.58	12.03	-0.11	70.34	69.45	10.09	4.78	6.86	0.60	27.28	27.82	-11.83	-1.49	-10.45	-3.39
15	15.03	-7.75	-7.37	-6.39	-5.71	-5.10	30.67	0.27	17.69	-1.91	12.23	2.20	64.53	62.46	9.84	5.44	6.74	2.24	11.83	11.20	-11.96	-1.41	-10.71	-4.32
16	39.14	-2.09	5.09	-3.18	0.74	3.20	77.00	28.44	33.92	27.31	17.37	5.98	61.50	49.90	8.48	7.09	5.63	1.01	2.42	-1.63	-14.72	-4.34	-11.45	-5.18
17	61.27	13.47	16.09	10.56	9.92	7.74	105.00	46.68	48.22	31.32	21.08	2.43	67.42	28.37	4.93	4.79	2.49	-3.32	-1.69	-8.60	-15.44	-6.63	-12.90	-4.12
18	65.19	18.76	17.07	17.82	10.14	3.20	89.69	35.05	41.38	21.22	13.98	-2.27	93.75	10.03	4.58	0.79	2.78	-1.50	-2.49	-7.22	-10.86	-5.97	-8.99	0.05
19	52.94	15.56	4.29	15.41	2.66	-0.31	61.61	18.73	25.53	16.37	6.25	-2.18	123.43	2.37	8.03	-0.17	5.38	0.94	0.54	-0.50	-9.88	-2.43	-8.42	-2.58
20	38.53	10.83	-6.50	9.42	-2.64	-1.35	35.64	5.71	17.80	5.96	3.89	-3.16	104.54	7.21	7.00	0.32	4.92	0.16	5.56	6.12	-8.85	0.25	-6.15	-1.22
21	27.06	6.90	-7.23	6.96	-3.33	-1.10	15.51	-2.94	7.81	-6.97	1.05	-2.42	74.16	15.72	8.07	1.61	5.52	2.88	8.81	8.61	-7.91	-0.53	-5.57	-0.78
22	24.48	8.24	-2.28	10.50	-0.70	2.15	11.46	-1.10	3.60	-8.99	-0.19	-0.95	57.45	19.59	6.04	0.26	4.16	1.40	10.83	9.57	-8.06	-3.34	-6.40	-2.38
23	22.03	6.48	-2.07	9.04	-0.89	-0.43	12.04	2.11	-0.37	-9.21	-1.30	-1.66	51.62	24.15	4.72	-0.89	2.88	1.76	13.31	11.05	-8.34	-5.66	-7.11	-2.02
