zone	model	split	mae	bias	corr	rmse
GR	A0_hand	test	39.179	29.697	0.630	52.411
GR	A0_hand	apr26	49.581	46.631	0.608	61.809
GR	A_refit	test	28.444	12.764	0.614	41.716
GR	A_refit	apr26	29.577	14.749	0.510	42.892
GR	B_gbt	test	22.268	3.940	0.760	34.229
GR	B_gbt	apr26	27.165	-17.285	0.821	31.794
GR	B_gbt_core	test	23.186	7.463	0.747	34.259
GR	D_gbt_prevday	test	19.177	2.224	0.823	28.542
GR	D_gbt_full_dyn	test	11.817	1.777	0.924	18.711
BG	A0_hand	test	47.158	32.612	0.537	68.638
BG	A0_hand	apr26	70.234	68.310	0.615	89.268
BG	A_refit	test	37.814	14.017	0.497	54.758
BG	A_refit	apr26	50.845	45.988	0.572	67.100
BG	B_gbt	test	39.539	6.692	0.682	54.222
BG	B_gbt	apr26	34.438	9.244	0.752	45.525
BG	B_gbt_core	test	35.043	-1.995	0.629	48.110
BG	D_gbt_prevday	test	26.264	2.153	0.793	37.999
BG	D_gbt_full_dyn	test	12.527	0.219	0.931	20.809
ES	A0_hand	test	70.736	69.822	0.477	85.275
ES	A0_hand	apr26	102.982	102.982	0.647	109.456
ES	A_refit	test	46.809	38.904	0.101	60.424
ES	A_refit	apr26	64.768	64.727	0.341	75.044
ES	B_gbt	test	20.789	8.331	0.795	29.224
ES	B_gbt	apr26	14.079	-6.031	0.928	18.715
ES	B_gbt_core	test	21.746	2.546	0.749	29.845
ES	D_gbt_prevday	test	17.917	5.250	0.839	25.223
ES	D_gbt_full_dyn	test	6.263	1.458	0.977	9.530
DE_LU	A0_hand	test	29.911	18.073	0.564	47.349
DE_LU	A0_hand	apr26	45.459	42.174	0.623	63.175
DE_LU	A_refit	test	26.716	16.443	0.626	44.699
DE_LU	A_refit	apr26	39.419	35.167	0.610	59.709
DE_LU	B_gbt	test	15.048	-9.242	0.894	25.396
DE_LU	B_gbt	apr26	13.715	-1.412	0.951	18.409
DE_LU	B_gbt_core	test	15.670	-2.630	0.866	26.515
DE_LU	D_gbt_prevday	test	13.539	-7.939	0.915	22.720
DE_LU	D_gbt_full_dyn	test	6.744	-1.143	0.964	14.141
