fit_on	test_on	model	mae	bias	corr	rmse
GR	BG	A_refit_GR	41.887	26.810	0.538	58.076
GR	BG	B_gbt_core_GR	39.064	23.297	0.577	55.215
BG	BG	A0_hand_own	47.158	32.612	0.537	68.638
BG	BG	A_refit_own	37.814	14.017	0.497	54.758
BG	BG	B_gbt_core_own	35.043	-1.995	0.629	48.110
GR	ES	A_refit_GR	57.981	57.282	0.480	71.148
GR	ES	B_gbt_core_GR	51.689	51.261	0.616	63.829
ES	ES	A0_hand_own	70.736	69.822	0.477	85.275
ES	ES	A_refit_own	46.809	38.904	0.101	60.424
ES	ES	B_gbt_core_own	21.746	2.546	0.749	29.845
GR	DE_LU	A_refit_GR	34.934	31.290	0.709	48.641
GR	DE_LU	B_gbt_core_GR	30.825	27.505	0.797	42.114
DE_LU	DE_LU	A0_hand_own	29.911	18.073	0.564	47.349
DE_LU	DE_LU	A_refit_own	26.716	16.443	0.626	44.699
DE_LU	DE_LU	B_gbt_core_own	15.670	-2.630	0.866	26.515
