window	zone	arm	n	bias	mae	corr	eve_bias	eve_mae
july2026_failure	AT	base	210	-37.11	37.39	0.88	-50.78	50.78
july2026_failure	AT	treat	210	-37.58	37.83	0.88	-51.93	51.93
july2026_failure	BE	base	210	-31.00	34.74	0.83	-37.91	49.16
july2026_failure	BE	treat	210	-31.52	35.26	0.83	-38.04	49.29
july2026_failure	BG	base	210	-12.07	30.33	0.87	36.53	36.53
july2026_failure	BG	treat	210	-12.98	30.07	0.88	36.53	36.53
july2026_failure	CH	base	210	-25.02	28.64	0.86	-43.88	43.88
july2026_failure	CH	treat	210	-26.47	29.43	0.87	-46.45	46.45
july2026_failure	CZ	base	210	-36.10	41.31	0.72	-55.68	55.68
july2026_failure	CZ	treat	210	-36.58	41.77	0.73	-55.88	55.88
july2026_failure	DE_LU	base	210	-24.88	26.76	0.94	-52.06	52.06
july2026_failure	DE_LU	treat	210	-25.78	27.18	0.94	-52.48	52.48
july2026_failure	DK1	base	210	-21.70	26.61	0.90	-45.99	46.52
july2026_failure	DK1	treat	210	-22.56	27.31	0.90	-46.42	46.95
july2026_failure	DK2	base	210	-35.50	42.07	0.76	-60.25	60.25
july2026_failure	DK2	treat	210	-34.68	42.35	0.72	-60.40	60.40
july2026_failure	EE	base	210	-4.11	33.51	0.54	-7.65	35.71
july2026_failure	EE	treat	210	-4.13	33.46	0.54	-7.76	35.42
july2026_failure	ES	base	210	-5.11	24.39	0.89	9.80	26.79
july2026_failure	ES	treat	210	-8.38	26.82	0.90	6.15	30.25
july2026_failure	FI	base	210	4.53	13.56	0.26	7.35	21.03
july2026_failure	FI	treat	210	4.53	13.56	0.26	7.35	21.03
july2026_failure	FR	base	210	-25.22	35.58	0.79	-21.96	34.40
july2026_failure	FR	treat	210	-34.40	39.79	0.84	-39.26	39.50
july2026_failure	GR	base	210	-8.90	32.30	0.79	36.53	36.53
july2026_failure	GR	treat	210	-12.38	29.46	0.89	36.53	36.53
july2026_failure	HU	base	210	-79.99	80.28	0.70	-69.15	69.15
july2026_failure	HU	treat	210	-80.00	80.29	0.70	-69.15	69.15
july2026_failure	IT-CNORTH	base	210	-6.70	21.62	0.33	-14.60	50.60
july2026_failure	IT-CNORTH	treat	210	-7.66	22.06	0.31	-18.32	54.32
july2026_failure	IT-CSOUTH	base	210	-14.84	17.58	0.56	-41.37	41.37
july2026_failure	IT-CSOUTH	treat	210	-15.01	17.43	0.58	-41.37	41.37
july2026_failure	IT-Calabria	base	210	-14.84	17.58	0.56	-41.37	41.37
july2026_failure	IT-Calabria	treat	210	-15.01	17.43	0.58	-41.37	41.37
july2026_failure	IT-NORTH	base	210	-6.70	21.62	0.33	-14.60	50.60
july2026_failure	IT-NORTH	treat	210	-7.66	22.06	0.31	-18.32	54.32
july2026_failure	IT-SOUTH	base	210	-14.84	17.58	0.56	-41.37	41.37
july2026_failure	IT-SOUTH	treat	210	-15.01	17.43	0.58	-41.37	41.37
july2026_failure	IT-Sardinia	base	210	-19.90	21.65	0.65	-41.37	41.37
july2026_failure	IT-Sardinia	treat	210	-19.99	21.57	0.66	-41.37	41.37
july2026_failure	IT-Sicily	base	210	-15.29	18.21	0.63	-43.76	44.85
july2026_failure	IT-Sicily	treat	210	-15.46	18.06	0.64	-43.76	44.85
july2026_failure	LT	base	210	-46.44	50.72	0.72	-65.96	66.74
july2026_failure	LT	treat	210	-46.46	50.74	0.72	-66.08	66.86
july2026_failure	LV	base	210	-47.84	51.39	0.71	-65.96	66.74
july2026_failure	LV	treat	210	-47.86	51.41	0.71	-66.08	66.86
july2026_failure	NL	base	210	-15.99	27.83	0.83	-50.75	50.75
july2026_failure	NL	treat	210	-16.51	27.74	0.83	-50.75	50.75
july2026_failure	NO1	base	210	-20.46	21.76	0.86	-18.29	18.29
july2026_failure	NO1	treat	210	-21.02	22.33	0.85	-18.44	18.44
july2026_failure	NO2	base	210	-15.89	17.22	0.92	-15.85	15.91
july2026_failure	NO2	treat	210	-17.00	18.25	0.91	-16.15	16.22
july2026_failure	NO3	base	210	25.18	40.17	0.05	51.40	51.40
july2026_failure	NO3	treat	210	24.20	40.61	0.03	51.15	51.15
july2026_failure	NO4	base	210	18.58	18.67	0.01	18.76	18.76
july2026_failure	NO4	treat	210	18.58	18.67	0.01	18.76	18.76
july2026_failure	NO5	base	210	-6.64	16.32	0.82	9.33	9.95
july2026_failure	NO5	treat	210	-7.55	17.01	0.82	9.01	9.62
july2026_failure	PL	base	210	-31.01	35.38	0.78	-61.51	61.51
july2026_failure	PL	treat	210	-31.14	35.50	0.78	-61.71	61.71
july2026_failure	PT	base	210	-8.13	26.13	0.90	9.80	26.79
july2026_failure	PT	treat	210	-11.00	28.89	0.89	6.15	30.25
