date	zone	hour	book	cum_mw	price
2023-04-19	IT-NORTH	4	ours	11.0	1.0
2023-04-19	IT-NORTH	4	ours	417.2	2.85
2023-04-19	IT-NORTH	4	ours	673.7	2.85
2023-04-19	IT-NORTH	4	ours	801.6	4.27
2023-04-19	IT-NORTH	4	ours	914.7	4.27
2023-04-19	IT-NORTH	4	ours	999.2	5.08
2023-04-19	IT-NORTH	4	ours	1095.4	5.08
2023-04-19	IT-NORTH	4	ours	1165.6	6.51
2023-04-19	IT-NORTH	4	ours	1215.9	6.51
2023-04-19	IT-NORTH	4	ours	1532.5	68.4
2023-04-19	IT-NORTH	4	ours	2217.2	129.29
2023-04-19	IT-NORTH	4	ours	3166.5	129.29
2023-04-19	IT-NORTH	4	ours	4771.4	129.29
2023-04-19	IT-NORTH	4	ours	6331.8	129.29
2023-04-19	IT-NORTH	4	ours	7322.3	129.29
2023-04-19	IT-NORTH	4	ours	8326.1	129.29
2023-04-19	IT-NORTH	4	ours	10063.5	129.29
2023-04-19	IT-NORTH	4	ours	11205.3	129.29
2023-04-19	IT-NORTH	4	ours	12495.1	136.41
2023-04-19	IT-NORTH	4	ours	13128.7	169.34
2023-04-19	IT-NORTH	4	ours	13842.3	169.34
2023-04-19	IT-NORTH	4	ours	14274.2	169.34
2023-04-19	IT-NORTH	4	ours	14799.6	169.34
2023-04-19	IT-NORTH	4	ours	15107.5	193.69
2023-04-19	IT-NORTH	4	ours	15774.7	193.69
2023-04-19	IT-NORTH	4	ours	16308.7	193.69
2023-04-19	IT-NORTH	4	ours	16735.2	193.69
2023-04-19	IT-NORTH	4	ours	17293.6	193.69
2023-04-19	IT-NORTH	4	ours	17569.0	193.69
2023-04-19	IT-NORTH	4	ours	17947.6	193.69
2023-04-19	IT-NORTH	4	ours	18592.8	201.56
2023-04-19	IT-NORTH	4	ours	18949.8	204.36
2023-04-19	IT-NORTH	4	ours	19297.2	230.58
2023-04-19	IT-NORTH	4	ours	19521.5	230.58
2023-04-19	IT-NORTH	4	ours	19785.9	230.58
2023-04-19	IT-NORTH	4	ours	20204.3	230.58
2023-04-19	IT-NORTH	4	ours	20528.0	230.58
2023-04-19	IT-NORTH	4	ours	20934.0	230.58
2023-04-19	IT-NORTH	4	ours	21265.4	230.58
2023-04-19	IT-NORTH	4	ours	21724.2	239.95
2023-04-19	IT-NORTH	4	ours	21992.0	243.29
2023-04-19	IT-NORTH	4	ours	22161.5	295.14
2023-04-19	IT-NORTH	4	ours	22421.2	295.14
2023-04-19	IT-NORTH	4	ours	22664.0	295.14
2023-04-19	IT-NORTH	4	ours	22862.1	295.14
2023-04-19	IT-NORTH	4	ours	23074.0	295.14
2023-04-19	IT-NORTH	4	ours	23357.1	295.14
2023-04-19	IT-NORTH	4	ours	23553.8	295.14
2023-04-19	IT-NORTH	4	ours	23780.1	307.14
2023-04-19	IT-NORTH	4	ours	24037.9	311.41
2023-04-19	IT-NORTH	4	gme_up	16.0	-500.0
2023-04-19	IT-NORTH	4	gme_up	36.6	-500.0
2023-04-19	IT-NORTH	4	gme_up	55.3	-500.0
2023-04-19	IT-NORTH	4	gme_up	78.5	-0.5
2023-04-19	IT-NORTH	4	gme_up	89.9	-0.5
2023-04-19	IT-NORTH	4	gme_up	182.3	0.0
2023-04-19	IT-NORTH	4	gme_up	435.1	0.0
2023-04-19	IT-NORTH	4	gme_up	674.6	0.0
2023-04-19	IT-NORTH	4	gme_up	728.9	0.0
2023-04-19	IT-NORTH	4	gme_up	844.9	0.0
2023-04-19	IT-NORTH	4	gme_up	869.9	0.0
2023-04-19	IT-NORTH	4	gme_up	921.9	0.0
2023-04-19	IT-NORTH	4	gme_up	941.1	0.0
2023-04-19	IT-NORTH	4	gme_up	965.6	0.0
2023-04-19	IT-NORTH	4	gme_up	1983.5	0.0
2023-04-19	IT-NORTH	4	gme_up	2470.3	0.0
2023-04-19	IT-NORTH	4	gme_up	2553.1	0.0
2023-04-19	IT-NORTH	4	gme_up	2929.0	0.0
2023-04-19	IT-NORTH	4	gme_up	4239.3	0.0
2023-04-19	IT-NORTH	4	gme_up	4450.9	0.0
2023-04-19	IT-NORTH	4	gme_up	4511.1	0.0
2023-04-19	IT-NORTH	4	gme_up	4705.9	0.0
2023-04-19	IT-NORTH	4	gme_up	5364.2	0.0
2023-04-19	IT-NORTH	4	gme_up	5457.0	1.0
2023-04-19	IT-NORTH	4	gme_up	5478.1	3.0
2023-04-19	IT-NORTH	4	gme_up	5581.8	5.0
2023-04-19	IT-NORTH	4	gme_up	5616.9	15.0
2023-04-19	IT-NORTH	4	gme_up	5630.1	40.0
2023-04-19	IT-NORTH	4	gme_up	5716.4	40.0
2023-04-19	IT-NORTH	4	gme_up	5948.2	70.99
2023-04-19	IT-NORTH	4	gme_up	6317.1	86.12
2023-04-19	IT-NORTH	4	gme_up	7057.7	99.5
2023-04-19	IT-NORTH	4	gme_up	7107.9	100.0
2023-04-19	IT-NORTH	4	gme_up	7144.7	108.5
2023-04-19	IT-NORTH	4	gme_up	7711.6	117.0
2023-04-19	IT-NORTH	4	gme_up	8559.2	124.73
2023-04-19	IT-NORTH	4	gme_up	8950.4	130.25
2023-04-19	IT-NORTH	4	gme_up	9635.4	132.85
2023-04-19	IT-NORTH	4	gme_up	9974.3	136.19
2023-04-19	IT-NORTH	4	gme_up	10784.2	151.14
2023-04-19	IT-NORTH	4	gme_up	11132.3	185.5
2023-04-19	IT-NORTH	4	gme_up	11179.9	185.5
2023-04-19	IT-NORTH	4	gme_up	11437.8	210.0
2023-04-19	IT-NORTH	4	gme_up	12745.5	239.0
2023-04-19	IT-NORTH	4	gme_up	13127.3	258.0
2023-04-19	IT-NORTH	4	gme_up	13715.2	265.0
2023-04-19	IT-NORTH	4	gme_up	14529.5	273.4
2023-04-19	IT-NORTH	4	gme_up	16006.3	326.0
2023-04-19	IT-NORTH	4	gme_up	17706.3	327.0
2023-04-19	IT-NORTH	4	gme_up	18904.3	632.0
2023-04-19	IT-NORTH	12	ours	3925.0	1.0
2023-04-19	IT-NORTH	12	ours	4160.9	2.85
2023-04-19	IT-NORTH	12	ours	4587.7	2.85
2023-04-19	IT-NORTH	12	ours	4695.7	3.62
2023-04-19	IT-NORTH	12	ours	4828.7	3.62
2023-04-19	IT-NORTH	12	ours	4920.7	4.31
2023-04-19	IT-NORTH	12	ours	5009.4	4.31
2023-04-19	IT-NORTH	12	ours	5081.3	5.52
2023-04-19	IT-NORTH	12	ours	5129.9	5.52
2023-04-19	IT-NORTH	12	ours	5446.5	68.4
2023-04-19	IT-NORTH	12	ours	6281.4	129.29
2023-04-19	IT-NORTH	12	ours	7833.5	129.29
2023-04-19	IT-NORTH	12	ours	8857.0	129.29
2023-04-19	IT-NORTH	12	ours	10487.2	129.29
2023-04-19	IT-NORTH	12	ours	11509.1	129.29
2023-04-19	IT-NORTH	12	ours	13042.5	129.29
2023-04-19	IT-NORTH	12	ours	14184.3	129.29
2023-04-19	IT-NORTH	12	ours	15119.3	129.29
2023-04-19	IT-NORTH	12	ours	16289.5	134.54
2023-04-19	IT-NORTH	12	ours	16886.8	146.68
2023-04-19	IT-NORTH	12	ours	17370.5	146.68
2023-04-19	IT-NORTH	12	ours	17996.2	146.68
2023-04-19	IT-NORTH	12	ours	18744.8	146.68
2023-04-19	IT-NORTH	12	ours	19107.8	164.41
2023-04-19	IT-NORTH	12	ours	19473.8	164.41
2023-04-19	IT-NORTH	12	ours	20152.8	164.41
2023-04-19	IT-NORTH	12	ours	20642.0	164.41
2023-04-19	IT-NORTH	12	ours	21063.2	164.41
2023-04-19	IT-NORTH	12	ours	21618.0	164.41
2023-04-19	IT-NORTH	12	ours	21957.8	164.41
2023-04-19	IT-NORTH	12	ours	22378.8	171.09
2023-04-19	IT-NORTH	12	ours	22843.2	173.47
2023-04-19	IT-NORTH	12	ours	23105.6	195.73
2023-04-19	IT-NORTH	12	ours	23357.5	195.73
2023-04-19	IT-NORTH	12	ours	23876.9	195.73
2023-04-19	IT-NORTH	12	ours	24170.0	195.73
2023-04-19	IT-NORTH	12	ours	24501.5	195.73
2023-04-19	IT-NORTH	12	ours	24939.8	195.73
2023-04-19	IT-NORTH	12	ours	25249.3	195.73
2023-04-19	IT-NORTH	12	ours	25542.2	203.68
2023-04-19	IT-NORTH	12	ours	25906.0	206.52
2023-04-19	IT-NORTH	12	ours	26105.3	250.53
2023-04-19	IT-NORTH	12	ours	26320.9	250.53
2023-04-19	IT-NORTH	12	ours	26566.7	250.53
2023-04-19	IT-NORTH	12	ours	26796.5	250.53
2023-04-19	IT-NORTH	12	ours	26959.0	250.53
2023-04-19	IT-NORTH	12	ours	27232.5	250.53
2023-04-19	IT-NORTH	12	ours	27476.2	250.53
2023-04-19	IT-NORTH	12	ours	27758.1	260.71
2023-04-19	IT-NORTH	12	ours	27951.9	264.34
2023-04-19	IT-NORTH	12	gme_up	1.0	-500.0
2023-04-19	IT-NORTH	12	gme_up	39.9	-500.0
2023-04-19	IT-NORTH	12	gme_up	78.9	-500.0
2023-04-19	IT-NORTH	12	gme_up	127.0	-0.5
2023-04-19	IT-NORTH	12	gme_up	401.6	0.0
2023-04-19	IT-NORTH	12	gme_up	506.0	0.0
2023-04-19	IT-NORTH	12	gme_up	944.9	0.0
2023-04-19	IT-NORTH	12	gme_up	1464.2	0.0
2023-04-19	IT-NORTH	12	gme_up	1521.9	0.0
2023-04-19	IT-NORTH	12	gme_up	1660.7	0.0
