date	zone	gme_zone	hour	our_sup_mw	gme_up_mw	gme_uvz_mw	our_dropped_badMW	our_dem_mw	gme_dem_cleared	gme_sup_cleared	gme_clear_price	our_implied_clear	our_price_at_gme_clearedQ	our_mw_below_P*	gme_up_mw_below_P*	our_marg_price	gme_marg_price	marg_markup_gme_minus_our	our_comp_le0/mid/hi/cap	gme_comp_le0/mid/hi/cap
2023-04-19	IT-NORTH	NORD	4	24038.0	18904.0	0.0	0.0	18254.0	13817.0	8336.0	119.9	193.69	129.29	1575.0	8336.0	129.29	105.84	-23.44	0.00/0.53/0.46/0.01	0.28/0.29/0.27/0.16
2023-04-19	IT-NORTH	NORD	12	27952.0	23995.0	0.0	0.0	20745.0	19873.0	13134.0	113.7	164.41	129.29	5521.0	13142.0	129.29	63.36	-65.92	0.00/0.67/0.33/0.00	0.43/0.27/0.17/0.13
2023-04-19	IT-NORTH	NORD	19	24058.0	23311.0	0.0	0.0	20463.0	20312.0	13809.0	189.99	339.87	204.2	12753.0	13809.0	168.95	157.1	-11.86	0.00/0.53/0.26/0.22	0.32/0.20/0.35/0.13
2023-04-19	IT-CNORTH	CNOR	4	2186.0	1558.0	0.0	0.0	2431.0	1957.0	1476.0	119.9		179.64	780.0	1476.0	131.04	90.22	-40.82	0.00/0.66/0.10/0.24	0.67/0.28/0.04/0.01
2023-04-19	IT-CNORTH	CNOR	12	2937.0	2514.0	0.0	0.0	3046.0	3085.0	2369.0	113.7		204.14	1601.0	2369.0	135.74	88.17	-47.57	0.00/0.77/0.05/0.18	0.70/0.25/0.03/0.02
2023-04-19	IT-CNORTH	CNOR	19	2188.0	1711.0	0.0	0.0	3064.0	3116.0	1570.0	189.99		252.45	1425.0	1570.0	154.37	136.35	-18.01	0.00/0.63/0.13/0.24	0.63/0.23/0.09/0.04
2023-04-19	IT-CSOUTH	CSUD	4	10236.0	6613.0	0.0	13068005.0	4722.0	3959.0	1394.0	119.9	134.54	129.29	1341.0	1394.0	15.35	32.59	17.24	0.00/0.68/0.32/0.00	0.17/0.10/0.71/0.01
2023-04-19	IT-CSOUTH	CSUD	12	11693.0	8151.0	0.0	13068005.0	6208.0	6033.0	3616.0	113.7	134.54	129.29	2798.0	3622.0	129.29	49.19	-80.1	0.00/0.72/0.28/0.00	0.32/0.18/0.49/0.02
2023-04-19	IT-CSOUTH	CSUD	19	10061.0	7743.0	0.0	13068005.0	6001.0	6338.0	4150.0	189.99	228.34	134.54	5761.0	4218.0	130.16	186.22	56.06	0.00/0.57/0.22/0.21	0.22/0.14/0.62/0.02
2023-04-19	IT-SOUTH	SUD	4	6225.0	4580.0	0.0	0.0	1870.0	1512.0	1756.0	119.9	129.29	129.29	1115.0	1757.0	129.29	51.15	-78.14	0.00/0.74/0.26/0.00	0.27/0.29/0.35/0.09
2023-04-19	IT-SOUTH	SUD	12	7426.0	6403.0	0.0	0.0	2585.0	2115.0	3984.0	113.7	129.29	129.29	2290.0	3985.0	129.29	64.04	-65.25	0.00/0.79/0.21/0.00	0.35/0.35/0.22/0.08
2023-04-19	IT-SOUTH	SUD	19	5683.0	4255.0	0.0	0.0	2743.0	2242.0	2260.0	189.99	136.41	129.29	3340.0	2261.0	129.29	146.32	17.03	0.00/0.57/0.15/0.28	0.25/0.28/0.35/0.13
2023-04-19	IT-Calabria	CALA	4	3905.0	3313.0	0.0	0.0	535.0	419.0	2120.0	119.9	129.29	129.29	531.0	2135.0	129.29	119.2	-10.09	0.00/0.78/0.22/0.00	0.27/0.41/0.18/0.13
2023-04-19	IT-Calabria	CALA	12	4113.0	3131.0	0.0	0.0	732.0	606.0	2086.0	113.7	4.8	129.29	739.0	2087.0	129.29	110.88	-18.41	0.00/0.79/0.21/0.00	0.27/0.40/0.19/0.14
2023-04-19	IT-Calabria	CALA	19	3777.0	3676.0	0.0	0.0	860.0	718.0	2739.0	189.99	129.29	268.0	2259.0	2739.0	222.64	137.09	-85.55	0.00/0.60/0.18/0.22	0.48/0.26/0.14/0.12
2023-04-19	IT-Sicily	SICI	4	4029.0	1863.0	0.0	0.0	1580.0	1337.0	845.0	119.9	134.54	129.29	199.0	845.0	129.29	22.66	-106.63	0.00/0.58/0.40/0.02	0.40/0.16/0.28/0.15
2023-04-19	IT-Sicily	SICI	12	4748.0	2754.0	0.0	0.0	1842.0	1821.0	1795.0	113.7	129.29	129.29	918.0	1795.0	129.29	20.74	-108.55	0.00/0.70/0.29/0.01	0.54/0.19/0.16/0.11
2023-04-19	IT-Sicily	SICI	19	3870.0	2354.0	0.0	0.0	2233.0	2111.0	975.0	189.99	259.83	129.29	1679.0	975.0		150.32		0.00/0.43/0.29/0.28	0.29/0.12/0.46/0.13
2023-04-19	IT-Sardinia	SARD	4	2074.0	1178.0	0.0	0.0	827.0	743.0	963.0	119.9	147.81	147.81	12.0	963.0		13.51		0.00/0.50/0.47/0.03	0.81/0.01/0.12/0.06
2023-04-19	IT-Sardinia	SARD	12	2569.0	1776.0	0.0	0.0	905.0	932.0	1522.0	113.7	134.54	147.81	507.0	1523.0	136.41	21.02	-115.39	0.00/0.74/0.26/0.00	0.77/0.09/0.09/0.06
2023-04-19	IT-Sardinia	SARD	19	2072.0	1604.0	0.0	0.0	1026.0	1024.0	1102.0	189.99	147.81	238.99	1028.0	1102.0	147.81	60.05	-87.76	0.00/0.50/0.10/0.40	0.63/0.02/0.28/0.07
