strategy	corr	mae	absresid	resid	mae_gain	days_better	n
topslice_25%	0.7587	28.8134	17.7241	6.3590	3.1480	50	60
topslice_40%	0.7687	28.9014	17.2983	3.3883	3.0599	45	60
withhold_10%	0.7535	29.3994	15.4573	2.1092	2.5620	40	60
uniform_10%	0.7359	31.2203	18.4908	7.4661	0.7411	41	60
cf_bid_10%	0.7359	31.2280	18.2676	6.6647	0.7333	40	60
uniform_20%	0.7483	31.4340	17.9043	2.3365	0.5274	36	60
cf_bid_20%	0.7476	31.5063	17.9168	1.9189	0.4550	34	60
cf_bid_35%	0.7192	31.9614	20.0251	13.2131	0.0000	0	60
baseline	0.7192	31.9614	20.0251	13.2131	0.0000	0	60
share_e2.0	0.7485	32.0265	17.9254	0.7934	-0.0651	32	60
peak6_30%	0.7248	32.9096	19.3185	9.8253	-0.9482	28	60
uniform_35%	0.7578	33.3493	19.2349	-4.5306	-1.3879	28	60
pivotal_30%	0.7468	33.5628	17.5335	2.7910	-1.6014	22	60
peak10_40%	0.7364	33.7237	18.2033	6.0011	-1.7624	22	60
withhold_20%	0.7524	34.0488	20.2008	-10.3910	-2.0874	29	60
share_e1.0	0.7587	36.5507	22.4928	-10.0600	-4.5893	22	60
pivotal_50%	0.7522	36.8376	19.6850	-3.5255	-4.8763	17	60
pivotal_80%	0.7595	42.4738	25.3222	-12.1091	-10.5124	12	60
withhold_35%	0.7531	56.1291	43.6055	-40.3584	-24.1677	22	60
