strategy	corr	mae	absresid	resid	mae_gain	days_better	n
nearuniform_25	0.7647	28.5883	17.7241	6.3590	3.1035	50	60
withhold_10	0.7609	29.1333	15.4573	2.1092	2.5585	40	60
uniform_20	0.7537	31.2275	17.9043	2.3365	0.4643	35	60
baseline	0.7263	31.6918	20.0251	13.2131	0.0000	0	60
ts_true_15	0.7279	31.7728	19.5285	12.3971	-0.0810	9	60
ts_true_25	0.7278	31.8429	19.4012	12.2236	-0.1511	8	60
ts_true_35	0.7276	31.8768	19.3278	12.1503	-0.1850	8	60
ts_true_50	0.7273	31.9147	19.2301	12.0526	-0.2228	9	60
cfbid_fix_20	0.7550	31.9370	18.6021	0.0983	-0.2452	36	60
cfbid_fix_35	0.7655	34.8375	21.7914	-7.6507	-3.1457	24	60
