strategy	corr	mae	absresid	resid	mae_gain	days_better	n
ppc_35	0.7661	28.7422	17.3028	4.3498	3.2192	46	60
ppc_25	0.7587	28.8134	17.7241	6.3590	3.1480	50	60
fringe_50	0.7661	29.1796	17.2954	4.0709	2.7818	47	60
fringe_25	0.7551	29.2140	17.9796	7.5956	2.7473	52	60
ppc_50	0.7727	29.2878	17.3137	1.5897	2.6736	42	60
combined_25	0.7293	29.5182	17.3884	-1.0439	2.4432	37	60
ppc35_fringe25	0.7436	29.7077	17.7022	-3.4067	2.2537	36	60
ppc25_fringe50	0.7594	30.2007	18.1611	-5.4451	1.7607	32	60
fringe_100	0.7771	30.4746	16.9029	-0.9053	1.4868	38	60
baseline	0.7192	31.9614	20.0251	13.2131	0.0000	0	60
