strategy	corr	mae	absresid	resid	mae_gain	days_better	n
PPC_25	0.7647	28.5883	17.7241	6.3590	3.1035	50	60
PPC25+Myt25+Elp25	0.7517	28.6693	17.3907	2.0065	3.0226	40	60
PPC_50	0.7789	29.0783	17.3137	1.5897	2.6135	42	60
Elpedison_50	0.7507	30.4170	18.9271	10.4485	1.2749	48	60
Mytilineos_50	0.7489	30.5028	19.0420	10.6378	1.1890	47	60
Elpedison_25	0.7444	30.6487	19.3425	11.5296	1.0431	50	60
Mytilineos_25	0.7429	30.7237	19.4201	11.6277	0.9681	49	60
Heron_50	0.7420	30.8267	19.3135	11.5275	0.8651	45	60
Heron_25	0.7371	31.0276	19.5785	12.2001	0.6642	46	60
Korinthos_50	0.7392	31.0606	19.5714	11.8034	0.6312	39	60
Korinthos_25	0.7352	31.1647	19.7305	12.3492	0.5272	40	60
baseline	0.7263	31.6918	20.0251	13.2131	0.0000	0	60
