zone,target,model,n,mae,bias,corr,nmae
GR,solar,NEW,1992,365.68608260472433,-336.71721408378073,0.9873311438410349,0.13910102396132973
GR,solar,baseline,1992,747.5996153083563,-719.841204639958,0.9798262042062472,0.28437470538055715
GR,wind,NEW,1992,390.0573607626406,-31.97062093548886,0.8308733359600403,0.3175027925288549
GR,wind,baseline,1992,270.37270155483566,-139.5158940704471,0.9260922123118739,0.2200806763379328
GR,load,NEW,1992,138.26206853148744,-54.27345308207949,0.9905769352726788,0.023206168351174547
GR,load,baseline,1992,206.4011642245343,-41.883857836201315,0.9800620726799256,0.03464276367152829
ES,solar,NEW,1944,1185.5130148603625,-908.3843895494382,0.987142904642057,0.12133514892033721
ES,solar,baseline,1944,935.8337141413111,-24.093250584966423,0.9891943995373612,0.09578091648650763
ES,wind,NEW,1944,1029.562298078618,-296.7400871020084,0.8619533517711604,0.19940908218671133
ES,wind,baseline,1944,1033.276790442051,161.57141135571112,0.864250828784626,0.20012851753740749
ES,load,NEW,1992,476.3216394549351,-101.71072296453836,0.9899820521280508,0.016958186090584176
ES,load,baseline,1992,886.567265745448,-606.6919951068435,0.978531952622279,0.03156390856299554
DE_LU,solar,NEW,1992,1303.6270459678065,-378.649870205624,0.9914878575672156,0.0845514756397495
DE_LU,solar,baseline,1992,1618.4728369153886,-427.4056925999938,0.9866183825487967,0.10497194505692019
DE_LU,wind,NEW,1992,2299.316176554538,-889.7206001482305,0.9356694321120127,0.20463854252306138
DE_LU,wind,baseline,1992,1931.3454426323572,266.28017752771115,0.9442136356101594,0.17188924277524995
DE_LU,load,NEW,1992,1180.5962284379561,-100.28133829016897,0.9746393068842242,0.023002041681165576
DE_LU,load,baseline,1992,1759.9996115340232,-882.716311076932,0.9619811401323551,0.034290795996277705
SE2,solar,NEW,1968,3.6754592075308006,-1.9747862928730235,0.9688364447085114,0.18076193542948019
SE2,solar,baseline,1968,3.7677376745178415,-0.7277153445646588,0.9594909235113896,0.1853002620301035
SE2,wind,NEW,1968,576.0830273815976,85.46141320245694,0.789623395916077,0.34969962412636985
SE2,wind,baseline,1968,469.87570045697356,76.34692234868285,0.8655298449524819,0.28522860078478907
SE2,load,NEW,1968,26.354263576944298,-9.53882201611304,0.9567501578092026,0.017105397660504163
SE2,load,baseline,1968,118.36331034579901,-116.1792515116847,0.848962231376022,0.07682443813948192
NL,solar,NEW,1992,1144.648031600834,-1141.5006200621194,0.7065914737191731,0.8294979438248953
NL,solar,baseline,1992,1291.5950957608654,-1291.5409914527258,0.9329941793757792,0.9359868244298618
NL,wind,NEW,1992,302.74844380281974,65.37179632988388,0.9285480483883194,0.23030854459075736
NL,wind,baseline,1992,749.8275798919743,682.1382265589649,0.8772395720198711,0.5704131669505944
NL,load,NEW,1992,625.525241512913,37.935525050521456,0.8582279034980822,0.0640537552651659
NL,load,baseline,1992,3324.4426777391354,3323.1365500182533,0.19347439699965352,0.34042277360054296
