zone	timeslot	price
SI	20260301-0500	84.35
SI	20260301-1200	9.5
SI	20260301-1500	84.35
SI	20260301-0400	84.35
SI	20260301-0800	68.99
SI	20260301-1900	84.35
SI	20260301-0100	81.11
SI	20260301-1100	9.5
SI	20260301-2100	84.35
SI	20260301-1700	96.16
SI	20260301-1600	80.13
SI	20260301-0700	80.13
SI	20260301-2000	84.35
SI	20260301-2200	84.35
SI	20260301-2300	80.13
SI	20260301-1000	9.5
SI	20260301-1800	80.13
SI	20260301-0300	84.35
SI	20260301-1300	44.35
SI	20260301-0000	81.11
SI	20260301-0600	81.11
SI	20260301-0200	82.43
SI	20260301-0900	16.01
SI	20260301-1400	80.13
ES	20260301-0500	43.33
ES	20260301-1200	1
ES	20260301-1500	1
ES	20260301-0400	43.33
ES	20260301-0800	13.06
ES	20260301-1900	80.13
ES	20260301-0100	44.35
ES	20260301-1100	1
ES	20260301-2100	56.13
ES	20260301-1700	44.35
ES	20260301-1600	4.22
ES	20260301-0700	43.35
ES	20260301-2000	80.13
ES	20260301-2200	49.67
ES	20260301-2300	39.2
ES	20260301-1000	2.85
ES	20260301-1800	80.13
ES	20260301-0300	43.04
ES	20260301-1300	1
ES	20260301-0000	57
ES	20260301-0600	43.33
ES	20260301-0200	42.09
ES	20260301-0900	4.22
ES	20260301-1400	1
GR	20260301-0500	80.13
GR	20260301-1200	1
GR	20260301-1500	80.13
GR	20260301-0400	80.13
GR	20260301-0800	1
GR	20260301-1900	96.16
GR	20260301-0100	80.13
GR	20260301-1100	1
GR	20260301-2100	96.16
GR	20260301-1700	96.16
GR	20260301-1600	96.16
GR	20260301-0700	1
GR	20260301-2000	96.16
GR	20260301-2200	96.16
GR	20260301-2300	96.16
GR	20260301-1000	1
GR	20260301-1800	96.16
GR	20260301-0300	80.13
GR	20260301-1300	1
GR	20260301-0000	80.13
GR	20260301-0600	4.22
GR	20260301-0200	80.13
GR	20260301-0900	1
GR	20260301-1400	4.22
IT-CNORTH	20260301-0500	96.16
IT-CNORTH	20260301-1200	92.43
IT-CNORTH	20260301-1500	96.16
IT-CNORTH	20260301-0400	96.16
IT-CNORTH	20260301-0800	96.16
IT-CNORTH	20260301-1900	96.16
IT-CNORTH	20260301-0100	96.16
IT-CNORTH	20260301-1100	96.16
IT-CNORTH	20260301-2100	96.16
IT-CNORTH	20260301-1700	96.16
IT-CNORTH	20260301-1600	96.16
IT-CNORTH	20260301-0700	96.16
IT-CNORTH	20260301-2000	96.16
IT-CNORTH	20260301-2200	96.16
IT-CNORTH	20260301-2300	96.16
IT-CNORTH	20260301-1000	96.16
IT-CNORTH	20260301-1800	96.16
IT-CNORTH	20260301-0300	96.16
IT-CNORTH	20260301-1300	96.16
IT-CNORTH	20260301-0000	96.16
IT-CNORTH	20260301-0600	96.16
IT-CNORTH	20260301-0200	96.16
IT-CNORTH	20260301-0900	96.16
IT-CNORTH	20260301-1400	96.16
HU	20260301-0500	102.13
HU	20260301-1200	9.5
HU	20260301-1500	102.13
HU	20260301-0400	96.86
HU	20260301-0800	68.99
HU	20260301-1900	136.87
HU	20260301-0100	81.11
HU	20260301-1100	9.5
HU	20260301-2100	102.13
HU	20260301-1700	147.61
HU	20260301-1600	140.9
HU	20260301-0700	80.13
HU	20260301-2000	122.8
