window	arm	zone	n	corr	mae	bias	sim_mean	act_mean
apr	A	AT	118	0.8474	27.082	-11.675	87.614	99.290
apr	A	BE	118	0.9289	21.951	-4.568	71.684	76.252
apr	A	BG	118	0.8796	25.849	-6.740	96.082	102.822
apr	A	CH	118	0.9130	31.943	-8.847	77.935	86.782
apr	A	CZ	118	0.8249	32.975	-12.308	70.621	82.929
apr	A	DE_LU	118	0.9112	24.769	-15.855	64.201	80.056
apr	A	DK1	118	0.8800	22.245	-10.390	57.758	68.149
apr	A	DK2	118	0.9331	20.774	-14.183	55.471	69.654
apr	A	EE	118	0.5063	22.424	-7.308	30.838	38.146
apr	A	ES	118	0.7740	34.026	33.854	48.361	14.507
apr	A	FI	118	0.5764	23.149	12.274	39.768	27.494
apr	A	FR	118	0.7945	34.857	-2.854	61.962	64.816
apr	A	GR	118	0.8807	25.555	-5.973	96.899	102.872
apr	A	HU	118	0.8065	32.389	-14.400	85.274	99.674
apr	A	IT-CNORTH	118	0.7858	23.592	-14.456	115.889	130.346
apr	A	IT-CSOUTH	118	0.8534	21.393	-12.070	114.741	126.811
apr	A	IT-Calabria	118	0.8306	22.313	-11.556	112.724	124.281
apr	A	IT-NORTH	118	0.7858	23.592	-14.456	115.889	130.346
apr	A	IT-SOUTH	118	0.8305	22.635	-11.879	112.724	124.603
apr	A	IT-Sardinia	118	0.8404	23.139	-13.816	112.720	126.536
apr	A	IT-Sicily	118	0.8306	22.318	-11.562	112.724	124.286
apr	A	LT	118	0.8887	15.059	-6.408	40.557	46.965
apr	A	LV	118	0.5499	25.117	-19.438	22.939	42.377
apr	A	NL	118	0.9007	26.826	-10.598	76.366	86.964
apr	A	NO1	118	0.8964	30.362	-30.272	63.049	93.321
apr	A	NO2	118	0.9213	16.229	-10.003	74.430	84.433
apr	A	NO3	118	0.6635	25.036	-5.240	65.109	70.349
apr	A	NO4	118	0.2258	17.983	17.764	35.667	17.903
apr	A	NO5	118	0.4152	37.912	-37.835	65.542	103.376
apr	A	PL	118	0.8291	39.291	5.704	80.393	74.689
apr	A	PT	118	0.7701	33.879	33.707	48.440	14.733
apr	A	RO	118	0.8797	25.978	-6.924	96.082	103.006
apr	A	RS	118	0.8363	25.489	-8.488	95.484	103.972
apr	A	SE1	118	0.5395	36.755	28.383	49.019	20.637
apr	A	SE2	118	0.5618	38.409	32.406	51.727	19.321
apr	A	SE3	118	0.6124	26.497	14.193	51.716	37.523
apr	A	SE4	118	0.9055	14.468	-6.218	43.979	50.197
apr	A	SI	118	0.6125	42.495	-13.613	78.693	92.306
apr	A	SK	118	0.8769	35.884	-21.387	63.087	84.474
apr	B	AL	118	0.8105	33.389	26.893	127.670	100.777
apr	B	AT	118	0.8229	27.773	-12.840	86.828	99.668
apr	B	BE	118	0.9279	22.008	-4.814	72.250	77.064
apr	B	BG	118	0.9067	22.344	-2.667	100.732	103.399
apr	B	CH	118	0.9124	32.236	-9.039	78.191	87.231
apr	B	CZ	118	0.8258	32.967	-12.300	71.187	83.487
apr	B	DE_LU	118	0.9103	24.685	-15.772	64.854	80.626
apr	B	DK1	118	0.8792	22.295	-10.518	58.418	68.936
apr	B	DK2	118	0.9389	20.441	-14.771	55.655	70.427
apr	B	EE	118	0.5085	22.395	-7.354	30.738	38.092
apr	B	ES	118	0.7734	33.408	33.236	47.412	14.177
apr	B	FI	118	0.5777	23.121	12.229	39.669	27.440
apr	B	FR	118	0.7783	35.364	-3.773	61.846	65.619
apr	B	GR	118	0.9067	22.245	-2.741	100.708	103.449
apr	B	HR	118	0.8560	27.716	5.141	100.134	94.993
apr	B	HU	118	0.7727	35.268	-19.542	80.496	100.038
apr	B	IT-CNORTH	118	0.7911	23.295	-14.177	116.277	130.454
apr	B	IT-CSOUTH	118	0.8563	21.117	-11.690	115.230	126.920
apr	B	IT-Calabria	118	0.8380	21.487	-10.627	113.763	124.389
apr	B	IT-NORTH	118	0.7911	23.295	-14.177	116.277	130.454
apr	B	IT-SOUTH	118	0.8377	21.810	-10.949	113.763	124.712
apr	B	IT-Sardinia	118	0.8410	23.156	-13.729	112.916	126.645
apr	B	IT-Sicily	118	0.8379	21.493	-10.632	113.763	124.395
apr	B	LT	118	0.8881	15.196	-6.554	40.548	47.102
apr	B	LV	118	0.5501	25.121	-19.451	22.931	42.381
apr	B	ME	118	0.8915	17.499	3.881	108.121	104.240
apr	B	MK	118	0.8633	22.632	-8.485	100.732	109.217
apr	B	NL	118	0.8991	26.865	-10.840	76.937	87.777
apr	B	NO1	118	0.8803	30.711	-30.621	62.984	93.606
apr	B	NO2	118	0.9197	16.159	-9.933	75.004	84.938
apr	B	NO3	118	0.6592	24.858	-4.852	65.823	70.675
apr	B	NO4	118	0.2211	18.200	17.981	35.697	17.716
apr	B	NO5	118	0.4074	37.418	-37.342	66.098	103.440
apr	B	PL	118	0.8286	39.397	5.824	80.400	74.575
apr	B	PT	118	0.7692	33.271	33.099	47.522	14.424
apr	B	RO	118	0.9064	22.529	-2.851	100.732	103.583
apr	B	RS	118	0.8464	23.840	-3.512	101.269	104.781
apr	B	SE1	118	0.5537	36.133	27.697	48.276	20.578
apr	B	SE2	118	0.5721	37.789	31.685	50.983	19.298
apr	B	SE3	118	0.6103	26.616	14.064	51.680	37.616
apr	B	SE4	118	0.9076	14.341	-6.659	43.691	50.351
apr	B	SI	118	0.5919	44.369	-15.378	77.405	92.783
apr	B	SK	118	0.8602	36.553	-22.057	63.004	85.061
jul	A	AT	353	0.8892	33.057	-31.627	87.291	118.919
jul	A	BE	353	0.8624	34.106	-28.789	85.180	113.969
