Output format is aligned.
=== 1. DA prices (entsoe.energy_prices) per zone ===
 map_code | contract_type | currency |               source               | rows | distinct_ts |   first    |    last    | cov_pct_win 
----------+---------------+----------+------------------------------------+------+-------------+------------+------------+-------------
 AL       | Day-ahead     | EUR      | 2023_04_EnergyPrices_12.1.D_r3.csv |  458 |         458 | 2023-04-12 | 2023-05-01 |         0.0
 AL       | Day-ahead     | EUR      | 2023_05_EnergyPrices_12.1.D_r3.csv |  744 |         744 | 2023-05-01 | 2023-06-01 |         0.0
 AL       | Day-ahead     | EUR      | 2023_06_EnergyPrices_12.1.D_r3.csv |  720 |         720 | 2023-06-01 | 2023-07-01 |         0.0
 AL       | Day-ahead     | EUR      | 2023_07_EnergyPrices_12.1.D_r3.csv |  744 |         744 | 2023-07-01 | 2023-08-01 |         0.0
 AL       | Day-ahead     | EUR      | 2023_08_EnergyPrices_12.1.D_r3.csv |  744 |         744 | 2023-08-01 | 2023-09-01 |         0.0
 AL       | Day-ahead     | EUR      | 2023_09_EnergyPrices_12.1.D_r3.csv |  720 |         720 | 2023-09-01 | 2023-10-01 |         0.0
 AL       | Day-ahead     | EUR      | 2023_10_EnergyPrices_12.1.D_r3.csv |  744 |         744 | 2023-10-01 | 2023-11-01 |         0.0
 AL       | Day-ahead     | EUR      | 2023_11_EnergyPrices_12.1.D_r3.csv |  720 |         720 | 2023-11-01 | 2023-12-01 |         0.0
 AL       | Day-ahead     | EUR      | 2023_12_EnergyPrices_12.1.D_r3.csv |  720 |         720 | 2023-12-01 | 2024-01-01 |         0.0
 AL       | Day-ahead     | EUR      | 2024_01_EnergyPrices_12.1.D_r3.csv |  744 |         744 | 2024-01-01 | 2024-02-01 |         0.0
 AL       | Day-ahead     | EUR      | 2024_02_EnergyPrices_12.1.D_r3.csv |  696 |         696 | 2024-02-01 | 2024-03-01 |         0.0
 AL       | Day-ahead     | EUR      | 2024_03_EnergyPrices_12.1.D_r3.csv |  744 |         744 | 2024-03-01 | 2024-04-01 |         0.0
 AL       | Day-ahead     | EUR      | 2024_04_EnergyPrices_12.1.D_r3.csv |  696 |         696 | 2024-04-01 | 2024-05-01 |         0.0
 AL       | Day-ahead     | EUR      | 2024_05_EnergyPrices_12.1.D_r3.csv |  744 |         744 | 2024-05-01 | 2024-06-01 |         0.0
 AL       | Day-ahead     | EUR      | 2024_06_EnergyPrices_12.1.D_r3.csv |  720 |         720 | 2024-06-01 | 2024-07-01 |         0.0
 AL       | Day-ahead     | EUR      | 2024_07_EnergyPrices_12.1.D_r3.csv |  744 |         744 | 2024-07-01 | 2024-08-01 |         4.2
 AL       | Day-ahead     | EUR      | 2024_08_EnergyPrices_12.1.D_r3.csv |  744 |         744 | 2024-08-01 | 2024-09-01 |         4.2
 AL       | Day-ahead     | EUR      | 2024_09_EnergyPrices_12.1.D_r3.csv |  720 |         720 | 2024-09-01 | 2024-10-01 |         4.1
 AL       | Day-ahead     | EUR      | 2024_10_EnergyPrices_12.1.D_r3.csv |  744 |         744 | 2024-10-01 | 2024-11-01 |         4.2
 AL       | Day-ahead     | EUR      | 2024_11_EnergyPrices_12.1.D_r3.csv |  720 |         720 | 2024-11-01 | 2024-12-01 |         4.1
