day,arm,zone,ts,price
2025-01-14,A_off,NL,20250114-0300,96.98
2025-01-14,A_off,NL,20250114-1400,105.31
2025-01-14,A_off,NL,20250114-2100,105.31
2025-01-14,A_off,NL,20250114-0000,96.98
2025-01-14,A_off,NL,20250114-1100,105.3099999999999
2025-01-14,A_off,NL,20250114-1500,110.49
2025-01-14,A_off,NL,20250114-1200,105.31
2025-01-14,A_off,NL,20250114-0800,109.62
2025-01-14,A_off,NL,20250114-1600,110.49
2025-01-14,A_off,NL,20250114-2000,105.31
2025-01-14,A_off,NL,20250114-0400,96.98
2025-01-14,A_off,NL,20250114-1000,105.31
2025-01-14,A_off,NL,20250114-1800,105.31
2025-01-14,A_off,NL,20250114-0500,96.98
2025-01-14,A_off,NL,20250114-1700,110.49
2025-01-14,A_off,NL,20250114-1900,105.31
2025-01-14,A_off,NL,20250114-2200,105.31
2025-01-14,A_off,NL,20250114-0200,96.98
2025-01-14,A_off,NL,20250114-0100,96.98
2025-01-14,A_off,NL,20250114-0900,105.31
2025-01-14,A_off,NL,20250114-0600,105.31
2025-01-14,A_off,NL,20250114-0700,105.31
2025-01-14,A_off,NL,20250114-2300,96.98
2025-01-14,A_off,NL,20250114-1300,105.31
2025-01-14,A_off,BE,20250114-0300,96.98
2025-01-14,A_off,BE,20250114-1400,107.46
2025-01-14,A_off,BE,20250114-2100,110.49
2025-01-14,A_off,BE,20250114-0000,110.49
2025-01-14,A_off,BE,20250114-1100,95.3099999999997
2025-01-14,A_off,BE,20250114-1500,110.49
2025-01-14,A_off,BE,20250114-1200,95.97
2025-01-14,A_off,BE,20250114-0800,110.49
2025-01-14,A_off,BE,20250114-1600,176.16
2025-01-14,A_off,BE,20250114-2000,110.49
2025-01-14,A_off,BE,20250114-0400,101.15
2025-01-14,A_off,BE,20250114-1000,95.31
2025-01-14,A_off,BE,20250114-1800,177.14
2025-01-14,A_off,BE,20250114-0500,110.49
2025-01-14,A_off,BE,20250114-1700,209.35
2025-01-14,A_off,BE,20250114-1900,110.49
2025-01-14,A_off,BE,20250114-2200,110.49
2025-01-14,A_off,BE,20250114-0200,96.98
2025-01-14,A_off,BE,20250114-0100,105.31
2025-01-14,A_off,BE,20250114-0900,110.49
2025-01-14,A_off,BE,20250114-0600,110.49
2025-01-14,A_off,BE,20250114-0700,188.32
2025-01-14,A_off,BE,20250114-2300,110.49
2025-01-14,A_off,BE,20250114-1300,95.31
2025-01-14,A_off,DE_LU,20250114-0300,96.98
2025-01-14,A_off,DE_LU,20250114-1400,109.62
2025-01-14,A_off,DE_LU,20250114-2100,109.62
2025-01-14,A_off,DE_LU,20250114-0000,96.98
2025-01-14,A_off,DE_LU,20250114-1100,106.48000000000066
2025-01-14,A_off,DE_LU,20250114-1500,110.49
2025-01-14,A_off,DE_LU,20250114-1200,107.95
2025-01-14,A_off,DE_LU,20250114-0800,109.62
2025-01-14,A_off,DE_LU,20250114-1600,110.49
2025-01-14,A_off,DE_LU,20250114-2000,109.62
2025-01-14,A_off,DE_LU,20250114-0400,105.31
2025-01-14,A_off,DE_LU,20250114-1000,106.48
2025-01-14,A_off,DE_LU,20250114-1800,110.49
2025-01-14,A_off,DE_LU,20250114-0500,109.62
2025-01-14,A_off,DE_LU,20250114-1700,110.49
2025-01-14,A_off,DE_LU,20250114-1900,110.49
2025-01-14,A_off,DE_LU,20250114-2200,108.38
2025-01-14,A_off,DE_LU,20250114-0200,96.98
2025-01-14,A_off,DE_LU,20250114-0100,96.98
2025-01-14,A_off,DE_LU,20250114-0900,109.62
2025-01-14,A_off,DE_LU,20250114-0600,110.49
2025-01-14,A_off,DE_LU,20250114-0700,110.49
2025-01-14,A_off,DE_LU,20250114-2300,96.98
2025-01-14,A_off,DE_LU,20250114-1300,109.62
2025-01-14,A_off,DK1,20250114-0300,96.98
2025-01-14,A_off,DK1,20250114-1400,105.31
2025-01-14,A_off,DK1,20250114-2100,105.31
2025-01-14,A_off,DK1,20250114-0000,96.98
2025-01-14,A_off,DK1,20250114-1100,105.31000000000039
2025-01-14,A_off,DK1,20250114-1500,110.49
2025-01-14,A_off,DK1,20250114-1200,105.31
2025-01-14,A_off,DK1,20250114-0800,109.62
2025-01-14,A_off,DK1,20250114-1600,110.49
2025-01-14,A_off,DK1,20250114-2000,105.31
2025-01-14,A_off,DK1,20250114-0400,96.98
2025-01-14,A_off,DK1,20250114-1000,105.31
2025-01-14,A_off,DK1,20250114-1800,105.31
2025-01-14,A_off,DK1,20250114-0500,96.98
2025-01-14,A_off,DK1,20250114-1700,110.49
2025-01-14,A_off,DK1,20250114-1900,105.31
2025-01-14,A_off,DK1,20250114-2200,108.38
2025-01-14,A_off,DK1,20250114-0200,96.98
2025-01-14,A_off,DK1,20250114-0100,96.98
2025-01-14,A_off,DK1,20250114-0900,105.31
2025-01-14,A_off,DK1,20250114-0600,107.19
2025-01-14,A_off,DK1,20250114-0700,107.85
2025-01-14,A_off,DK1,20250114-2300,96.98
2025-01-14,A_off,DK1,20250114-1300,105.31
2025-01-14,A_off,NO2,20250114-0300,87.28
2025-01-14,A_off,NO2,20250114-1400,97.33
2025-01-14,A_off,NO2,20250114-2100,97.33
2025-01-14,A_off,NO2,20250114-0000,87.28
2025-01-14,A_off,NO2,20250114-1100,95.4700000000008
2025-01-14,A_off,NO2,20250114-1500,99.44
2025-01-14,A_off,NO2,20250114-1200,96.34
2025-01-14,A_off,NO2,20250114-0800,98.66
2025-01-14,A_off,NO2,20250114-1600,99.44
2025-01-14,A_off,NO2,20250114-2000,97.33
2025-01-14,A_off,NO2,20250114-0400,92.21
2025-01-14,A_off,NO2,20250114-1000,95.47
2025-01-14,A_off,NO2,20250114-1800,97.85
2025-01-14,A_off,NO2,20250114-0500,94.77
2025-01-14,A_off,NO2,20250114-1700,99.44
2025-01-14,A_off,NO2,20250114-1900,97.85
2025-01-14,A_off,NO2,20250114-2200,96.6
2025-01-14,A_off,NO2,20250114-0200,87.28
2025-01-14,A_off,NO2,20250114-0100,87.28
2025-01-14,A_off,NO2,20250114-0900,97.33
2025-01-14,A_off,NO2,20250114-0600,97.85
2025-01-14,A_off,NO2,20250114-0700,97.85
2025-01-14,A_off,NO2,20250114-2300,87.28
2025-01-14,A_off,NO2,20250114-1300,95.47
2025-01-14,A_off,FR,20250114-0300,98.86
2025-01-14,A_off,FR,20250114-1400,127.2
2025-01-14,A_off,FR,20250114-2100,132.59
2025-01-14,A_off,FR,20250114-0000,110.49
2025-01-14,A_off,FR,20250114-1100,131.55000000000015
2025-01-14,A_off,FR,20250114-1500,125.27
2025-01-14,A_off,FR,20250114-1200,118.64
2025-01-14,A_off,FR,20250114-0800,201.84
2025-01-14,A_off,FR,20250114-1600,165.74
2025-01-14,A_off,FR,20250114-2000,139.7
2025-01-14,A_off,FR,20250114-0400,110.49
2025-01-14,A_off,FR,20250114-1000,132.59
2025-01-14,A_off,FR,20250114-1800,248.99
2025-01-14,A_off,FR,20250114-0500,132.59
2025-01-14,A_off,FR,20250114-1700,209.35
2025-01-14,A_off,FR,20250114-1900,164.31
2025-01-14,A_off,FR,20250114-2200,132.59
2025-01-14,A_off,FR,20250114-0200,103.32
2025-01-14,A_off,FR,20250114-0100,116.04
2025-01-14,A_off,FR,20250114-0900,174.51
2025-01-14,A_off,FR,20250114-0600,183.74
2025-01-14,A_off,FR,20250114-0700,246.32
2025-01-14,A_off,FR,20250114-2300,132.59
2025-01-14,A_off,FR,20250114-1300,106.17
2025-01-14,B_on,NL,20250114-0300,96.98
2025-01-14,B_on,NL,20250114-1400,105.31
2025-01-14,B_on,NL,20250114-2100,105.31
2025-01-14,B_on,NL,20250114-0000,96.98
2025-01-14,B_on,NL,20250114-1100,96.98
2025-01-14,B_on,NL,20250114-1500,110.49
2025-01-14,B_on,NL,20250114-1200,105.31
2025-01-14,B_on,NL,20250114-0800,105.31
2025-01-14,B_on,NL,20250114-1600,110.49
2025-01-14,B_on,NL,20250114-2000,105.31
2025-01-14,B_on,NL,20250114-0400,96.98
2025-01-14,B_on,NL,20250114-1000,105.31
2025-01-14,B_on,NL,20250114-1800,105.31
2025-01-14,B_on,NL,20250114-0500,105.31
2025-01-14,B_on,NL,20250114-1700,110.49
2025-01-14,B_on,NL,20250114-1900,105.31
2025-01-14,B_on,NL,20250114-2200,105.31
2025-01-14,B_on,NL,20250114-0200,96.98
2025-01-14,B_on,NL,20250114-0100,96.98
2025-01-14,B_on,NL,20250114-0900,105.31
2025-01-14,B_on,NL,20250114-0600,105.31
2025-01-14,B_on,NL,20250114-0700,105.31
2025-01-14,B_on,NL,20250114-2300,96.98
2025-01-14,B_on,NL,20250114-1300,105.31
2025-01-14,B_on,BE,20250114-0300,96.98
2025-01-14,B_on,BE,20250114-1400,107.46
2025-01-14,B_on,BE,20250114-2100,110.49
2025-01-14,B_on,BE,20250114-0000,110.49
2025-01-14,B_on,BE,20250114-1100,91.56
2025-01-14,B_on,BE,20250114-1500,110.49
2025-01-14,B_on,BE,20250114-1200,95.97
2025-01-14,B_on,BE,20250114-0800,110.49
2025-01-14,B_on,BE,20250114-1600,176.16
2025-01-14,B_on,BE,20250114-2000,110.49
2025-01-14,B_on,BE,20250114-0400,101.15
2025-01-14,B_on,BE,20250114-1000,95.31
2025-01-14,B_on,BE,20250114-1800,177.14
2025-01-14,B_on,BE,20250114-0500,110.49
2025-01-14,B_on,BE,20250114-1700,209.35
2025-01-14,B_on,BE,20250114-1900,110.49
2025-01-14,B_on,BE,20250114-2200,110.49
2025-01-14,B_on,BE,20250114-0200,96.98
2025-01-14,B_on,BE,20250114-0100,105.31
2025-01-14,B_on,BE,20250114-0900,110.49
2025-01-14,B_on,BE,20250114-0600,110.49
2025-01-14,B_on,BE,20250114-0700,188.32
2025-01-14,B_on,BE,20250114-2300,110.49
2025-01-14,B_on,BE,20250114-1300,95.31
2025-01-14,B_on,DE_LU,20250114-0300,96.98
2025-01-14,B_on,DE_LU,20250114-1400,109.62
2025-01-14,B_on,DE_LU,20250114-2100,109.62
2025-01-14,B_on,DE_LU,20250114-0000,96.98
2025-01-14,B_on,DE_LU,20250114-1100,106.48
2025-01-14,B_on,DE_LU,20250114-1500,110.49
2025-01-14,B_on,DE_LU,20250114-1200,107.95
2025-01-14,B_on,DE_LU,20250114-0800,109.62
2025-01-14,B_on,DE_LU,20250114-1600,110.49
2025-01-14,B_on,DE_LU,20250114-2000,109.62
2025-01-14,B_on,DE_LU,20250114-0400,105.31
2025-01-14,B_on,DE_LU,20250114-1000,106.48
2025-01-14,B_on,DE_LU,20250114-1800,110.49
2025-01-14,B_on,DE_LU,20250114-0500,109.62
2025-01-14,B_on,DE_LU,20250114-1700,110.49
2025-01-14,B_on,DE_LU,20250114-1900,110.49
2025-01-14,B_on,DE_LU,20250114-2200,108.38
2025-01-14,B_on,DE_LU,20250114-0200,96.98
2025-01-14,B_on,DE_LU,20250114-0100,96.98
2025-01-14,B_on,DE_LU,20250114-0900,109.62
2025-01-14,B_on,DE_LU,20250114-0600,110.49
2025-01-14,B_on,DE_LU,20250114-0700,110.49
2025-01-14,B_on,DE_LU,20250114-2300,96.98
2025-01-14,B_on,DE_LU,20250114-1300,109.62
2025-01-14,B_on,DK1,20250114-0300,96.98
2025-01-14,B_on,DK1,20250114-1400,105.31
2025-01-14,B_on,DK1,20250114-2100,105.31
2025-01-14,B_on,DK1,20250114-0000,96.98
2025-01-14,B_on,DK1,20250114-1100,96.98
2025-01-14,B_on,DK1,20250114-1500,110.49
2025-01-14,B_on,DK1,20250114-1200,105.31
2025-01-14,B_on,DK1,20250114-0800,105.31
2025-01-14,B_on,DK1,20250114-1600,110.49
2025-01-14,B_on,DK1,20250114-2000,105.31
2025-01-14,B_on,DK1,20250114-0400,96.98
2025-01-14,B_on,DK1,20250114-1000,105.31
2025-01-14,B_on,DK1,20250114-1800,105.31
2025-01-14,B_on,DK1,20250114-0500,105.31
2025-01-14,B_on,DK1,20250114-1700,110.49
2025-01-14,B_on,DK1,20250114-1900,105.31
2025-01-14,B_on,DK1,20250114-2200,108.38
2025-01-14,B_on,DK1,20250114-0200,96.98
2025-01-14,B_on,DK1,20250114-0100,96.98
2025-01-14,B_on,DK1,20250114-0900,105.31
2025-01-14,B_on,DK1,20250114-0600,107.19
2025-01-14,B_on,DK1,20250114-0700,107.85
2025-01-14,B_on,DK1,20250114-2300,96.98
2025-01-14,B_on,DK1,20250114-1300,105.31
2025-01-14,B_on,NO2,20250114-0300,87.28
2025-01-14,B_on,NO2,20250114-1400,97.33
2025-01-14,B_on,NO2,20250114-2100,97.33
2025-01-14,B_on,NO2,20250114-0000,87.28
2025-01-14,B_on,NO2,20250114-1100,92.91
2025-01-14,B_on,NO2,20250114-1500,99.44
2025-01-14,B_on,NO2,20250114-1200,96.34
