zone	corr_base	mae_base	bias_base	corr_cv23	mae_cv23	bias_cv23	dcorr	dmae
NO1	0.102	366.7	327.5	0.121	86.1	5.8	0.019	-280.6
NO2	0.859	18.5	7.4	0.861	18.5	7.6	0.002	0.0
NO3	0.136	422.6	392.9	0.192	61.4	-1.2	0.056	-361.2
NO4	0.018	48.6	-25.2	0.023	49.1	-25.7	0.005	0.5
NO5	0.618	29.3	-10.0	0.611	29.7	-10.3	-0.007	0.4
SE1	0.431	43.6	-26.4	0.431	44.0	-26.8	0.0	0.4
SE2	0.333	44.4	-25.3	0.326	44.9	-25.8	-0.007	0.5
SE3	0.862	21.3	-8.7	0.868	21.3	-9.0	0.006	0.0
SE4	0.825	32.1	-23.0	0.822	32.6	-23.5	-0.003	0.5
DE_LU	0.92	16.7	-3.5	0.922	16.5	-3.5	0.002	-0.2
NL	0.803	26.5	-0.5	0.805	26.5	-0.5	0.002	0.0
DK1	0.873	22.3	2.3	0.873	22.3	2.3	0.0	0.0
DK2	0.824	28.9	-18.0	0.832	29.2	-18.9	0.008	0.3
FR	0.833	21.0	13.2	0.833	21.1	13.4	0.0	0.1
CZ	0.598	28.0	-7.2	0.599	27.8	-7.1	0.001	-0.2
AT	0.817	23.0	-14.0	0.818	23.0	-14.2	0.001	0.0
