zone	month	n	corr	mae	bias	act_mean	sim_mean
NO1	2025-07	168	0.31	31.0	30.1	46.7	76.9
NO1	2025-08	744	0.18	35.6	22.6	61.3	83.9
NO1	2025-09	696	0.1	33.3	31.3	51.2	82.5
NO1	2025-10	695	0.01	39.3	38.7	50.9	89.6
NO1	2025-11	624	0.32	26.5	4.5	78.5	83.0
NO1	2025-12	720	0.05	18.4	14.3	69.3	83.6
NO1	2026-01	744	0.34	22.9	-18.5	108.9	90.4
NO1	2026-02	672	0.46	27.9	-27.9	110.3	82.4
NO1	2026-03	675	0.7	24.6	-23.5	105.8	82.3
NO1	2026-04	720	0.77	25.0	-24.0	100.2	76.2
NO1	2026-05	720	-0.23	417.0	389.5	99.2	488.6
NO1	2026-06	672	-0.15	43.1	35.3	74.2	109.5
NO1	2026-07	552	0.78	26.7	-22.7	96.4	73.7
NO3	2025-07	168	0.07	63.5	63.5	8.1	71.5
NO3	2025-08	744	0.16	60.9	60.8	6.5	67.3
NO3	2025-09	696	0.21	57.0	56.8	15.3	72.1
NO3	2025-10	695	0.22	52.8	52.3	23.9	76.2
NO3	2025-11	624	0.4	44.8	36.7	45.9	82.6
NO3	2025-12	720	0.34	31.5	28.4	50.0	78.5
NO3	2026-01	744	0.58	21.0	-14.9	102.2	87.3
NO3	2026-02	672	0.44	26.8	-23.4	105.5	82.1
NO3	2026-03	675	0.25	23.2	11.0	70.5	81.5
NO3	2026-04	720	0.42	33.4	-19.1	93.2	74.1
NO3	2026-05	720	0.19	73.4	59.4	74.6	134.0
NO3	2026-06	672	0.54	40.7	37.4	53.5	90.9
NO3	2026-07	552	0.23	39.7	22.8	67.9	90.7
NO5	2025-07	168	0.08	52.7	52.7	18.8	71.5
NO5	2025-08	744	0.32	38.9	36.1	31.1	67.2
NO5	2025-09	696	0.6	29.2	27.1	47.0	74.1
NO5	2025-10	695	0.72	27.7	27.2	48.1	75.3
NO5	2025-11	624	0.37	26.8	7.1	75.1	82.2
NO5	2025-12	720	0.45	13.9	11.5	66.5	78.0
NO5	2026-01	744	0.5	20.2	-19.7	107.1	87.3
NO5	2026-02	672	0.43	25.6	-25.5	108.9	83.3
NO5	2026-03	675	0.51	21.9	-21.2	107.3	86.1
NO5	2026-04	720	0.35	32.2	-31.1	110.6	79.5
NO5	2026-05	720	0.39	23.1	-5.9	102.9	96.9
NO5	2026-06	672	0.63	33.0	28.8	61.3	90.1
NO5	2026-07	552	0.62	22.0	-13.0	97.6	84.6
