paired days: 52  zones: 38  cells: 47300  (zone-hours present in both arms; per-day zone count min 36)
       zone    n  ab370_legacy_MAE  ab370_legacy_bias  ab370_legacy_corr  ab370_intervals_MAE  ab370_intervals_bias  ab370_intervals_corr   dMAE  dcorr  diff_cells
         PT 1246            28.384              9.700              0.755               26.309                 6.490                 0.789 -2.075  0.034         304
        DK2 1246            30.977            -20.000              0.656               30.147               -16.178                 0.649 -0.830 -0.008         531
        NO2 1246            17.622             -8.663              0.718               16.997                -7.686                 0.724 -0.625  0.006         477
         SI 1222            31.520            -25.032              0.707               30.937               -24.251                 0.720 -0.584  0.013         400
         FR 1246            27.314              2.559              0.826               26.763                 3.839                 0.838 -0.552  0.011         767
         AT 1246            29.708            -25.321              0.738               29.169               -24.598                 0.746 -0.538  0.009         362
         HU 1246            35.180            -29.012              0.702               34.662               -28.268                 0.715 -0.518  0.013         382
         CZ 1246            25.629            -15.907              0.765               25.130               -15.148                 0.776 -0.499  0.011         396
         PL 1246            28.349            -18.882              0.752               27.866               -18.111                 0.764 -0.482  0.011         311
  IT-CNORTH 1246            20.080             -8.820              0.772               19.609                -9.194                 0.780 -0.472  0.008         159
         SK 1246            30.062            -22.627              0.731               29.595               -21.865                 0.743 -0.466  0.012         396
      DE_LU 1246            25.735             -8.940              0.787               25.313                -8.181                 0.800 -0.423  0.013         408
        NO5 1246            27.262            -22.794              0.702               26.851               -22.223                 0.701 -0.412 -0.001         238
         RO 1246            32.952            -16.364              0.657               32.541               -15.533                 0.666 -0.411  0.009         304
   IT-NORTH 1246            20.806             -9.789              0.759               20.401               -10.431                 0.767 -0.405  0.008         183
        DK1 1246            26.504             -6.098              0.748               26.169                -6.116                 0.763 -0.335  0.015         449
         LT 1246            38.336            -28.117              0.749               38.009               -27.325                 0.748 -0.327 -0.001         277
         NL 1246            27.603             -9.240              0.648               27.278                -8.714                 0.661 -0.325  0.013         306
         BE 1246            27.846             -0.077              0.646               27.596                 0.692                 0.658 -0.250  0.012         391
IT-Sardinia 1246            21.870             -9.681              0.755               21.677                -9.873                 0.759 -0.193  0.004         118
        NO1 1246            25.827            -20.154              0.700               25.661               -19.748                 0.696 -0.165 -0.004         294
   IT-SOUTH 1246            18.305             -9.162              0.820               18.140                -9.495                 0.825 -0.165  0.005         139
         LV 1246            38.692            -29.089              0.753               38.562               -28.598                 0.752 -0.129 -0.001         253
IT-Calabria 1246            18.292            -10.217              0.833               18.169               -10.423                 0.836 -0.123  0.003         118
  IT-CSOUTH 1246            18.825             -9.469              0.789               18.718                -9.849                 0.793 -0.107  0.004         156
         RS 1246            33.665             -2.219              0.578               33.575                -1.722                 0.586 -0.090  0.008         224
         BG 1246            30.727            -14.184              0.736               30.642               -13.489                 0.736 -0.085  0.000         237
        NO3 1246            20.498             -3.850              0.721               20.459                -3.681                 0.722 -0.039  0.001         179
         EE 1246            36.941            -11.268              0.747               36.919               -10.914                 0.745 -0.023 -0.001         256
        SE3 1246            22.434             -6.655              0.729               22.414                -6.563                 0.730 -0.020  0.001         324
  IT-Sicily 1246            21.073            -14.060              0.799               21.055               -14.270                 0.799 -0.018  0.000         110
        SE1 1246            25.989             16.070              0.777               25.984                16.181                 0.777 -0.005 -0.000         151
        SE2 1246            26.913             17.382              0.790               26.913                17.490                 0.791 -0.001  0.001         152
         ES 1246            24.691              6.959              0.826               24.713                 7.815                 0.823  0.021 -0.003         249
         GR 1222            26.572            -10.673              0.796               26.610                -9.897                 0.795  0.039 -0.002         188
        NO4 1246            25.377             13.743              0.691               25.489                13.867                 0.689  0.112 -0.002          76
         FI 1246            26.010              8.472              0.840               26.135                 8.372                 0.839  0.125 -0.002         284
        SE4 1246            32.117             -8.633              0.567               32.765                -7.432                 0.555  0.648 -0.012         340
FOOTPRINT ab370_legacy: MAE=27.02 energy-wMAE=26.38 bias=-9.47 corr=0.761
FOOTPRINT ab370_intervals: MAE=26.73 energy-wMAE=26.02 bias=-9.07 corr=0.767
arm difference: cells changed 10889 of 47300 (23.0%), mean |Δ| where changed 5.44, max |Δ| 110.8
