paired days: 52  zones: 38  cells: 47204  (zone-hours present in both arms; per-day zone count min 34)
       zone    n  multi_zone_eu_MAE  multi_zone_eu_bias  multi_zone_eu_corr  ab370_legacy_MAE  ab370_legacy_bias  ab370_legacy_corr   dMAE  dcorr  diff_cells
   IT-SOUTH 1246             22.075             -12.229               0.781            18.305             -9.162              0.820 -3.770  0.040         495
  IT-Sicily 1246             24.623             -16.979               0.755            21.073            -14.060              0.799 -3.550  0.044         411
IT-Calabria 1246             21.820             -13.475               0.789            18.292            -10.217              0.833 -3.528  0.043         429
   IT-NORTH 1246             23.387              -7.376               0.713            20.806             -9.789              0.759 -2.581  0.046         677
  IT-CNORTH 1246             22.189              -5.936               0.721            20.080             -8.820              0.772 -2.109  0.051         644
IT-Sardinia 1246             23.682             -10.448               0.737            21.870             -9.681              0.755 -1.812  0.017         527
  IT-CSOUTH 1246             20.078              -5.762               0.747            18.825             -9.469              0.789 -1.253  0.043         508
        DK2 1246             32.065             -22.494               0.638            30.977            -20.000              0.656 -1.088  0.018         612
         FI 1246             26.612               7.408               0.824            26.010              8.472              0.840 -0.602  0.017         346
         LV 1246             39.258             -30.013               0.753            38.692            -29.089              0.753 -0.567  0.000         327
         LT 1246             38.840             -29.084               0.749            38.336            -28.117              0.749 -0.504  0.000         345
         EE 1246             37.419             -12.174               0.741            36.941            -11.268              0.747 -0.478  0.005         332
         RS 1246             34.030              -1.381               0.566            33.665             -2.219              0.578 -0.365  0.012         373
        NO4 1246             25.723              13.997               0.675            25.377             13.743              0.691 -0.345  0.015         167
         RO 1246             33.208             -17.142               0.659            32.952            -16.364              0.657 -0.256 -0.001         457
        NO3 1246             20.735              -3.818               0.713            20.498             -3.850              0.721 -0.237  0.009         263
         ES 1246             24.881               7.572               0.825            24.691              6.959              0.826 -0.190  0.001         299
        NO1 1246             25.994             -20.521               0.703            25.827            -20.154              0.700 -0.167 -0.003         411
         HU 1246             35.326             -30.048               0.710            35.180            -29.012              0.702 -0.145 -0.008         619
        NO5 1246             27.342             -22.996               0.704            27.262            -22.794              0.702 -0.080 -0.002         299
         SI 1222             31.546             -26.095               0.720            31.520            -25.032              0.707 -0.026 -0.013         676
         SK 1246             30.061             -23.762               0.740            30.062            -22.627              0.731  0.000 -0.009         681
         FR 1246             27.300               0.665               0.814            27.314              2.559              0.826  0.014  0.012        1045
         PL 1246             28.294             -19.240               0.751            28.349            -18.882              0.752  0.055  0.002         424
         BG 1246             30.660             -14.428               0.739            30.727            -14.184              0.736  0.067 -0.003         388
        SE1 1222             25.972              16.174               0.774            26.052             16.251              0.774  0.080  0.000         210
        SE3 1222             22.445              -7.016               0.732            22.526             -6.690              0.727  0.081 -0.004         419
        NO2 1246             17.523              -9.044               0.728            17.622             -8.663              0.718  0.099 -0.010         662
        SE2 1222             26.902              17.390               0.788            27.026             17.440              0.787  0.125 -0.001         213
         GR 1222             26.382             -10.989               0.800            26.572            -10.673              0.796  0.189 -0.004         306
         AT 1246             29.473             -25.709               0.771            29.708            -25.321              0.738  0.234 -0.033         707
         CZ 1246             25.342             -17.001               0.769            25.629            -15.907              0.765  0.287 -0.004         654
        SE4 1222             32.001              -9.408               0.575            32.302             -8.600              0.566  0.301 -0.009         436
         NL 1246             26.997             -10.024               0.654            27.603             -9.240              0.648  0.606 -0.006         492
         BE 1246             27.177              -1.189               0.646            27.846             -0.077              0.646  0.669 -0.000         660
      DE_LU 1246             25.041             -10.204               0.793            25.735             -8.940              0.787  0.694 -0.005         695
        DK1 1246             25.354              -7.313               0.765            26.504             -6.098              0.748  1.151 -0.017         666
         PT 1246             26.523               6.726               0.790            28.384              9.700              0.755  1.862 -0.035         351
FOOTPRINT multi_zone_eu: MAE=27.48 energy-wMAE=26.52 bias=-10.11 corr=0.753
FOOTPRINT ab370_legacy: MAE=27.03 energy-wMAE=26.39 bias=-9.49 corr=0.761
arm difference: cells changed 18226 of 47204 (38.6%), mean |Δ| where changed 8.38, max |Δ| 129.6
