day	zone	timeslot	price
2025-01-07	AT	20250107-0000	42.830000
2025-01-07	AT	20250107-0100	41.960000
2025-01-07	AT	20250107-0200	38.360000
2025-01-07	AT	20250107-0300	44.000000
2025-01-07	AT	20250107-0400	46.210000
2025-01-07	AT	20250107-0500	65.340000
2025-01-07	AT	20250107-0600	85.850000
2025-01-07	AT	20250107-0700	113.840000
2025-01-07	AT	20250107-0800	113.840000
2025-01-07	AT	20250107-0900	113.840000
2025-01-07	AT	20250107-1000	113.840000
2025-01-07	AT	20250107-1100	113.840000
2025-01-07	AT	20250107-1200	113.840000
2025-01-07	AT	20250107-1300	113.840000
2025-01-07	AT	20250107-1400	86.900000
2025-01-07	AT	20250107-1500	113.840000
2025-01-07	AT	20250107-1600	113.840000
2025-01-07	AT	20250107-1700	113.840000
2025-01-07	AT	20250107-1800	113.840000
2025-01-07	AT	20250107-1900	113.840000
2025-01-07	AT	20250107-2000	113.840000
2025-01-07	AT	20250107-2100	113.840000
2025-01-07	AT	20250107-2200	113.840000
2025-01-07	AT	20250107-2300	113.840000
2025-01-07	BE	20250107-0000	14.350000
2025-01-07	BE	20250107-0100	15.260000
2025-01-07	BE	20250107-0200	8.070000
2025-01-07	BE	20250107-0300	16.000000
2025-01-07	BE	20250107-0400	18.660000
2025-01-07	BE	20250107-0500	63.040000
2025-01-07	BE	20250107-0600	84.000000
2025-01-07	BE	20250107-0700	95.200000
2025-01-07	BE	20250107-0800	95.200000
2025-01-07	BE	20250107-0900	84.520000
2025-01-07	BE	20250107-1000	78.400000
2025-01-07	BE	20250107-1100	78.110000
2025-01-07	BE	20250107-1200	77.940000
2025-01-07	BE	20250107-1300	83.210000
2025-01-07	BE	20250107-1400	84.520000
2025-01-07	BE	20250107-1500	113.840000
2025-01-07	BE	20250107-1600	108.150000
2025-01-07	BE	20250107-1700	108.150000
2025-01-07	BE	20250107-1800	108.150000
2025-01-07	BE	20250107-1900	108.150000
2025-01-07	BE	20250107-2000	108.150000
2025-01-07	BE	20250107-2100	104.580000
2025-01-07	BE	20250107-2200	73.840000
2025-01-07	BE	20250107-2300	73.840000
2025-01-07	BG	20250107-0000	107.150000
2025-01-07	BG	20250107-0100	97.520000
2025-01-07	BG	20250107-0200	96.770000
2025-01-07	BG	20250107-0300	97.920000
2025-01-07	BG	20250107-0400	107.150000
2025-01-07	BG	20250107-0500	108.150000
2025-01-07	BG	20250107-0600	112.160000
2025-01-07	BG	20250107-0700	108.150000
2025-01-07	BG	20250107-0800	108.150000
2025-01-07	BG	20250107-0900	108.150000
2025-01-07	BG	20250107-1000	108.150000
2025-01-07	BG	20250107-1100	108.150000
2025-01-07	BG	20250107-1200	108.150000
2025-01-07	BG	20250107-1300	108.150000
2025-01-07	BG	20250107-1400	108.150000
2025-01-07	BG	20250107-1500	129.780000
2025-01-07	BG	20250107-1600	199.220000
2025-01-07	BG	20250107-1700	136.610000
2025-01-07	BG	20250107-1800	113.840000
2025-01-07	BG	20250107-1900	108.150000
2025-01-07	BG	20250107-2000	108.150000
2025-01-07	BG	20250107-2100	108.150000
2025-01-07	BG	20250107-2200	107.150000
2025-01-07	BG	20250107-2300	106.340000
2025-01-07	CH	20250107-0000	42.010000
2025-01-07	CH	20250107-0100	37.870000
2025-01-07	CH	20250107-0200	37.820000
2025-01-07	CH	20250107-0300	38.200000
2025-01-07	CH	20250107-0400	43.320000
2025-01-07	CH	20250107-0500	71.030000
2025-01-07	CH	20250107-0600	85.850000
2025-01-07	CH	20250107-0700	113.840000
2025-01-07	CH	20250107-0800	129.780000
2025-01-07	CH	20250107-0900	129.780000
2025-01-07	CH	20250107-1000	129.780000
2025-01-07	CH	20250107-1100	129.780000
2025-01-07	CH	20250107-1200	129.780000
2025-01-07	CH	20250107-1300	129.780000
2025-01-07	CH	20250107-1400	86.900000
2025-01-07	CH	20250107-1500	129.780000
2025-01-07	CH	20250107-1600	199.220000
2025-01-07	CH	20250107-1700	177.470000
2025-01-07	CH	20250107-1800	138.340000
2025-01-07	CH	20250107-1900	129.780000
2025-01-07	CH	20250107-2000	129.780000
2025-01-07	CH	20250107-2100	129.780000
2025-01-07	CH	20250107-2200	129.780000
2025-01-07	CH	20250107-2300	129.780000
2025-01-07	CZ	20250107-0000	72.790000
2025-01-07	CZ	20250107-0100	72.790000
2025-01-07	CZ	20250107-0200	72.790000
2025-01-07	CZ	20250107-0300	72.790000
2025-01-07	CZ	20250107-0400	83.540000
2025-01-07	CZ	20250107-0500	107.150000
2025-01-07	CZ	20250107-0600	107.150000
2025-01-07	CZ	20250107-0700	107.150000
2025-01-07	CZ	20250107-0800	107.150000
2025-01-07	CZ	20250107-0900	107.150000
2025-01-07	CZ	20250107-1000	107.150000
2025-01-07	CZ	20250107-1100	107.150000
2025-01-07	CZ	20250107-1200	107.150000
2025-01-07	CZ	20250107-1300	107.150000
2025-01-07	CZ	20250107-1400	107.150000
2025-01-07	CZ	20250107-1500	107.150000
2025-01-07	CZ	20250107-1600	107.150000
2025-01-07	CZ	20250107-1700	107.150000
2025-01-07	CZ	20250107-1800	107.150000
2025-01-07	CZ	20250107-1900	107.150000
2025-01-07	CZ	20250107-2000	107.150000
2025-01-07	CZ	20250107-2100	101.020000
2025-01-07	CZ	20250107-2200	83.500000
2025-01-07	CZ	20250107-2300	73.840000
2025-01-07	DE_LU	20250107-0000	5.640000
2025-01-07	DE_LU	20250107-0100	5.640000
2025-01-07	DE_LU	20250107-0200	5.640000
2025-01-07	DE_LU	20250107-0300	5.690000
2025-01-07	DE_LU	20250107-0400	13.870000
2025-01-07	DE_LU	20250107-0500	54.310000
2025-01-07	DE_LU	20250107-0600	72.790000
2025-01-07	DE_LU	20250107-0700	95.200000
2025-01-07	DE_LU	20250107-0800	95.200000
2025-01-07	DE_LU	20250107-0900	73.840000
2025-01-07	DE_LU	20250107-1000	66.910000
2025-01-07	DE_LU	20250107-1100	60.210000
2025-01-07	DE_LU	20250107-1200	68.200000
2025-01-07	DE_LU	20250107-1300	72.790000
2025-01-07	DE_LU	20250107-1400	78.870000
2025-01-07	DE_LU	20250107-1500	95.200000
2025-01-07	DE_LU	20250107-1600	95.200000
2025-01-07	DE_LU	20250107-1700	95.200000
2025-01-07	DE_LU	20250107-1800	95.200000
2025-01-07	DE_LU	20250107-1900	75.340000
2025-01-07	DE_LU	20250107-2000	70.080000
2025-01-07	DE_LU	20250107-2100	65.220000
2025-01-07	DE_LU	20250107-2200	57.000000
2025-01-07	DE_LU	20250107-2300	44.980000
2025-01-07	DK1	20250107-0000	5.640000
2025-01-07	DK1	20250107-0100	5.640000
2025-01-07	DK1	20250107-0200	5.640000
2025-01-07	DK1	20250107-0300	5.690000
2025-01-07	DK1	20250107-0400	13.870000
2025-01-07	DK1	20250107-0500	54.310000
2025-01-07	DK1	20250107-0600	72.790000
2025-01-07	DK1	20250107-0700	95.200000
2025-01-07	DK1	20250107-0800	95.200000
2025-01-07	DK1	20250107-0900	73.840000
2025-01-07	DK1	20250107-1000	66.910000
2025-01-07	DK1	20250107-1100	60.210000
2025-01-07	DK1	20250107-1200	68.200000
2025-01-07	DK1	20250107-1300	72.790000
2025-01-07	DK1	20250107-1400	78.870000
2025-01-07	DK1	20250107-1500	95.200000
2025-01-07	DK1	20250107-1600	95.200000
2025-01-07	DK1	20250107-1700	95.200000
2025-01-07	DK1	20250107-1800	95.200000
2025-01-07	DK1	20250107-1900	75.340000
2025-01-07	DK1	20250107-2000	70.080000
2025-01-07	DK1	20250107-2100	65.220000
2025-01-07	DK1	20250107-2200	57.000000
2025-01-07	DK1	20250107-2300	44.980000
2025-01-07	DK2	20250107-0000	5.640000
2025-01-07	DK2	20250107-0100	5.640000
2025-01-07	DK2	20250107-0200	5.640000
2025-01-07	DK2	20250107-0300	5.690000
2025-01-07	DK2	20250107-0400	13.870000
2025-01-07	DK2	20250107-0500	41.360000
2025-01-07	DK2	20250107-0600	69.420000
2025-01-07	DK2	20250107-0700	75.340000
2025-01-07	DK2	20250107-0800	95.200000
2025-01-07	DK2	20250107-0900	73.840000
2025-01-07	DK2	20250107-1000	66.910000
2025-01-07	DK2	20250107-1100	69.420000
2025-01-07	DK2	20250107-1200	71.850000
2025-01-07	DK2	20250107-1300	77.360000
2025-01-07	DK2	20250107-1400	78.870000
2025-01-07	DK2	20250107-1500	101.450000
2025-01-07	DK2	20250107-1600	95.200000
2025-01-07	DK2	20250107-1700	95.200000
2025-01-07	DK2	20250107-1800	95.200000
2025-01-07	DK2	20250107-1900	66.870000
2025-01-07	DK2	20250107-2000	64.370000
2025-01-07	DK2	20250107-2100	57.000000
2025-01-07	DK2	20250107-2200	57.000000
2025-01-07	DK2	20250107-2300	30.000000
2025-01-07	EE	20250107-0000	39.660000
2025-01-07	EE	20250107-0100	21.210000
2025-01-07	EE	20250107-0200	15.280000
2025-01-07	EE	20250107-0300	11.960000
2025-01-07	EE	20250107-0400	13.870000
2025-01-07	EE	20250107-0500	75.340000
2025-01-07	EE	20250107-0600	92.970000
2025-01-07	EE	20250107-0700	94.690000
2025-01-07	EE	20250107-0800	94.290000
2025-01-07	EE	20250107-0900	92.840000
2025-01-07	EE	20250107-1000	92.330000
2025-01-07	EE	20250107-1100	92.970000
2025-01-07	EE	20250107-1200	94.900000
2025-01-07	EE	20250107-1300	97.550000
2025-01-07	EE	20250107-1400	98.480000
2025-01-07	EE	20250107-1500	101.450000
2025-01-07	EE	20250107-1600	96.140000
2025-01-07	EE	20250107-1700	80.330000
2025-01-07	EE	20250107-1800	83.840000
2025-01-07	EE	20250107-1900	83.850000
2025-01-07	EE	20250107-2000	73.840000
2025-01-07	EE	20250107-2100	52.580000
2025-01-07	EE	20250107-2200	46.180000
2025-01-07	EE	20250107-2300	26.730000
2025-01-07	ES	20250107-0000	19.960000
2025-01-07	ES	20250107-0100	12.500000
2025-01-07	ES	20250107-0200	9.400000
2025-01-07	ES	20250107-0300	9.690000
2025-01-07	ES	20250107-0400	20.490000
2025-01-07	ES	20250107-0500	29.540000
2025-01-07	ES	20250107-0600	72.790000
