z,solar_mae,solar_bias,wind_mae,wind_bias,solar_avg,wind_avg
NL,832.0,831.0,1010.0,-896.0,51.0,2756.0
BG,371.0,89.0,63.0,33.0,785.0,149.0
EE,42.0,-29.0,47.0,-1.0,131.0,139.0
LV,44.0,-22.0,11.0,0.0,154.0,29.0
DK1,91.0,-17.0,603.0,-521.0,404.0,1967.0
RO,151.0,149.0,150.0,54.0,414.0,683.0
RS,0.0,0.0,48.0,5.0,0.0,178.0
LT,48.0,25.0,148.0,75.0,233.0,529.0
IT-Calabria,13.0,0.0,69.0,8.0,93.0,230.0
NO1,1.0,-1.0,30.0,-0.0,1.0,123.0
GR,508.0,470.0,221.0,66.0,1692.0,1279.0
DK2,41.0,-13.0,133.0,30.0,173.0,545.0
IT-SOUTH,68.0,16.0,332.0,41.0,620.0,1141.0
IT-Sicily,77.0,-41.0,135.0,-38.0,468.0,471.0
CZ,63.0,-6.0,81.0,-81.0,569.0,81.0
AT,103.0,-33.0,272.0,-3.0,729.0,995.0
SK,17.0,-4.0,1.0,1.0,85.0,0.0
IT-Sardinia,37.0,-14.0,54.0,-4.0,240.0,202.0
IT-CSOUTH,123.0,-33.0,157.0,5.0,901.0,482.0
SI,45.0,-7.0,1.0,-1.0,231.0,1.0
NO2,0.0,0.0,85.0,44.0,0.0,480.0
CH,113.0,-37.0,10.0,-8.0,676.0,20.0
ES,965.0,1.0,1330.0,184.0,6688.0,6360.0
HU,128.0,16.0,21.0,2.0,804.0,61.0
FI,17.0,-0.0,397.0,135.0,176.0,2409.0
PT,115.0,60.0,227.0,31.0,732.0,1542.0
NO4,0.0,0.0,57.0,14.0,0.0,380.0
PL,337.0,129.0,378.0,201.0,2465.0,2352.0
BE,170.0,-16.0,243.0,17.0,1264.0,1564.0
NO3,0.0,0.0,92.0,-9.0,0.0,701.0
IT-CNORTH,31.0,9.0,11.0,-3.0,294.0,32.0
SE1,0.0,-0.0,92.0,5.0,2.0,727.0
FR,518.0,-91.0,654.0,114.0,4227.0,5800.0
IT-NORTH,154.0,-40.0,16.0,0.0,1480.0,42.0
SE2,0.0,-0.0,165.0,-13.0,10.0,2001.0
DE_LU,623.0,124.0,1425.0,-91.0,9078.0,16283.0
SE3,9.0,-5.0,73.0,-10.0,221.0,1241.0
SE4,7.0,-2.0,32.0,-6.0,107.0,614.0
NO5,0.0,0.0,0.0,0.0,0.0,0.0
