paired days: 52  zones: 38  cells: 47300  (zone-hours present in both arms; per-day zone count min 36)
       zone    n  ab366_base_MAE  ab366_base_bias  ab366_base_corr  ab366_spill_MAE  ab366_spill_bias  ab366_spill_corr   dMAE  dcorr  diff_cells
        NO4 1246          26.332           16.271            0.628           25.520            15.459             0.636 -0.812  0.008         146
        NO3 1246          26.504           10.579            0.640           25.735             9.799             0.649 -0.769  0.009         174
        SE1 1246          23.464           12.729            0.769           22.997            12.079             0.768 -0.466 -0.001          70
        SE2 1246          25.016           14.174            0.753           24.583            13.495             0.751 -0.433 -0.003          82
         FI 1246          29.577            2.907            0.798           29.309             2.606             0.798 -0.267 -0.000          65
        SE3 1246          27.298            0.094            0.660           27.144            -0.115             0.661 -0.155  0.001          76
        NO5 1246          26.823           -5.758            0.560           26.670            -5.978             0.564 -0.153  0.004          81
        NO1 1246          25.099           -6.267            0.646           25.020            -6.449             0.648 -0.079  0.002          77
         EE 1246          43.270          -18.071            0.740           43.212           -18.141             0.740 -0.058 -0.000          25
        NO2 1246          22.393           -0.669            0.644           22.351            -0.721             0.644 -0.042  0.000          32
         LV 1246          43.591          -25.714            0.731           43.562           -25.757             0.731 -0.028  0.000          21
         LT 1246          43.099          -23.966            0.731           43.071           -24.009             0.731 -0.028  0.000          21
        SE4 1246          34.420           -0.402            0.648           34.393            -0.439             0.648 -0.027  0.000          21
         GR 1222          26.097          -13.102            0.781           26.076           -13.080             0.781 -0.022  0.000           2
        DK2 1246          30.646          -13.933            0.694           30.640           -13.947             0.694 -0.006 -0.000          12
        DK1 1246          28.264           -1.902            0.785           28.259            -1.910             0.785 -0.004 -0.000           6
         AT 1246          28.741          -19.668            0.799           28.739           -19.671             0.799 -0.002  0.000           4
      DE_LU 1246          25.697           -6.015            0.847           25.696            -6.018             0.847 -0.000  0.000           5
         BE 1246          25.105            0.556            0.737           25.105             0.552             0.737 -0.000  0.000           5
         NL 1246          27.814           -7.961            0.705           27.813            -7.965             0.705 -0.000  0.000           4
         RS 1246          34.984           -8.934            0.648           34.984            -8.934             0.648  0.000  0.000           0
         PT 1246          27.868            2.823            0.740           27.868             2.823             0.740  0.000  0.000           0
IT-Sardinia 1246          22.538          -13.396            0.719           22.538           -13.396             0.719  0.000  0.000           0
   IT-SOUTH 1246          19.289          -12.051            0.793           19.289           -12.051             0.793  0.000  0.000           0
   IT-NORTH 1246          20.298          -13.604            0.785           20.298           -13.604             0.785  0.000  0.000           0
IT-Calabria 1246          19.676          -13.619            0.769           19.676           -13.619             0.769  0.000  0.000           0
  IT-CSOUTH 1246          17.289           -9.462            0.803           17.289            -9.462             0.803  0.000  0.000           0
  IT-CNORTH 1246          19.652          -12.251            0.787           19.652           -12.251             0.787  0.000  0.000           0
         ES 1246          26.794            4.098            0.770           26.794             4.098             0.770  0.000  0.000           0
  IT-Sicily 1246          21.226          -16.191            0.756           21.226           -16.191             0.756  0.000  0.000           0
         PL 1246          30.671          -17.521            0.768           30.671           -17.524             0.768  0.001  0.000           3
         RO 1246          33.369          -14.874            0.731           33.370           -14.876             0.731  0.001  0.000           3
         BG 1246          31.617          -15.239            0.743           31.618           -15.241             0.743  0.001  0.000           2
         FR 1246          22.664            2.887            0.871           22.665             2.885             0.871  0.002  0.000           1
         CZ 1246          26.373          -13.301            0.817           26.375           -13.304             0.817  0.002 -0.000           5
         HU 1246          38.818          -28.893            0.706           38.821           -28.896             0.706  0.003 -0.000           5
         SK 1246          33.591          -22.370            0.778           33.594           -22.373             0.778  0.003 -0.000           5
         SI 1222          33.862          -24.321            0.715           33.865           -24.325             0.715  0.003  0.000           5
FOOTPRINT ab366_base: MAE=28.15 energy-wMAE=26.96 bias=-8.21 corr=0.768
FOOTPRINT ab366_spill: MAE=28.06 energy-wMAE=26.92 bias=-8.32 corr=0.768
arm difference: cells changed 958 of 47300 (2.0%), mean |Δ| where changed 5.41, max |Δ| 35.0
