strategy	corr	mae	absresid	resid	mae_gain	days_better	n
big4_15	0.6699	20.1837	13.1373	-1.5947	0.5767	25	44
big4_25	0.6796	20.2231	13.3546	-2.6777	0.5373	24	44
RWE_15	0.6452	20.5294	13.3892	-0.5192	0.2310	23	44
LEAG_15	0.6339	20.6229	13.4113	-0.1753	0.1376	13	44
Uniper_25	0.6371	20.6288	13.3635	-0.2126	0.1316	24	44
LEAG_25	0.6306	20.6365	13.4160	-0.4707	0.1239	13	44
EnBW_25	0.6264	20.6557	13.3976	0.1215	0.1047	21	44
EnBW_15	0.6238	20.6711	13.4035	0.2280	0.0893	22	44
RWE_25	0.6377	20.6900	13.6482	-1.1364	0.0704	22	44
Uniper_15	0.6303	20.6932	13.4797	-0.0589	0.0672	23	44
baseline	0.6214	20.7604	13.5026	0.3519	0.0000	0	44
