zone,set,base_corr,base_mae,base_bias,cv17_corr,cv17_mae,cv17_bias
AT,all28,0.17,85.33,38.56,0.77,28.27,-20.23
AT,spike16,0.13,132.26,78.72,0.74,32.88,-25.85
BE,all28,0.22,63.5,39.52,0.85,20.97,-3.52
BE,spike16,0.21,96.64,70.31,0.82,22.54,-4.55
CH,all28,0.11,49.91,19.35,0.7,25.46,-7.31
CH,spike16,0.07,70.04,42.6,0.67,27.26,-3.24
DK1,all28,0.11,71.8,37.17,0.75,28.71,-7.0
DK1,spike16,0.07,106.39,71.84,0.72,31.05,-5.13
DK2,all28,0.32,82.57,47.47,0.79,28.68,-10.35
DK2,spike16,0.33,125.53,89.64,0.78,31.22,-10.97
SE3,all28,0.18,53.77,31.36,0.55,36.23,13.29
SE3,spike16,0.16,65.91,38.02,0.61,35.32,6.59
IT-CNORTH,all28,0.59,26.23,6.64,0.61,23.08,2.05
IT-CNORTH,spike16,0.64,32.39,15.61,0.67,26.76,8.0
SI,all28,0.28,64.54,25.02,0.7,40.77,-31.54
SI,spike16,0.27,90.94,54.31,0.75,38.71,-30.75
RO,all28,0.35,54.8,25.49,0.77,31.64,-5.46
RO,spike16,0.34,73.42,51.32,0.77,32.53,-0.35
HU,all28,0.74,37.75,-14.6,0.72,41.66,-29.66
HU,spike16,0.83,36.11,-5.24,0.8,39.11,-26.69
RS,all28,0.32,44.61,20.45,0.76,29.29,-2.43
RS,spike16,0.29,60.84,41.67,0.74,32.73,4.25
GR,all28,0.85,24.15,-7.71,0.87,23.44,-10.2
GR,spike16,0.87,22.41,-2.16,0.89,20.98,-4.68
DE_LU,all28,0.88,20.72,-5.4,0.87,20.99,-6.61
DE_LU,spike16,0.85,23.35,-7.54,0.84,23.64,-9.09
ES,all28,0.83,23.53,4.22,0.83,23.14,3.16
ES,spike16,0.82,24.2,4.46,0.82,23.61,2.78
PT,all28,0.8,25.24,5.24,0.8,24.87,4.23
PT,spike16,0.8,25.4,4.68,0.8,24.8,3.03
