zone,hod,model,actual,bias
BE,0,79.9,79.8,0.1
BE,1,78.9,76.7,2.2
BE,2,78.6,74.9,3.7
BE,3,79.8,77.1,2.7
BE,4,82.9,86.2,-3.3
BE,5,86.8,96.9,-10.1
BE,6,89.7,102.4,-12.7
BE,7,88.0,93.0,-5.0
BE,8,82.1,75.7,6.4
BE,9,71.7,61.7,10.0
BE,10,65.0,50.8,14.2
BE,11,60.5,43.4,17.2
BE,12,59.5,42.5,17.0
BE,13,63.2,50.6,12.6
BE,14,71.0,64.2,6.8
BE,15,83.0,84.2,-1.2
BE,16,96.0,108.8,-12.8
BE,17,109.5,129.8,-20.3
BE,18,108.4,133.7,-25.3
BE,19,100.0,120.5,-20.6
BE,20,95.5,107.9,-12.4
BE,21,89.6,98.0,-8.3
BE,22,85.1,89.7,-4.7
BE,23,81.6,83.6,-2.0
CH,0,91.8,96.7,-5.0
CH,1,90.6,95.1,-4.5
CH,2,91.1,94.8,-3.6
CH,3,92.9,97.4,-4.5
CH,4,96.0,105.1,-9.0
CH,5,99.7,113.2,-13.5
CH,6,105.4,113.4,-8.0
CH,7,110.5,104.5,5.9
CH,8,102.7,91.8,10.9
CH,9,88.9,81.9,7.0
CH,10,79.8,71.0,8.8
CH,11,71.9,65.1,6.7
CH,12,71.9,65.5,6.4
CH,13,78.4,74.7,3.7
CH,14,89.6,88.7,1.0
CH,15,103.6,106.0,-2.4
CH,16,114.6,122.0,-7.4
CH,17,121.7,131.7,-10.0
CH,18,121.7,130.6,-8.9
CH,19,111.3,122.3,-11.0
CH,20,104.5,115.2,-10.6
CH,21,100.5,108.2,-7.7
CH,22,96.6,103.3,-6.7
CH,23,93.3,100.0,-6.7
AT,0,83.0,92.5,-9.5
AT,1,81.3,90.8,-9.4
AT,2,82.7,90.8,-8.1
AT,3,87.1,95.5,-8.4
AT,4,92.0,106.7,-14.7
AT,5,95.5,118.0,-22.5
AT,6,98.2,117.4,-19.2
AT,7,95.7,102.9,-7.2
AT,8,84.7,84.7,-0.0
AT,9,73.4,71.7,1.7
AT,10,65.9,62.1,3.9
AT,11,61.0,56.2,4.8
AT,12,62.7,58.7,3.9
AT,13,70.6,71.9,-1.3
AT,14,84.8,91.5,-6.7
AT,15,102.2,115.2,-13.1
AT,16,114.1,136.1,-22.0
AT,17,120.3,150.9,-30.6
AT,18,117.6,147.4,-29.9
AT,19,106.7,132.4,-25.7
AT,20,99.8,118.5,-18.7
AT,21,95.3,108.1,-12.8
AT,22,90.5,101.1,-10.6
AT,23,85.6,96.2,-10.5
DK1,0,76.6,78.1,-1.5
DK1,1,75.3,76.1,-0.8
DK1,2,74.1,75.3,-1.2
DK1,3,73.0,77.5,-4.4
DK1,4,74.0,86.1,-12.2
DK1,5,79.6,95.9,-16.4
DK1,6,87.9,99.7,-11.7
DK1,7,88.9,89.7,-0.9
DK1,8,81.9,74.7,7.3
DK1,9,73.5,62.4,11.1
DK1,10,68.1,54.1,14.0
DK1,11,63.9,49.5,14.3
DK1,12,64.1,49.3,14.7
DK1,13,66.6,55.6,11.0
DK1,14,72.9,68.5,4.4
DK1,15,82.8,91.1,-8.2
DK1,16,91.8,116.6,-24.7
DK1,17,96.0,133.4,-37.4
DK1,18,96.7,132.4,-35.7
DK1,19,92.8,115.7,-23.0
DK1,20,87.8,101.9,-14.1
