zone,ts,price
SI,20240822-2300,108.22
SI,20240822-2200,108.22
SI,20240822-1400,108.22
SI,20240822-1300,108.22
SI,20240822-2100,108.22
SI,20240822-0200,103.56
SI,20240822-2000,108.22
SI,20240822-0300,106.66
SI,20240822-0500,108.22
SI,20240822-0000,99.25
SI,20240822-0900,90.19
SI,20240822-1800,514.9299999999997
SI,20240822-0400,108.22
SI,20240822-1000,106.66
SI,20240822-1700,393.39
SI,20240822-0100,103.85
SI,20240822-1900,170.88
SI,20240822-1100,106.66
SI,20240822-1200,108.22
SI,20240822-0800,90.19
SI,20240822-1500,108.22
SI,20240822-0600,106.66
SI,20240822-0700,90.49
SI,20240822-1600,170.88
ES,20240822-2300,90.19
ES,20240822-2200,90.19
ES,20240822-1400,33.16
ES,20240822-1300,31.11
ES,20240822-2100,90.19
ES,20240822-0200,90.19
ES,20240822-2000,150.82
ES,20240822-0300,90.19
ES,20240822-0500,90.19
ES,20240822-0000,90.19
ES,20240822-0900,36.9
ES,20240822-1800,156.15
ES,20240822-0400,90.19
ES,20240822-1000,34.64
ES,20240822-1700,90.19
ES,20240822-0100,90.19
ES,20240822-1900,166.13
ES,20240822-1100,30.9
ES,20240822-1200,31.09
ES,20240822-0800,54.93
ES,20240822-1500,40.57
ES,20240822-0600,90.19
ES,20240822-0700,90.19
ES,20240822-1600,54.93
GR,20240822-2300,106.14
GR,20240822-2200,106.66
GR,20240822-1400,106.66
GR,20240822-1300,101.15
GR,20240822-2100,106.66
GR,20240822-0200,106.66
GR,20240822-2000,108.22
GR,20240822-0300,106.66
GR,20240822-0500,106.66
GR,20240822-0000,106.66
GR,20240822-0900,90.19
GR,20240822-1800,183.36
GR,20240822-0400,106.66
GR,20240822-1000,90.19
GR,20240822-1700,187.58
GR,20240822-0100,106.66
GR,20240822-1900,108.22
GR,20240822-1100,90.19
GR,20240822-1200,90.19
GR,20240822-0800,90.19
GR,20240822-1500,122.09
GR,20240822-0600,106.66
GR,20240822-0700,90.19
GR,20240822-1600,172.34
IT-CNORTH,20240822-2300,108.22
IT-CNORTH,20240822-2200,108.22
IT-CNORTH,20240822-1400,108.22
IT-CNORTH,20240822-1300,108.22
IT-CNORTH,20240822-2100,108.22
IT-CNORTH,20240822-0200,108.22
IT-CNORTH,20240822-2000,108.22
IT-CNORTH,20240822-0300,108.22
IT-CNORTH,20240822-0500,108.22
IT-CNORTH,20240822-0000,108.22
IT-CNORTH,20240822-0900,108.22
IT-CNORTH,20240822-1800,108.22000000000001
IT-CNORTH,20240822-0400,108.22
IT-CNORTH,20240822-1000,108.22
IT-CNORTH,20240822-1700,108.22
IT-CNORTH,20240822-0100,108.22
IT-CNORTH,20240822-1900,108.22
IT-CNORTH,20240822-1100,108.22
IT-CNORTH,20240822-1200,108.22
IT-CNORTH,20240822-0800,108.22
IT-CNORTH,20240822-1500,108.22
IT-CNORTH,20240822-0600,108.22
IT-CNORTH,20240822-0700,108.22
IT-CNORTH,20240822-1600,108.22
HU,20240822-2300,102.07
HU,20240822-2200,90.19
HU,20240822-1400,103.98
HU,20240822-1300,90.19
HU,20240822-2100,90.19
HU,20240822-0200,103.56
HU,20240822-2000,106.66
HU,20240822-0300,106.66
HU,20240822-0500,106.66
HU,20240822-0000,99.25
HU,20240822-0900,90.19
HU,20240822-1800,147.59000000000003
HU,20240822-0400,106.66
HU,20240822-1000,90.19
HU,20240822-1700,143.0
HU,20240822-0100,103.85
HU,20240822-1900,106.66
HU,20240822-1100,90.19
HU,20240822-1200,90.19
HU,20240822-0800,90.19
HU,20240822-1500,106.66
HU,20240822-0600,106.66
HU,20240822-0700,90.19
HU,20240822-1600,139.68
IT-SOUTH,20240822-2300,108.22
IT-SOUTH,20240822-2200,108.22
IT-SOUTH,20240822-1400,108.22
IT-SOUTH,20240822-1300,108.22
IT-SOUTH,20240822-2100,108.22
IT-SOUTH,20240822-0200,108.22
IT-SOUTH,20240822-2000,108.22
IT-SOUTH,20240822-0300,108.22
