zone,day,n_hours,model_max,actual_max,actual_mean_day
AT,2025-10-05,1,3000,1,64
AT,2025-11-18,1,3000,145,109
AT,2025-11-19,1,3000,157,123
AT,2025-11-20,3,3000,178,133
AT,2025-11-28,4,3000,139,118
AT,2025-12-01,11,3000,179,135
AT,2025-12-02,8,3000,185,140
BE,2024-08-14,1,3000,82,96
BE,2024-10-03,1,3000,128,72
BE,2024-10-04,1,3000,142,93
BE,2024-10-12,2,3000,56,55
BE,2024-10-14,7,3000,226,106
BE,2024-10-29,1,3000,171,121
BE,2025-01-14,1,3000,187,136
BE,2025-01-15,12,3000,287,186
BE,2025-06-10,1,3000,143,68
BE,2025-06-12,1,3000,107,53
BE,2025-12-16,1,3000,138,102
BE,2026-01-08,5,3000,194,133
BE,2026-01-26,1,3000,173,137
BE,2026-01-28,2,3000,170,136
BE,2026-01-29,9,3000,161,131
BG,2024-11-12,1,502,305,269
BG,2024-11-13,2,3000,500,320
BG,2024-11-14,1,507,477,335
BG,2024-12-04,3,548,281,191
BG,2025-01-14,3,3000,263,151
BG,2025-01-15,2,528,452,242
BG,2025-01-16,1,541,195,154
BG,2025-10-07,2,553,280,139
BG,2026-01-09,1,543,191,136
BG,2026-01-12,4,3000,365,196
BG,2026-01-13,2,569,378,252
BG,2026-01-14,3,633,283,189
BG,2026-01-15,1,541,273,170
BG,2026-01-19,3,635,276,162
BG,2026-01-20,2,724,350,188
CH,2025-01-01,5,3000,104,86
CH,2025-01-02,7,3000,111,125
DK1,2024-11-07,1,3000,140,146
DK1,2025-04-06,1,3000,-4,53
DK1,2025-04-08,1,3000,17,100
DK1,2025-04-12,1,3000,-19,61
DK1,2025-04-19,1,3000,0,66
DK1,2025-04-26,3,3000,-2,56
DK1,2025-06-07,1,3000,0,60
DK1,2025-06-10,8,3000,69,60
DK1,2025-07-22,3,3000,40,77
DK1,2025-08-07,3,3000,2,70
DK1,2025-08-12,7,3000,99,85
DK1,2025-08-14,5,3000,79,105
DK1,2025-08-26,9,3000,107,100
DK1,2025-08-27,3,3000,87,105
DK1,2025-08-30,5,3000,9,68
DK1,2025-09-01,1,3000,43,101
DK1,2025-09-02,1,3000,79,122
DK1,2025-09-06,1,3000,0,74
DK1,2025-09-23,18,3000,163,103
DK1,2025-09-24,17,3000,120,78
DK1,2025-09-25,1,3000,16,82
DK1,2026-02-17,1,3000,96,98
DK1,2026-02-18,6,3000,120,114
DK1,2026-03-07,1,3000,77,120
DK2,2024-11-11,3,3000,155,122
DK2,2024-12-10,1,3000,202,148
DK2,2024-12-11,2,3000,445,267
DK2,2024-12-12,1,3000,135,396
DK2,2025-03-13,2,3000,166,126
DK2,2025-06-04,3,3000,139,72
DK2,2025-08-27,1,3000,129,108
DK2,2025-09-02,1,3000,79,123
DK2,2025-09-23,17,3000,163,102
DK2,2025-09-24,11,3000,128,82
DK2,2025-11-10,5,3000,180,112
DK2,2025-11-26,3,3000,295,161
DK2,2026-01-06,1,3000,169,133
DK2,2026-01-11,3,3000,148,98
DK2,2026-01-13,3,3000,132,106
DK2,2026-01-20,2,3000,251,165
DK2,2026-02-09,2,3000,444,166
DK2,2026-02-14,1,3000,196,122
DK2,2026-02-17,5,3000,647,183
DK2,2026-02-18,7,3000,371,158
DK2,2026-02-19,2,3000,186,170
DK2,2026-02-24,4,3000,196,120
FI,2025-11-18,4,3000,167,110
FR,2026-01-05,1,3000,152,129
GR,2025-01-15,2,528,452,206
GR,2026-01-14,2,633,283,133
HU,2024-09-16,2,696,98,122
HU,2024-11-12,2,541,346,307
HU,2024-11-13,3,635,562,355
HU,2024-11-14,1,507,595,266
HU,2024-11-20,1,546,136,130
HU,2024-11-26,1,509,170,150
HU,2024-12-03,7,3000,222,167
HU,2024-12-04,3,548,283,187
HU,2025-01-16,1,541,196,155
HU,2026-01-09,1,543,199,146
HU,2026-01-12,4,3000,364,203
HU,2026-01-13,2,569,383,253
HU,2026-01-14,3,633,275,182
HU,2026-01-15,1,541,275,187
HU,2026-01-19,3,635,276,162
HU,2026-01-20,2,724,330,184
IT-CNORTH,2024-08-28,1,3000,125,143
IT-CNORTH,2024-08-29,18,3000,250,141
IT-CNORTH,2025-02-11,1,502,184,167
IT-CNORTH,2025-12-07,1,3000,97,104
IT-CNORTH,2026-02-04,2,573,158,136
IT-NORTH,2025-02-11,1,502,184,167
IT-NORTH,2026-02-04,2,573,158,136
NO1,2024-12-03,6,3000,109,71
NO1,2024-12-04,9,3000,232,101
NO1,2024-12-05,3,3000,67,57
NO1,2024-12-08,3,3000,66,50
NO1,2024-12-09,10,3000,99,66
