z,day,hod,model,actual,imp_d0,imp_clim
BE,2024-08-14,9,3000.0,82.3,1998.658772,-211.2881005
BE,2024-10-03,17,3000.0,127.58,3778.9258959999997,934.091271
BE,2024-10-04,17,3000.0,142.06,3395.3782800000004,1272.4445655000002
BE,2024-10-12,9,3000.0,56.42,3250.8949715,37.04640600000002
BE,2024-10-12,12,3000.0,23.34,2488.3659440000006,-1291.8280879999998
BE,2024-10-14,7,3000.0,125.58,3086.6039,1206.822998875
BE,2024-10-14,9,3000.0,97.22,3690.2978120000002,757.9235240000002
BE,2024-10-14,10,3000.0,91.56,3909.0338919999995,-328.0436930000001
BE,2024-10-14,11,3000.0,86.96,4099.752484,-127.72426200000041
BE,2024-10-14,12,3000.0,74.16,3591.10305,61.03938812499996
BE,2024-10-14,16,3000.0,202.4,2134.90642,1532.3985663749997
BE,2024-10-14,17,3000.0,226.02,2217.5892709999994,1347.8976226250002
BE,2024-10-29,18,3000.0,170.77,3028.0263702499997,1535.8849367500002
BE,2025-01-14,17,3000.0,186.82,1814.5861939999998,1669.368094
BE,2025-01-15,7,3000.0,287.1,1979.47926675,1173.124166375
BE,2025-01-15,8,3000.0,285.11,2246.483198,1012.2348170000001
BE,2025-01-15,9,3000.0,261.94,2834.323558,1232.7152918749998
BE,2025-01-15,10,3000.0,221.55,2807.09486,1164.4994977500003
BE,2025-01-15,11,3000.0,201.44,2330.16228,1626.626806
BE,2025-01-15,13,3000.0,212.11,2326.1966319999997,1004.6340798749998
BE,2025-01-15,14,3000.0,202.24,2325.9434920000003,967.1822250000002
BE,2025-01-15,15,3000.0,210.48,2238.080312,942.227796
BE,2025-01-15,16,3000.0,261.84,2163.557656,1506.4421405
BE,2025-01-15,17,3000.0,260.73,2339.181979,1649.653619375
BE,2025-01-15,18,3000.0,235.89,2256.957348,1002.3948747499998
BE,2025-01-15,19,3000.0,173.65,1916.2334839999999,953.7141140000001
BE,2025-06-10,19,3000.0,143.0,2945.665666,1506.5876160000003
BE,2025-06-12,20,3000.0,106.62,4088.31806375,1557.349192
BE,2025-12-16,17,3000.0,137.5975,3161.5228955000002,1086.2072448749998
BE,2026-01-08,9,3000.0,193.675,2105.883008,901.4550257500001
BE,2026-01-08,10,3000.0,185.96749999999997,2533.502052,12.06022100000007
BE,2026-01-08,11,3000.0,179.525,2696.2967040000003,-117.14262200000007
BE,2026-01-08,12,3000.0,184.78249999999997,2501.0511439999996,658.824496
BE,2026-01-08,13,3000.0,193.14249999999998,2107.637224,517.9472952499999
BE,2026-01-26,17,3000.0,173.33,3377.103464,2070.704013875
BE,2026-01-28,17,3000.0,170.425,3005.058942,1632.2617715000001
BE,2026-01-28,18,3000.0,161.225,2938.4645865,1383.3346045
BE,2026-01-29,9,3000.0,161.0325,2831.007948,477.68230674999984
BE,2026-01-29,10,3000.0,151.1425,3349.157712,-5.325415124999722
