zone,set,base_corr,base_mae,base_bias,v1_corr,v1_mae,v1_bias,v2_corr,v2_mae,v2_bias
AT,all28,0.17,85.33,38.56,0.75,28.88,-18.8,0.75,28.88,-18.8
AT,spike16,0.13,132.26,78.72,0.71,33.95,-23.35,0.71,33.95,-23.35
BE,all28,0.22,63.5,39.52,0.22,63.53,39.34,0.22,63.53,39.34
BE,spike16,0.21,96.64,70.31,0.21,96.71,70.16,0.21,96.71,70.16
CH,all28,0.11,49.91,19.35,0.1,47.19,14.64,0.1,47.19,14.64
CH,spike16,0.07,70.04,42.6,0.05,65.22,35.12,0.05,65.22,35.12
DK1,all28,0.11,71.8,37.17,0.1,71.92,36.47,0.1,71.92,36.47
DK1,spike16,0.07,106.39,71.84,0.07,106.56,70.83,0.07,106.56,70.83
DK2,all28,0.32,82.57,47.47,0.32,82.81,47.05,0.32,82.81,47.05
DK2,spike16,0.33,125.53,89.64,0.33,125.72,89.23,0.33,125.72,89.23
SE3,all28,0.18,53.77,31.36,0.18,53.7,31.12,0.18,53.7,31.12
SE3,spike16,0.16,65.91,38.02,0.16,65.85,37.76,0.16,65.85,37.76
IT-CNORTH,all28,0.59,26.23,6.64,0.61,24.09,3.14,0.61,24.09,3.14
IT-CNORTH,spike16,0.64,32.39,15.61,0.66,28.51,9.9,0.66,28.51,9.9
SI,all28,0.28,64.54,25.02,0.7,41.1,-29.63,0.7,41.1,-29.63
SI,spike16,0.27,90.94,54.31,0.73,39.41,-27.75,0.73,39.41,-27.75
RO,all28,0.35,54.8,25.49,0.34,54.42,23.26,0.34,54.42,23.26
RO,spike16,0.34,73.42,51.32,0.34,71.88,48.52,0.34,71.88,48.52
HU,all28,0.74,37.75,-14.6,0.73,40.84,-21.22,0.73,40.84,-21.22
HU,spike16,0.83,36.11,-5.24,0.83,38.29,-12.93,0.83,38.29,-12.93
RS,all28,0.32,44.61,20.45,0.42,39.68,13.81,0.42,39.68,13.81
RS,spike16,0.29,60.84,41.67,0.41,51.43,31.22,0.41,51.43,31.22
GR,all28,0.85,24.15,-7.71,0.86,24.03,-8.75,0.86,24.03,-8.75
GR,spike16,0.87,22.41,-2.16,0.88,21.92,-2.98,0.88,21.92,-2.98
DE_LU,all28,0.88,20.72,-5.4,0.87,20.93,-6.52,0.87,20.93,-6.52
DE_LU,spike16,0.85,23.35,-7.54,0.84,23.53,-8.93,0.84,23.53,-8.93
ES,all28,0.83,23.53,4.22,0.84,23.19,3.65,0.84,23.19,3.65
ES,spike16,0.82,24.2,4.46,0.82,23.7,3.63,0.82,23.7,3.63
PT,all28,0.8,25.24,5.24,0.8,24.91,4.7,0.8,24.91,4.7
PT,spike16,0.8,25.4,4.68,0.8,24.87,3.86,0.8,24.87,3.86
