zone,corr,shape_corr,level_corr,mae,bias,sd_shape_model,sd_shape_actual,n_spike_days,corr_no_spike_days
NO4,0.071,0.257,0.001,25.879,13.653,5.356,11.13,0,0.071
DK1,0.086,0.017,0.182,41.858,12.019,173.822,40.41,24,0.718
NO3,0.098,0.032,0.139,87.779,80.337,234.18,12.408,29,0.285
NO1,0.152,0.048,0.234,108.43,95.17,349.29,21.191,81,0.441
DK2,0.234,0.174,0.328,38.231,7.237,165.152,41.451,22,0.755
SE3,0.237,0.107,0.459,38.525,23.575,71.572,27.18,4,0.536
IT-CNORTH,0.242,0.248,0.258,24.676,2.102,62.716,25.291,5,0.568
BE,0.243,0.194,0.334,30.199,6.275,128.87,39.526,15,0.739
AT,0.278,0.224,0.37,29.119,-5.941,102.951,41.998,7,0.741
SI,0.307,0.32,0.292,43.675,9.12,201.46,50.494,47,0.679
CH,0.337,0.247,0.477,23.475,-0.841,72.13,30.315,2,0.736
NO5,0.416,0.33,0.515,35.54,22.854,17.495,15.05,0,0.416
RO,0.433,0.419,0.494,41.19,12.617,181.167,65.42,38,0.719
HU,0.479,0.447,0.553,35.518,-9.588,75.114,66.415,16,0.67
RS,0.483,0.46,0.547,32.381,6.173,83.068,53.855,17,0.683
SE1,0.512,0.297,0.604,20.073,-1.449,15.053,14.898,0,0.512
FI,0.528,0.31,0.717,24.627,-9.198,44.981,33.243,1,0.765
SE2,0.529,0.332,0.603,19.479,-1.748,14.511,15.338,0,0.529
IT-NORTH,0.599,0.482,0.755,19.92,-1.411,30.561,23.391,2,0.604
IT-CSOUTH,0.615,0.532,0.753,19.993,-9.98,21.84,26.913,0,0.615
BG,0.615,0.576,0.714,29.953,2.13,70.751,62.132,15,0.732
SE4,0.642,0.567,0.686,31.174,1.321,18.49,35.578,0,0.642
IT-Sardinia,0.647,0.616,0.724,22.735,-12.101,29.421,32.131,0,0.647
NO2,0.661,0.615,0.716,23.6,12.642,19.049,23.773,0,0.661
IT-SOUTH,0.663,0.597,0.786,20.801,-12.291,27.099,28.534,0,0.663
IT-Calabria,0.663,0.598,0.786,20.629,-12.749,25.668,28.288,0,0.663
PL,0.674,0.685,0.682,29.676,-12.159,16.031,48.126,0,0.674
SK,0.681,0.657,0.725,36.428,-27.442,19.338,50.816,0,0.681
IT-Sicily,0.687,0.65,0.773,21.932,-8.389,35.084,30.548,0,0.687
FR,0.691,0.619,0.8,23.094,1.919,35.721,30.684,1,0.79
CZ,0.691,0.701,0.681,26.677,-8.947,21.624,44.051,0,0.691
LV,0.702,0.651,0.744,39.69,-25.105,23.516,52.66,0,0.702
NL,0.711,0.671,0.783,25.037,-4.936,18.6,43.712,0,0.711
EE,0.713,0.628,0.782,38.841,-20.72,23.418,52.534,0,0.713
LT,0.729,0.667,0.782,38.387,-23.609,24.041,52.565,0,0.729
PT,0.768,0.826,0.753,23.985,2.459,40.056,31.382,0,0.768
GR,0.795,0.79,0.811,24.106,-8.569,50.397,56.249,2,0.795
ES,0.798,0.853,0.779,22.79,1.549,41.027,32.358,0,0.798
DE_LU,0.836,0.811,0.876,19.846,-2.661,24.266,44.613,0,0.836
