zone,n,corr,mae,bias,sim_mean,act_mean
AT,864,0.4767,54.5139,25.7109,141.9386,116.2277
BE,864,0.1976,35.7245,-24.2835,72.6421,96.9256
BG,864,0.7570,31.8693,6.2452,122.8639,116.6187
CH,864,0.3920,52.7157,32.3291,146.3351,114.0060
CZ,864,0.4470,47.0094,27.1047,140.9346,113.8299
DE_LU,864,0.6228,74.0957,69.2857,178.2898,109.0041
DK1,864,0.5942,49.2973,20.6001,127.5585,106.9585
DK2,864,0.4458,56.9608,29.6289,137.0940,107.4650
EE,864,0.4653,125.7586,84.2444,184.9401,100.6957
ES,864,0.8015,22.3769,5.4342,70.7818,65.3475
FI,864,0.5065,35.8807,-25.5653,46.4753,72.0406
FR,864,0.4094,33.8748,14.0073,79.2705,65.2633
GR,864,0.8266,23.6140,-6.2500,98.2961,104.5461
HU,864,0.5684,36.3797,-7.7640,119.4509,127.2149
IT-CNORTH,864,0.3504,40.7632,21.3961,147.5863,126.1902
IT-CSOUTH,864,0.7229,20.1588,-13.4946,110.7087,124.2033
IT-Calabria,864,0.7645,19.2879,-13.6917,108.3189,122.0106
IT-NORTH,864,0.3549,39.9582,20.4284,146.1526,125.7242
IT-SOUTH,864,0.7617,19.7612,-13.4430,108.8347,122.2778
IT-Sardinia,864,0.6764,23.9397,-14.7651,106.1754,120.9405
IT-Sicily,864,0.7358,20.5465,-11.4638,111.9967,123.4605
LT,864,0.4641,122.2462,78.1979,189.7305,111.5326
LV,864,0.4656,123.3421,74.6178,185.7656,111.1478
NL,864,0.5037,24.6919,-8.7567,94.2473,103.0040
NO1,864,0.0219,61.4791,34.3999,121.3122,86.9124
NO2,864,0.6383,17.9452,1.2974,94.1787,92.8812
NO3,864,0.2658,47.5549,28.6778,85.5504,56.8727
NO4,864,0.1890,29.8141,0.1759,29.6347,29.4588
NO5,864,0.3676,32.2414,8.9240,85.7265,76.8025
PL,864,0.5621,79.3335,69.7249,188.2040,118.4790
PT,864,0.7747,23.2169,6.2098,70.9029,64.6931
RO,864,0.5556,49.5020,21.9771,144.4764,122.4993
RS,864,0.6210,37.2038,12.8333,123.4854,110.6521
SE1,864,0.4585,31.6226,-23.4898,19.7645,43.2544
SE2,864,0.4827,31.8502,-23.7831,18.0441,41.8271
SE3,864,0.4227,40.4599,8.5996,82.1654,73.5658
SE4,864,0.3726,35.9359,-1.2727,86.0400,87.3128
SI,864,0.4109,65.1778,22.9762,142.0200,119.0439
SK,864,0.3373,229.1055,195.5184,313.2442,117.7258
