zone,n,corr,mae,bias,sim_mean,act_mean
AT,864,0.4913,78.9146,51.2987,167.5264,116.2277
BE,864,0.1336,77.2401,18.7457,115.6713,96.9256
BG,864,0.5744,36.6526,12.1860,128.8048,116.6187
CH,864,0.4245,76.8561,57.5848,171.5908,114.0060
CZ,864,0.4865,72.8038,54.4441,168.2741,113.8299
DE_LU,864,0.6273,111.9456,107.5292,216.5333,109.0041
DK1,864,0.6254,100.5001,76.8329,183.7914,106.9585
DK2,864,0.4641,77.8379,52.1540,159.6190,107.4650
EE,864,0.5630,160.1700,126.5788,227.2745,100.6957
ES,864,0.8006,22.2008,5.6581,71.0056,65.3475
FI,864,0.5253,65.9274,19.2601,91.3007,72.0406
FR,864,0.3321,40.1614,20.9010,86.1643,65.2633
GR,864,0.8240,23.1692,-4.1884,100.3577,104.5461
HU,864,0.5350,38.8250,-5.7265,121.4884,127.2149
IT-CNORTH,864,0.3428,52.1166,32.6077,158.7978,126.1902
IT-CSOUTH,864,0.7279,19.9478,-13.6881,110.5152,124.2033
IT-Calabria,864,0.7679,19.0827,-13.7600,108.2506,122.0106
IT-NORTH,864,0.3498,51.4006,31.8070,157.5312,125.7242
IT-SOUTH,864,0.7650,19.5398,-13.6605,108.6172,122.2778
IT-Sardinia,864,0.6705,23.8708,-14.6001,106.3403,120.9405
IT-Sicily,864,0.7322,20.6373,-11.2012,112.2593,123.4605
LT,864,0.5606,156.5056,120.1021,231.6347,111.5326
LV,864,0.5616,157.3829,116.6370,227.7848,111.1478
NL,864,0.4942,24.9988,-7.7889,95.2151,103.0040
NO1,864,0.3388,118.6113,99.4159,186.3283,86.9124
NO2,864,0.4103,36.9717,22.8838,115.7650,92.8812
NO3,864,0.1911,49.2049,32.6894,89.5621,56.8727
NO4,864,0.1566,30.0568,0.0338,29.4926,29.4588
NO5,864,0.3953,31.9211,9.8717,86.6742,76.8025
PL,864,0.5850,89.0126,80.2289,198.7080,118.4790
PT,864,0.7742,23.0128,6.4141,71.1072,64.6931
RO,864,0.5465,57.2173,30.9617,153.4609,122.4993
RS,864,0.4005,41.7132,19.0142,129.6663,110.6521
SE1,864,0.4790,30.7180,-14.0975,29.1569,43.2544
SE2,864,0.4989,29.8884,-14.8767,26.9504,41.8271
SE3,864,0.4794,84.6500,61.6170,135.1828,73.5658
SE4,864,0.6618,34.4183,-3.7753,83.5375,87.3128
SI,864,0.4327,74.4820,29.1592,148.2031,119.0439
SK,864,0.4262,49.2644,-8.8271,108.8986,117.7258
