zone,n,corr,mae,bias,sim_mean,act_mean
AT,864,0.4751,53.9217,26.1593,142.3869,116.2277
BE,864,0.1944,35.6504,-23.8692,73.0565,96.9256
BG,864,0.7571,31.8361,6.2131,122.8319,116.6187
CH,864,0.3900,52.0592,32.6000,146.6060,114.0060
CZ,864,0.4484,46.1822,27.2628,141.0927,113.8299
DE_LU,864,0.6197,72.9676,68.2565,177.2606,109.0041
DK1,864,0.5915,48.7565,20.2402,127.1986,106.9585
DK2,864,0.4434,56.3062,28.9005,136.3655,107.4650
EE,864,0.4655,128.6299,83.4862,184.1819,100.6957
ES,864,0.8010,22.4264,5.4612,70.8087,65.3475
FI,864,0.4982,36.1147,-25.9728,46.0678,72.0406
FR,864,0.4069,34.0062,14.2158,79.4791,65.2633
GR,864,0.8266,23.6102,-6.2516,98.2945,104.5461
HU,864,0.5682,36.3240,-7.7555,119.4594,127.2149
IT-CNORTH,864,0.3491,40.5988,21.1878,147.3780,126.1902
IT-CSOUTH,864,0.7218,20.1755,-13.4799,110.7235,124.2033
IT-Calabria,864,0.7638,19.2942,-13.6765,108.3341,122.0106
IT-NORTH,864,0.3536,39.7967,20.2124,145.9366,125.7242
IT-SOUTH,864,0.7608,19.7774,-13.4278,108.8500,122.2778
IT-Sardinia,864,0.6759,23.9671,-14.7654,106.1751,120.9405
IT-Sicily,864,0.7351,20.5528,-11.4486,112.0119,123.4605
LT,864,0.4644,125.2194,77.6127,189.1453,111.5326
LV,864,0.4659,126.3128,73.8753,185.0230,111.1478
NL,864,0.5021,24.8072,-8.6068,94.3972,103.0040
NO1,864,0.0214,61.1128,34.7937,121.7061,86.9124
NO2,864,0.6463,17.3685,1.9204,94.8017,92.8812
NO3,864,0.2843,47.4708,29.2284,86.1011,56.8727
NO4,864,0.1890,29.8141,0.1759,29.6347,29.4588
NO5,864,0.3839,31.9682,9.5459,86.3483,76.8025
PL,864,0.5736,86.0091,75.7153,194.1944,118.4790
PT,864,0.7741,23.2644,6.2387,70.9318,64.6931
RO,864,0.5555,49.4687,21.9451,144.4443,122.4993
RS,864,0.6215,37.1798,12.8336,123.4857,110.6521
SE1,864,0.4966,29.6690,-13.5990,29.6554,43.2544
SE2,864,0.4981,29.5446,-13.8022,28.0249,41.8271
SE3,864,0.4229,40.4108,9.2797,82.8455,73.5658
SE4,864,0.3688,35.8600,-1.4928,85.8200,87.3128
SI,864,0.4102,64.8710,23.0930,142.1369,119.0439
SK,864,0.4272,39.2689,-20.0166,97.7092,117.7258
