zone,n,corr,mae,bias,sim_mean,act_mean
AT,864,0.4748,53.8882,26.1094,142.3371,116.2277
BE,864,0.1944,35.6504,-23.8692,73.0565,96.9256
BG,864,0.7571,31.8361,6.2131,122.8319,116.6187
CH,864,0.3900,52.0591,32.6000,146.6059,114.0060
CZ,864,0.4478,46.1535,27.1877,141.0176,113.8299
DE_LU,864,0.6196,72.9555,68.2444,177.2485,109.0041
DK1,864,0.5915,48.7928,20.1888,127.1473,106.9585
DK2,864,0.4429,56.6921,28.0021,135.4671,107.4650
EE,864,0.7593,49.0095,-34.0228,66.6729,100.6957
ES,864,0.8010,22.4264,5.4612,70.8087,65.3475
FI,864,0.8508,36.0701,-32.9503,39.0903,72.0406
FR,864,0.4069,34.0066,14.2154,79.4787,65.2633
GR,864,0.8266,23.6102,-6.2516,98.2945,104.5461
HU,864,0.5682,36.3253,-7.7575,119.4574,127.2149
IT-CNORTH,864,0.3491,40.5988,21.1878,147.3780,126.1902
IT-CSOUTH,864,0.7219,20.1776,-13.4820,110.7213,124.2033
IT-Calabria,864,0.7638,19.2963,-13.6786,108.3320,122.0106
IT-NORTH,864,0.3536,39.7967,20.2124,145.9366,125.7242
IT-SOUTH,864,0.7608,19.7795,-13.4299,108.8478,122.2778
IT-Sardinia,864,0.6761,23.9783,-14.7937,106.1467,120.9405
IT-Sicily,864,0.7351,20.5550,-11.4507,112.0098,123.4605
LT,864,0.7707,46.1104,-34.1486,77.3840,111.5326
LV,864,0.7639,48.9615,-39.4806,71.6672,111.1478
NL,864,0.5023,24.8029,-8.6206,94.3834,103.0040
NO1,864,0.0214,61.1128,34.7937,121.7061,86.9124
NO2,864,0.6463,17.3685,1.9204,94.8017,92.8812
NO3,864,0.2843,47.4708,29.2284,86.1011,56.8727
NO4,864,0.1890,29.8141,0.1759,29.6347,29.4588
NO5,864,0.3839,31.9682,9.5459,86.3483,76.8025
PL,864,0.5045,74.0029,62.7713,181.2504,118.4790
PT,864,0.7741,23.2644,6.2387,70.9318,64.6931
RO,864,0.5555,49.4687,21.9451,144.4443,122.4993
RS,864,0.6215,37.1576,12.8114,123.4635,110.6521
SE1,864,0.4966,29.6690,-13.5990,29.6554,43.2544
SE2,864,0.4981,29.5446,-13.8022,28.0249,41.8271
SE3,864,0.4229,40.3978,9.2652,82.8310,73.5658
SE4,864,0.6478,34.1763,-7.3639,79.9489,87.3128
SI,864,0.4102,64.8730,23.0910,142.1349,119.0439
SK,864,0.4272,39.2689,-20.0166,97.7092,117.7258
